交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,44.95,45.4,44.95,45.35,0.15,0.33,1,"3,247","1,432",2.27,1.47,"-1,153",430,-190,-914,,1,907,50,61,6.73
12月21日,44.9,45.2,44.65,45.2,0.05,0.11,1.22,"4,125","1,777",2.32,1.85,"-1,141",698,-628,"-1,071",,7,906,0,11,1.21
12月20日,45.35,45.35,44.9,45.15,-0.25,-0.55,0.99,"4,490","1,682",2.67,2.03,"-1,299",845,-66.6,-521,,11,899,0,11,1.22
12月19日,45.45,45.5,45.15,45.4,-0.4,-0.87,0.76,"3,993","1,651",2.42,1.81,"-1,057",687,-561,-931,,6,888,-14,11,1.24
12月18日,45.4,45.85,45.2,45.8,0.25,0.55,1.43,"3,531","1,707",2.07,1.61,608,655,-349,914,,5,882,-68,25,2.83
12月15日,46.25,46.25,45.5,45.55,-0.7,-1.51,1.62,"7,019","3,042",2.31,3.21,173,143,0.4,316,,-10,877,2,93,10.6
12月14日,45.9,46.35,45.7,46.25,0.6,1.31,1.42,"4,548","1,931",2.36,2.1,"2,063",194,-769,"1,488",,-20,887,5,91,10.3
12月13日,46,46,45.5,45.65,-0.35,-0.76,1.09,"1,975","1,885",1.05,0.9,-244,5.01,-100,-339,,1,907,3,86,9.48
12月12日,46.3,46.3,45.45,46,0.15,0.33,1.85,"2,696","1,362",1.98,1.24,611,0,-79.7,531,55.8,-14,906,1,83,9.16
12月11日,45.65,45.95,45.5,45.85,0,0,0.98,"2,093","1,993",1.05,0.96,-403,0,6.79,-396,55.8,5,920,0,82,8.91
12月8日,46,46,45.55,45.85,0.15,0.33,0.98,"2,053","1,240",1.66,0.94,-325,-8,-32,-365,55.8,-26,915,4,82,8.96
12月7日,46,46.15,45.6,45.7,-0.65,-1.4,1.19,"2,708","2,321",1.17,1.24,-247,0,32,-215,55.8,-23,941,-1,78,8.29
12月6日,46.1,46.6,46.1,46.35,0.45,0.98,1.09,"5,311","2,770",1.92,2.46,873,"2,556",-355,"3,074",55.8,-5,964,2,79,8.2
12月5日,45.8,46.3,45.8,45.9,-0.2,-0.43,1.08,"5,900","3,057",1.93,2.72,"-2,005","2,885",-48.2,832,55.8,-6,969,9,77,7.95
12月4日,45.5,46.45,45.5,46.1,0.1,0.22,2.07,"5,490","2,325",2.36,2.54,-984,"3,529",-151,"2,394",55.9,-381,975,1,68,6.97
12月1日,45.15,46,45.05,46,0.9,2,2.11,"6,935","2,804",2.47,3.18,"-1,048","3,610",-187,"2,375",56,-202,"1,356",0,67,4.94
11月30日,45.4,45.6,45.1,45.1,-0.2,-0.44,1.1,"14,558","4,269",3.41,6.58,"-5,341","3,310",-28.5,"-2,060",56,288,"1,558",0,67,4.3
11月29日,45.45,46,45.3,45.3,-0.15,-0.33,1.54,"9,835","3,743",2.63,4.48,"-2,865","2,912",-120,-73.2,56.1,-56,"1,270",0,67,5.28
11月28日,46.25,46.45,45.45,45.45,-0.3,-0.66,2.19,"11,313","5,205",2.17,5.18,"-3,741","2,518",356,-866,56.1,26,"1,326",0,67,5.05
11月27日,45.7,47.05,45.65,45.75,0.2,0.44,3.07,"15,886","5,948",2.67,7.35,440,"2,406",44,"2,890",56.2,-100,"1,300",0,67,5.15
11月24日,46.15,46.4,45.55,45.55,-0.55,-1.19,1.84,"10,296","3,879",2.65,4.73,"-2,608","2,341",-116,-383,56.2,62,"1,400",0,67,4.79
