交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,27.65,27.8,27.6,27.75,-0.1,-0.36,0.72,"28,623","9,417",3.04,7.92,"-8,564","9,264",-425,276,,126,"13,749",-5,502,3.65
12月21日,27.5,27.85,27.45,27.85,0.05,0.18,1.44,"42,728","11,198",3.82,11.8,"-4,419","11,579","-1,785","5,375",,140,"13,623",-4,507,3.72
12月20日,28.2,28.25,27.7,27.8,-0.45,-1.59,1.95,"64,621","25,045",2.58,18,"-25,707","12,863","-1,500","-14,344",,388,"13,483",-33,511,3.79
12月19日,28.2,28.25,27.9,28.25,0,0,1.24,"58,105","15,377",3.78,16.3,"-4,753","20,297","-1,749","13,795",,-99,"13,095",47,544,4.15
12月18日,28,28.4,28,28.25,0.1,0.36,1.42,"49,422","13,563",3.64,14,-853,"19,282","-1,586","16,843",,19,"13,194",-4,497,3.77
12月15日,28.5,28.5,28.1,28.15,-0.3,-1.05,1.41,"66,655","15,736",4.24,18.8,"-10,864","11,505",-583,57.6,,-108,"13,175",-4,501,3.8
12月14日,28,28.45,27.8,28.45,0.5,1.79,2.33,"80,048","20,559",3.89,22.6,"26,835","6,869",195,"33,899",,-108,"13,283",20,505,3.8
12月13日,27.7,28,27.6,27.95,0.35,1.27,1.45,"51,103","10,732",4.76,14.2,"17,546",-830,"-1,761","14,955",,-295,"13,391",10,485,3.62
12月12日,27.7,27.7,27.4,27.6,0.2,0.73,1.09,"36,750","10,095",3.64,10.1,"15,568",-646,-769,"14,153",39,-191,"13,686",-49,475,3.47
12月11日,27.5,27.5,27.1,27.4,-0.1,-0.36,1.45,"27,039","8,239",3.28,7.38,-404,-335,-332,"-1,071",38.9,272,"13,877",-34,524,3.78
12月8日,27.1,27.5,27,27.5,0.65,2.42,1.86,"67,445","18,165",3.71,18.4,"48,581","1,263","-1,195","48,648",38.9,-621,"13,605",92,558,4.1
12月7日,27.1,27.1,26.75,26.85,-0.25,-0.92,1.29,"21,558","8,215",2.62,5.79,"1,548",-284,-670,594,38.7,82,"14,226",-8,466,3.28
12月6日,26.85,27.15,26.8,27.1,0.35,1.31,1.31,"43,211","8,582",5.04,11.7,"13,279","3,174",-664,"15,789",38.6,-471,"14,144",0,474,3.35
12月5日,26.85,26.85,26.55,26.75,-0.15,-0.56,1.12,"39,806","13,496",2.95,10.6,804,-164,-603,36.6,38.6,45,"14,615",-78,474,3.24
12月4日,27.15,27.15,26.8,26.9,-0.05,-0.19,1.3,"27,847","8,946",3.11,7.5,"-1,690","-2,219",-302,"-4,212",38.6,185,"14,570",-78,552,3.79
12月1日,27.3,27.3,26.85,26.95,-0.4,-1.46,1.65,"25,332","9,764",2.59,6.84,"-5,896","1,022",-315,"-5,189",38.6,516,"14,385",-22,630,4.38
11月30日,26.95,27.35,26.9,27.35,0.5,1.86,1.68,"71,589","12,444",5.75,19.5,"24,345","1,094",-931,"24,508",38.6,-298,"13,869",155,652,4.7
11月29日,27.2,27.25,26.85,26.85,-0.3,-1.1,1.47,"49,400","13,747",3.59,13.3,"-1,378","1,217",88.9,-72.3,38.5,480,"14,167",-36,497,3.51
11月28日,27.4,27.4,27.05,27.15,0.45,1.69,1.31,"67,302","18,720",3.6,18.3,"26,583",470,61,"27,114",38.5,123,"13,687",43,533,3.89
