交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,187,188.5,185.5,186.5,-1,-0.53,1.6,"3,332","3,911",0.85,6.22,-17.3,5,-6.89,-19.2,,-39,"3,425",0,361,10.5
12月21日,185,187.5,183.5,187.5,2.5,1.35,2.16,"4,250","3,300",1.29,7.93,"1,094",-3,5.21,"1,096",,-43,"3,464",3,361,10.4
12月20日,188,188.5,184.5,185,-1.5,-0.8,2.14,"3,297","4,735",0.7,6.13,-220,0,-103,-323,,92,"3,507",-5,358,10.2
12月19日,186.5,188,184.5,186.5,0,0,1.88,"3,167","3,291",0.96,5.91,260,0,-45,215,,-46,"3,415",2,363,10.6
12月18日,189,191.5,186,186.5,-1,-0.53,2.93,"6,454","8,818",0.73,12.2,"-1,135",103,-21.1,"-1,053",,317,"3,461",-6,361,10.4
12月15日,181,188,181,187.5,8,4.46,3.9,"11,118","9,721",1.14,20.6,"5,493",-22.9,-15.3,"5,455",,-295,"3,144",24,367,11.7
12月14日,175.5,179.5,175.5,179.5,4,2.28,2.28,"5,744","3,850",1.49,10.2,-745,0.05,39.5,-705,,-13,"3,439",2,343,9.97
12月13日,178,179,175,175.5,-3.5,-1.96,2.23,"6,423","8,634",0.74,11.3,"-3,240",3,-44.7,"-3,282",,165,"3,452",-2,341,9.88
12月12日,180,180.5,178.5,179,0.5,0.28,1.12,"3,699","3,156",1.17,6.64,-706,0,-9.38,-715,69.5,-16,"3,287",5,343,10.4
12月11日,180.5,180.5,178,178.5,-2.5,-1.38,1.38,"5,386","5,627",0.96,9.63,"-2,132",0,3.17,"-2,129",69.6,114,"3,303",5,338,10.2
12月8日,181,183.5,180.5,181,2,1.12,1.68,"4,774","3,296",1.45,8.68,-417,-3,24.6,-395,69.7,-47,"3,189",3,333,10.4
12月7日,178.5,181,178.5,179,-1,-0.56,1.39,"3,836","5,187",0.74,6.88,-954,0,2.09,-951,69.7,110,"3,236",-1,330,10.2
12月6日,181,182.5,180,180,-1,-0.55,1.38,"1,856","2,953",0.63,3.36,-552,0,-18.8,-571,69.8,66,"3,126",0,331,10.6
12月5日,180,181,179,181,-0.5,-0.28,1.1,"4,698","4,424",1.06,8.47,-802,38,-21.7,-786,69.8,36,"3,060",-1,331,10.8
12月4日,183.5,185,181,181.5,-1,-0.55,2.19,"3,759","3,233",1.16,6.86,-202,7,-92.2,-287,69.9,-56,"3,024",0,332,11
12月1日,184,184.5,182,182.5,-3.5,-1.88,1.34,"4,553","4,047",1.13,8.34,"-1,974",11,10.8,"-1,952",69.9,118,"3,080",-36,332,10.8
11月30日,184.5,186,183,186,3,1.64,1.64,"7,076","3,805",1.86,13.1,-564,-5.07,-8.47,-577,70,25,"2,962",4,368,12.4
11月29日,185,186,183,183,-2,-1.08,1.62,"2,227","8,219",0.27,4.1,-603,-3,1.7,-604,70,4,"2,937",-1,364,12.4
11月28日,185,186.5,182.5,185,1.5,0.82,2.18,"5,267","4,265",1.24,9.75,304,49,46.7,399,70,-54,"2,933",0,365,12.4
11月27日,184.5,187,182.5,183.5,-1,-0.54,2.44,"4,654","4,124",1.13,8.6,737,115,143,995,70,-114,"2,987",3,365,12.2
11月24日,183,185,182.5,184.5,2.5,1.37,1.37,"3,731","4,622",0.81,6.87,"1,105",85.1,-1,"1,189",69.9,78,"3,101",2,362,11.7
