交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,118.5,118.5,117.5,117.5,-0.5,-0.42,0.85,"4,923","4,557",1.08,5.8,-693,-23.9,-6,-723,,110,730,0,15,2.05
12月21日,118.5,118.5,117.5,118,-0.5,-0.42,0.84,"7,106","6,240",1.14,8.39,"-2,188",-22.5,-193,"-2,403",,2,620,0,15,2.42
12月20日,118.5,119,118,118.5,0,0,0.84,"6,117","4,024",1.52,7.26,-777,1.25,-35,-810,,-57,618,0,15,2.43
12月19日,118,118.5,118,118.5,0,0,0.42,"4,402","3,656",1.2,5.2,"-1,469",-21,-272,"-1,762",,69,675,0,15,2.22
12月18日,118.5,119,118,118.5,0,0,0.84,"6,557","5,684",1.15,7.75,-79.3,-25.8,-293,-398,,-18,606,0,15,2.48
12月15日,119.5,120,118,118.5,-1,-0.84,1.67,"19,912","10,644",1.87,23.6,"-5,410",-101,102,"-5,408",,74,624,-4,15,2.4
12月14日,120,120.5,119,119.5,0,0,1.26,"9,860","6,498",1.52,11.8,391,-190,40.2,241,,-51,550,0,19,3.45
12月13日,120,120.5,119.5,119.5,-0.5,-0.42,0.83,"3,211","2,260",1.42,3.84,"-1,185",2.01,0,"-1,183",,72,601,0,19,3.16
12月12日,120,120,119.5,120,0,0,0.42,"3,692","2,006",1.84,4.42,95.3,0,-118,-23.2,16.7,-507,529,0,19,3.59
12月11日,120.5,120.5,119.5,120,-0.5,-0.41,0.83,"6,031","3,219",1.87,7.23,"-2,527",-16,-16.9,"-2,560",16.7,526,"1,036",0,19,1.83
12月8日,121,121.5,120.5,120.5,-0.5,-0.41,0.83,"4,346","2,231",1.95,5.25,-187,-28.5,0,-216,16.7,-1,510,0,19,3.73
12月7日,122,122,121,121,-1,-0.82,0.82,"3,815","2,579",1.48,4.63,"-1,161",-0.55,71,"-1,091",16.7,53,511,-3,19,3.72
12月6日,122,122.5,121.5,122,0.5,0.41,0.82,"6,473","4,263",1.52,7.91,595,9.42,-9,595,16.7,-9,458,-4,22,4.8
12月5日,121,121.5,120,121.5,0.5,0.41,1.24,"5,823","3,647",1.6,7.05,-505,-11,-138,-655,16.7,-41,467,0,26,5.57
12月4日,120,121,120,121,1,0.83,0.83,"5,478","3,937",1.39,6.62,"1,295",3.59,41.9,"1,341",16.8,-151,508,1,26,5.12
12月1日,119,120.5,119,120,0.5,0.42,1.26,"4,521","3,222",1.4,5.42,-699,-2,-38.8,-739,16.7,-206,659,4,25,3.79
11月30日,120,120.5,119.5,119.5,-0.5,-0.42,0.83,"15,454","3,554",4.35,18.5,"-3,587",-23.2,41,"-3,569",16.7,406,865,6,21,2.43
11月29日,119.5,121,119.5,120,0.5,0.42,1.26,"7,702","4,339",1.78,9.26,926,-14,-44,868,16.8,-64,459,0,15,3.27
11月28日,120,121,119.5,119.5,-0.5,-0.42,1.25,"11,668","5,533",2.11,14,"-1,863",-15,140,"-1,738",16.8,50,523,-3,15,2.87
11月27日,119,120.5,119,120,1,0.84,1.26,"7,085","4,882",1.45,8.5,-436,-19,72,-383,16.8,1,473,1,18,3.81
11月24日,118.5,119,118,119,0.5,0.42,0.84,"6,150","3,517",1.75,7.31,934,13.3,27,974,16.8,46,472,3,17,3.6
11月23日,118,118.5,118,118.5,0.5,0.42,0.42,"3,956","2,938",1.35,4.68,-631,10.8,-11,-631,16.8,-1,426,0,14,3.29
