交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,26.65,26.75,26.5,26.75,0.15,0.56,0.94,"29,308","7,892",3.71,7.81,"10,136","-8,903",-212,"1,020",,"-1,820","20,075",18,608,3.03
12月21日,26.35,26.7,26.35,26.6,0.05,0.19,1.32,"26,084","8,033",3.25,6.93,"6,067","-9,321",224,"-3,030",,-85,"21,895",11,590,2.69
12月20日,26.9,26.9,26.5,26.55,-0.1,-0.38,1.5,"37,922","11,521",3.29,10.1,"3,360","-9,059",50,"-5,649",,"-1,054","21,980",-61,579,2.63
12月19日,26.65,26.75,26.15,26.65,0,0,2.25,"42,809","15,779",2.71,11.3,"4,945","-9,202",-597,"-4,854",,-68,"23,034",20,640,2.78
12月18日,26.95,27.1,26.5,26.65,0.2,0.76,2.27,"71,835","27,532",2.61,19.2,"-7,829","-8,976",-776,"-17,581",,"3,765","23,102",-2,620,2.68
12月15日,25.5,26.45,25.5,26.45,1.05,4.13,3.74,"111,413","33,247",3.35,29.2,"41,559","-4,249",320,"37,631",,-75,"19,337",149,622,3.22
12月14日,25.3,25.5,25.15,25.4,0.25,0.99,1.39,"42,349","14,846",2.85,10.7,"7,934",-614,"1,413","8,733",,-27,"19,412",-16,473,2.44
12月13日,25.45,25.45,25,25.15,-0.3,-1.18,1.77,"43,386","17,963",2.42,10.9,"-9,317",-561,170,"-9,708",,301,"19,439",-16,489,2.52
12月12日,25.7,25.75,25.3,25.45,-0.25,-0.97,1.75,"38,098","17,974",2.12,9.7,"-3,481",-456,61.8,"-3,875",17.4,301,"19,138",-23,505,2.64
12月11日,26.05,26.1,25.45,25.7,-0.4,-1.53,2.49,"46,056","15,514",2.97,11.8,"-9,631",-150,152,"-9,629",17.5,992,"18,837",-17,528,2.8
12月8日,26.1,26.1,25.9,26.1,0.05,0.19,0.77,"20,638","6,210",3.32,5.37,"-5,484",-182,25.3,"-5,641",17.5,-40,"17,845",-10,545,3.05
12月7日,26.2,26.25,26.05,26.05,-0.2,-0.76,0.76,"16,948","6,107",2.78,4.42,"-4,916",-209,-199,"-5,324",17.6,35,"17,885",-34,555,3.1
12月6日,26.1,26.3,25.95,26.25,0.15,0.57,1.34,"21,697","6,710",3.23,5.68,-326,-32,"3,462","3,104",17.6,-218,"17,850",-16,589,3.3
12月5日,25.95,26.1,25.85,26.1,0.05,0.19,0.96,"29,359","9,235",3.18,7.64,"15,419","-8,651",-344,"6,424",17.6,-370,"18,068",2,605,3.35
12月4日,26,26.05,25.75,26.05,0.05,0.19,1.15,"42,349","12,479",3.39,11,"12,222","-17,076",9.9,"-4,845",17.6,220,"18,438",22,603,3.27
12月1日,25.9,26,25.8,26,-0.2,-0.76,0.76,"58,835","16,670",3.53,15.2,"-5,692","-20,382",508,"-25,566",17.5,"1,509","18,218",-483,581,3.19
11月30日,26.15,26.2,25.85,26.2,0,0,1.34,"119,641","19,544",6.12,31.2,"35,433","-49,383",-27.8,"-13,978",17.5,275,"16,709",-369,"1,064",6.37
11月29日,26.1,26.2,25.85,26.2,0.1,0.38,1.34,"70,539","16,850",4.19,18.4,"19,295","-20,545",-84,"-1,334",17.3,-840,"16,434",889,"1,433",8.72
11月28日,26.1,26.2,25.85,26.1,-0.05,-0.19,1.34,"72,045","18,981",3.8,18.8,"10,793","-18,827",250,"-7,784",17.2,457,"17,274",-445,544,3.15
