交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,1015,1030,1000,1025,20,1.99,2.99,335,607,0.55,3.41,47.7,0,-9.12,38.5,,-20,239,-1,1,0.42
12月21日,1005,1015,1005,1005,-5,-0.5,0.99,234,395,0.59,2.36,-71.2,-0.78,-3.29,-75.3,,2,259,0,2,0.77
12月20日,996,1025,990,1010,22,2.23,3.54,569,877,0.65,5.75,-48.9,0,-12.2,-61.1,,-16,257,1,2,0.78
12月19日,987,1010,985,988,-1,-0.1,2.53,512,972,0.53,5.09,-32.8,0,-7.88,-40.7,,-1,273,0,1,0.37
12月18日,998,1000,975,989,-11,-1.1,2.5,881,"2,028",0.43,8.7,-90.9,-0.18,-0.41,-91.5,,14,274,0,1,0.36
12月15日,1005,1015,999,1000,0,0,1.6,"2,096","1,126",1.86,21,35.5,-229,4.5,-189,,-4,260,0,1,0.38
12月14日,1015,1020,993,1000,0,0,2.7,724,"1,277",0.57,7.26,-310,-25.2,14.2,-321,,10,264,0,1,0.38
12月13日,1010,1015,999,1000,-5,-0.5,1.59,523,741,0.71,5.25,-228,-20,-11.5,-259,,12,254,0,1,0.39
12月12日,1030,1035,1005,1005,-25,-2.43,2.91,531,844,0.63,5.39,-215,0,-0.45,-216,75.3,14,242,0,1,0.41
12月11日,1015,1040,1000,1030,20,1.98,3.96,471,690,0.68,4.81,-129,0,4.16,-125,75.4,-6,228,0,1,0.44
12月8日,1010,1025,1000,1010,10,1,2.5,495,657,0.75,5.01,-140,1,0.13,-139,75.4,24,234,0,1,0.43
12月7日,1010,1015,994,1000,-10,-0.99,2.08,537,813,0.66,5.39,-176,-1,-4.56,-182,75.5,3,210,0,1,0.48
12月6日,992,1025,992,1010,12,1.2,3.31,541,783,0.69,5.47,-127,0.56,11.8,-115,75.6,-5,207,0,1,0.48
12月5日,1010,1015,991,998,-27,-2.63,2.34,"1,136","1,696",0.67,11.4,-156,-14,-2.58,-173,75.7,15,212,1,1,0.47
12月4日,1035,1045,1020,1025,-10,-0.97,2.42,564,544,1.04,5.81,-95.6,0.72,2.02,-92.9,75.8,-1,197,0,0,0
12月1日,1075,1085,1020,1035,-50,-4.61,5.99,830,"1,077",0.77,8.64,-229,-31,-1.24,-261,75.8,42,198,0,0,0
11月30日,1100,1115,1080,1085,0,0,3.23,869,937,0.93,9.5,-54.8,-12.5,-2.96,-70.2,76,-1,156,0,0,0
11月29日,1075,1095,1060,1085,15,1.4,3.27,520,578,0.9,5.63,64.3,-0.5,-12.1,51.8,76,-7,157,0,0,0
11月28日,1055,1080,1035,1070,20,1.9,4.29,750,711,1.06,7.99,-35.6,-2,10.5,-27.1,75.9,-7,164,0,0,0
11月27日,1085,1085,1045,1050,-35,-3.23,3.69,455,579,0.79,4.82,-19.4,-1.67,-15.4,-36.5,76,8,171,0,0,0
11月24日,1090,1095,1060,1085,-5,-0.46,3.21,572,638,0.9,6.16,-4.8,-16.4,5.66,-15.5,76,5,163,0,0,0
11月23日,1115,1115,1085,1090,-25,-2.24,2.69,362,436,0.83,3.96,-51.3,-18,-2.23,-71.5,75.9,8,158,-1,0,0
11月22日,1110,1115,1095,1115,-5,-0.45,1.79,401,458,0.88,4.44,1.95,-4.74,-4.74,-7.52,75.9,1,150,0,1,0.67
11月21日,1100,1125,1090,1120,20,1.82,3.18,367,463,0.79,4.08,63.2,1.46,4.08,68.7,75.9,-14,149,0,1,0.67
