交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,26.45,26.85,26.45,26.8,0.35,1.32,1.51,"16,923","4,386",3.86,4.53,"-4,080","3,382",-476,"-1,174",,-76,"1,095",1,13,1.19
12月21日,26.35,26.55,26.25,26.45,-0.1,-0.38,1.13,"28,910","12,987",2.23,7.64,"-15,581","12,256",-86.3,"-3,412",,-5,"1,171",-4,12,1.02
12月20日,26.75,26.9,26.55,26.55,-0.15,-0.56,1.31,"31,270","9,779",3.2,8.34,"-15,059","12,615",-26,"-2,470",,22,"1,176",2,16,1.36
12月19日,26.95,27.1,26.6,26.7,-0.35,-1.29,1.85,"31,976","11,466",2.79,8.56,"-17,537","12,582",-369,"-5,323",,-3,"1,154",2,14,1.21
12月18日,26.8,27.15,26.8,27.05,0.05,0.19,1.3,"24,226","7,773",3.12,6.55,"-11,460","12,585",-85,"1,040",,-18,"1,157",0,12,1.04
12月15日,27.1,27.2,26.95,27,0,0,0.93,"40,804","8,305",4.91,11,"-5,362","9,117",-122,"3,634",,-69,"1,175",0,12,1.02
12月14日,26.9,27.1,26.65,27,0.25,0.93,1.68,"24,171","9,507",2.54,6.52,"9,668",-13,-977,"8,678",,-3,"1,244",-14,12,0.96
12月13日,26.85,26.9,26.6,26.75,-0.05,-0.19,1.12,"14,606","5,197",2.81,3.92,"1,704",-8.8,-999,696,,6,"1,247",4,26,2.09
12月12日,26.6,26.8,26.5,26.8,0.25,0.94,1.13,"21,629","7,344",2.95,5.77,"8,888",-17.5,-366,"8,504",27.3,2,"1,241",-1,22,1.77
12月11日,26.55,26.55,26.3,26.55,0,0,0.94,"13,011","4,799",2.71,3.44,"-1,922",-30.8,-57,"-2,010",27.2,-2,"1,239",1,23,1.86
12月8日,26.5,26.55,26.4,26.55,0.05,0.19,0.57,"13,926","4,609",3.02,3.69,"2,303",-47.8,-214,"2,041",27.2,-11,"1,241",0,22,1.77
12月7日,26.35,26.5,26.35,26.5,0.05,0.19,0.57,"11,157","5,592",2,2.95,"2,619",-8.84,-257,"2,353",27.2,5,"1,252",5,22,1.76
12月6日,26.45,26.5,26.35,26.45,0.05,0.19,0.57,"15,181","5,921",2.56,4.02,"1,911",-4,-153,"1,754",27.2,-56,"1,247",0,17,1.36
12月5日,26.3,26.4,26.15,26.4,0.05,0.19,0.95,"17,921","6,702",2.67,4.72,"4,715",-25,-7.24,"4,683",27.2,4,"1,303",1,17,1.3
12月4日,26.2,26.4,26.1,26.35,0.25,0.96,1.15,"18,588","7,007",2.65,4.89,"10,441",46.2,-246,"10,242",27.2,31,"1,299",0,16,1.23
12月1日,26,26.2,25.9,26.1,0.1,0.38,1.15,"12,201","5,274",2.31,3.18,"1,783",4.16,-184,"1,603",27.1,9,"1,268",0,16,1.26
11月30日,26.1,26.1,25.9,26,0.05,0.19,0.77,"23,562","4,735",4.98,6.13,"1,970",-28.4,-304,"1,637",27.1,-39,"1,259",10,16,1.27
11月29日,26.05,26.1,25.95,25.95,-0.15,-0.57,0.57,"16,141","5,830",2.77,4.2,"1,694",-35.8,-254,"1,404",27,2,"1,298",0,6,0.46
11月28日,25.9,26.1,25.85,26.1,0.25,0.97,0.97,"19,022","7,073",2.69,4.95,"11,240",-54,77.3,"11,263",27,-1,"1,296",0,6,0.46
