交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,38.25,38.55,38.15,38.35,0.05,0.13,1.04,"19,624","9,578",2.05,7.52,"-5,755","2,522",-779,"-4,012",,-20,"2,630",-3,274,10.4
12月21日,38.4,38.55,38.2,38.3,-0.45,-1.16,0.9,"24,650","12,296",2,9.45,"-11,007","4,655","-1,385","-7,737",,202,"2,650",-14,277,10.5
12月20日,39.05,39.1,38.65,38.75,-0.4,-1.02,1.15,"28,468","14,349",1.98,11,"-12,706","5,001",-261,"-7,966",,205,"2,448",-85,291,11.9
12月19日,39,39.45,38.85,39.15,0.1,0.26,1.54,"25,390","9,970",2.55,9.94,"-6,104","8,380","-1,112","1,164",,-8,"2,243",20,376,16.8
12月18日,39.35,39.55,38.95,39.05,-0.3,-0.76,1.52,"26,278","7,504",3.5,10.3,"-6,597","8,803",-295,"1,910",,37,"2,251",-5,356,15.8
12月15日,39.6,39.65,39.2,39.35,-0.2,-0.51,1.14,"26,608","11,912",2.23,10.5,-221,"5,910",226,"5,915",,10,"2,214",4,361,16.3
12月14日,39.1,39.55,38.75,39.55,0.65,1.67,2.06,"22,614","10,058",2.25,8.9,"9,777","2,930",-251,"12,456",,-180,"2,204",37,357,16.2
12月13日,39.25,39.25,38.8,38.9,-0.4,-1.02,1.15,"11,266","6,795",1.66,4.39,-4.38,-337,-560,-902,,86,"2,384",-1,320,13.4
12月12日,39.35,39.35,38.85,39.3,0.4,1.03,1.29,"11,766","6,137",1.92,4.6,"3,602",-389,-211,"3,002",21.8,-72,"2,298",13,321,14
12月11日,39.25,39.25,38.8,38.9,-0.35,-0.89,1.15,"12,556","7,047",1.78,4.88,"-2,577",-131,-36.2,"-2,744",21.8,49,"2,370",18,308,13
12月8日,38.7,39.3,38.7,39.25,0.25,0.64,1.54,"14,584","6,091",2.39,5.7,"1,179","1,514",-249,"2,444",21.8,-132,"2,321",290,290,12.5
12月7日,39.5,39.55,38.95,39,-0.5,-1.27,1.52,"16,313","8,168",2,6.4,83.9,16.9,-85.4,15.5,21.8,186,"2,453",0,0,0
12月6日,39,39.5,38.95,39.5,0.55,1.41,1.41,"17,291","8,464",2.04,6.79,"5,051","2,067",-143,"6,975",21.8,65,"2,267",0,0,0
12月5日,38.9,39,38.6,38.95,-0.05,-0.13,1.03,"15,004","7,824",1.92,5.82,"4,157",204,-168,"4,193",21.8,162,"2,202",-3,0,0
12月4日,38.7,39.2,38.7,39,0.35,0.91,1.29,"20,572","7,854",2.62,8,"5,922","-1,332",-129,"4,461",21.7,-108,"2,040",-29,3,0.15
12月1日,39.15,39.15,38.6,38.65,-0.85,-2.15,1.39,"21,895","12,187",1.8,8.49,"-12,040","1,283",-32.9,"-10,790",21.7,299,"2,148",-85,32,1.49
11月30日,39.3,39.5,39.2,39.5,0.35,0.89,0.77,"35,606","6,402",5.56,14,"3,884","1,848",-368,"5,363",21.8,43,"1,849",23,117,6.33
11月29日,39.65,39.65,39.15,39.15,-0.5,-1.26,1.26,"19,138","8,757",2.19,7.54,"-1,255","1,307",-261,-209,21.7,87,"1,806",-144,94,5.2
11月28日,39.5,40,39.45,39.65,0.15,0.38,1.39,"16,933","7,356",2.3,6.74,"7,036","1,131",209,"8,376",21.7,-92,"1,719",-125,238,13.8
11月27日,39.5,40.15,39.45,39.5,0,0,1.77,"18,790","11,542",1.63,7.48,"3,124","1,237",187,"4,548",21.7,206,"1,811",-49,363,20
