交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,114.5,116.5,114,115.5,1.5,1.32,2.19,"15,489","8,638",1.79,17.9,"2,429","-2,009",117,537,,431,"26,057",6,361,1.39
12月21日,112.5,115,112,114,0,0,2.63,"14,882","6,293",2.36,17,"2,417","-4,098",-358,"-2,039",,-63,"25,626",-36,355,1.39
12月20日,112.5,115.5,112,114,1.5,1.33,3.11,"19,091","8,672",2.2,21.8,"5,333","-4,325",175,"1,183",,-266,"25,689",22,391,1.52
12月19日,112,114,111.5,112.5,0.5,0.45,2.23,"15,953","7,043",2.27,18,"3,193","-4,234",-171,"-1,212",,121,"25,955",9,369,1.42
12月18日,112,114,111,112,0,0,2.68,"12,313","5,179",2.38,13.8,"3,496","-4,398",-170,"-1,071",,-85,"25,834",6,360,1.39
12月15日,116,116.5,112,112,-2.5,-2.18,3.93,"20,519","8,431",2.43,23.3,512,"-2,084",-135,"-1,708",,-542,"25,919",-42,354,1.37
12月14日,115,116,113.5,114.5,1.5,1.33,2.21,"18,774","10,487",1.79,21.5,"-2,030",19.9,-392,"-2,402",,801,"26,461",3,396,1.5
12月13日,111,115,111,113,3,2.73,3.64,"19,382","9,849",1.97,22,459,18,-178,299,,422,"25,660",60,393,1.53
12月12日,112,112,110,110,-0.5,-0.45,1.81,"7,419","3,852",1.93,8.24,"-1,184",-162,-106,"-1,452",36.7,-44,"25,238",-18,333,1.32
12月11日,114,115.5,110,110.5,-2.5,-2.21,4.87,"18,580","8,931",2.08,20.9,"-5,799",30.3,-444,"-6,213",36.8,350,"25,282",-131,351,1.39
12月8日,112,113.5,111,113,3,2.73,2.27,"13,934","7,380",1.89,15.7,"2,798",-16.7,-68.9,"2,712",37,"-1,021","24,932",131,482,1.93
12月7日,111,112.5,109.5,110,-1.5,-1.35,2.69,"7,722","4,805",1.61,8.54,"-1,541",-121,18,"-1,643",36.9,-23,"25,953",-29,351,1.35
12月6日,111.5,113,110.5,111.5,1,0.9,2.26,"11,804","6,325",1.87,13.2,"-2,664",32,-47.2,"-2,679",37,338,"25,976",31,380,1.46
12月5日,110.5,111,108,110.5,0,0,2.71,"13,137","6,545",2.01,14.4,-256,-205,-670,"-1,131",37.1,-29,"25,638",-20,349,1.36
12月4日,109,111,108.5,110.5,2.5,2.31,2.31,"13,459","7,526",1.79,14.8,"4,679",-543,96.8,"4,233",37.3,"-1,321","25,667",87,369,1.44
12月1日,109.5,110,107,108,-2,-1.82,2.73,"17,682","8,504",2.08,19.1,"-6,642",-484,-105,"-7,231",37.1,583,"26,988",-240,282,1.04
11月30日,109.5,110,106.5,110,1,0.92,3.21,"44,832","9,729",4.61,49,"-2,842","-1,248",-218,"-4,308",37.4,193,"26,405",214,522,1.98
11月29日,108,110.5,107.5,109,1.5,1.4,2.79,"13,699","9,155",1.5,15,"1,220",-500,-90.6,630,37.4,-700,"26,212",-17,308,1.18
11月28日,107,108,106,107.5,0.5,0.47,1.87,"11,591","6,829",1.7,12.4,-820,-578,-87.7,"-1,486",37.3,-8,"26,912",-4,325,1.21
11月27日,107.5,107.5,105.5,107,-0.5,-0.47,1.86,"11,753","5,708",2.06,12.5,-974,-409,-136,"-1,520",37.3,-149,"26,920",-2,329,1.22
11月24日,106.5,108,105.5,107.5,1,0.94,2.35,"11,973","6,840",1.75,12.8,"-2,012",-450,-167,"-2,629",37.3,-177,"27,069",26,331,1.22
