交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,65.4,65.8,65,65.1,-0.9,-1.36,1.21,"4,640","3,493",1.33,3.01,"-1,121",-26.3,-226,"-1,373",,57,"1,601",-4,65,4.06
12月21日,66,66.2,65.6,66,-0.8,-1.2,0.9,"6,014","3,555",1.69,3.96,"-3,954","1,219",-15.5,"-2,750",,-6,"1,544",10,69,4.47
12月20日,66.5,67.2,66,66.8,0.2,0.3,1.8,"6,485","2,713",2.39,4.32,"-1,496","1,360",-174,-310,,9,"1,550",1,59,3.81
12月19日,66.6,67,66.2,66.6,-0.4,-0.6,1.19,"5,036","2,715",1.85,3.35,"-2,325","1,356",-160,"-1,129",,18,"1,541",-1,58,3.76
12月18日,67.2,67.3,66.7,67,-0.3,-0.45,0.89,"5,333","2,335",2.28,3.57,438,"1,344",-148,"1,634",,48,"1,523",-5,59,3.87
12月15日,68.2,68.2,67.3,67.3,-0.6,-0.88,1.33,"12,892","5,294",2.44,8.7,-927,"1,319",-49,343,,16,"1,475",-9,64,4.34
12月14日,68,68.2,67,67.9,1.2,1.8,1.8,"6,992","3,330",2.1,4.75,"3,068",388,-282,"3,173",,-69,"1,459",18,73,5
12月13日,68.1,68.1,66.5,66.7,-1.5,-2.2,2.35,"5,632","4,806",1.17,3.77,-912,10.8,-279,"-1,179",,61,"1,528",-19,55,3.6
12月12日,68.1,68.2,67.7,68.2,0.9,1.34,0.74,"3,137","1,666",1.88,2.13,"1,072",-6.64,-80.6,985,29.1,-36,"1,467",-1,74,5.04
12月11日,67.6,67.6,67,67.3,-0.3,-0.44,0.89,"2,971","2,109",1.41,2,470,-11.2,-92.1,367,29.1,-16,"1,503",-17,75,4.99
12月8日,68.5,68.7,67.4,67.6,-0.5,-0.73,1.91,"3,874","2,317",1.67,2.63,782,-7.21,-35.8,739,29.1,-20,"1,519",-5,92,6.06
12月7日,68.5,68.7,68.1,68.1,-0.6,-0.87,0.87,"1,756","3,267",0.54,1.2,-71.3,2.79,-42,-111,29.1,4,"1,539",-18,97,6.3
12月6日,68.7,69.1,68.7,68.7,0,0,0.58,"3,555","2,355",1.51,2.45,-563,"1,438",-31,844,29.1,7,"1,535",0,115,7.49
12月5日,68.1,69,68.1,68.7,0,0,1.31,"5,257","2,704",1.94,3.61,-10.8,842,-80.9,750,29.1,-11,"1,528",5,115,7.53
12月4日,68.1,69,68.1,68.7,0.6,0.88,1.32,"5,485","3,101",1.77,3.77,-346,"2,026",-10.3,"1,670",29.1,5,"1,539",9,110,7.15
12月1日,68.1,68.9,67.9,68.1,0,0,1.47,"5,162","5,609",0.92,3.53,"-2,401","2,345",-57,-113,29.1,-57,"1,534",-25,101,6.58
11月30日,68.4,69.4,68.1,68.1,-0.3,-0.44,1.9,"15,646","4,942",3.17,10.7,"-2,813","3,898",-5.15,"1,080",29.1,-8,"1,591",8,126,7.92
11月29日,68.6,69.4,68.3,68.4,-0.2,-0.29,1.6,"8,747","4,301",2.03,6.03,"-1,224","2,201",-28,949,29.2,-21,"1,599",15,118,7.38
11月28日,68.1,69.5,67.8,68.6,0.9,1.33,2.51,"11,051","5,066",2.18,7.61,-405,"2,759",331,"2,684",29.2,-58,"1,620",6,103,6.36
11月27日,68.2,69.3,67.7,67.7,-0.5,-0.73,2.35,"8,966","4,441",2.02,6.12,"-1,495","1,899",34,439,29.2,17,"1,678",4,97,5.78
