交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,76.9,79.8,75.4,75.9,0.5,0.66,5.84,"37,274","21,156",1.76,28.8,"-1,555","1,659",-375,-272,,"1,136","31,611",-34,"1,183",3.74
12月21日,71.1,75.8,71.1,75.4,3.6,5.01,6.55,"22,520","13,113",1.72,16.8,"6,630","1,270","1,237","9,137",,"-1,275","30,475",423,"1,217",3.99
12月20日,73.1,73.4,71.6,71.8,-1.3,-1.78,2.46,"11,970","7,489",1.6,8.66,"-1,094",138,"-2,986","-3,942",,475,"31,750",-124,794,2.5
12月19日,74,74.1,72.3,73.1,-0.3,-0.41,2.45,"10,428","6,071",1.72,7.65,"1,361",309,"-1,032",638,,-672,"31,275",32,918,2.94
12月18日,74.5,74.8,73.2,73.4,-1.1,-1.48,2.15,"11,948","7,569",1.58,8.82,"-4,088","1,882",25.8,"-2,180",,278,"31,947",-96,886,2.77
12月15日,73.3,76.2,73.2,74.5,1.7,2.34,4.12,"41,717","13,431",3.11,31.2,"8,597","3,761",-60.5,"12,298",,-560,"31,669",166,982,3.1
12月14日,74.7,76.9,72.6,72.8,-0.9,-1.22,5.83,"24,925","12,131",2.05,18.5,"-3,349",325,511,"-2,513",,"3,029","32,229",-29,816,2.53
12月13日,72.9,73.7,72.3,73.7,1.2,1.66,1.93,"8,925","6,022",1.48,6.53,"2,868","1,300",-373,"3,795",,-878,"29,200",32,845,2.89
12月12日,74,74.8,72.3,72.5,0.3,0.42,3.46,"13,392","7,203",1.86,9.81,"2,282","1,595",33.4,"3,911",18.2,"-1,010","30,078",5,813,2.7
12月11日,72.5,73,71.9,72.2,0.1,0.14,1.53,"6,706","3,384",1.98,4.85,"1,984",-88.6,590,"2,486",18.2,"-1,348","31,088",-14,808,2.6
12月8日,71.7,72.3,70.9,72.1,1.4,1.98,1.98,"9,753","4,794",2.03,7,"1,900",-24.4,387,"2,262",18.1,-526,"32,436",44,822,2.53
12月7日,71.5,72.2,70.4,70.7,-1.3,-1.81,2.5,"12,155","5,194",2.34,8.65,"-2,046",-13.9,22.1,"-2,038",18.1,285,"32,962",-81,778,2.36
12月6日,73.9,74,71.9,72,-1.2,-1.64,2.87,"11,981","6,312",1.9,8.67,"-2,333",-93,-72.6,"-2,499",18.2,95,"32,677",-62,859,2.63
12月5日,73.5,73.8,72.1,73.2,-0.8,-1.08,2.3,"10,528","5,954",1.77,7.66,"2,683","-2,262",-259,161,18.3,-611,"32,582",-127,921,2.83
12月4日,73.8,75.2,73.6,74,0.3,0.41,2.17,"15,831","7,911",2,11.7,"3,736","-4,521","1,489",704,18.3,732,"33,193",24,"1,048",3.16
12月1日,74.4,74.5,73.5,73.7,-1.3,-1.73,1.33,"20,486","12,130",1.69,15.1,"1,512","-5,304","1,057","-2,736",18.2,"2,548","32,461",-101,"1,024",3.15
11月30日,74.6,75,73.6,75,0.8,1.08,1.89,"39,553","15,230",2.6,29.5,"15,033","-12,156",852,"3,729",18.2,7,"29,913",24,"1,125",3.76
11月29日,73.8,74.6,72.6,74.2,0.7,0.95,2.72,"42,221","16,064",2.63,31.1,"4,299","-4,211",167,256,17.7,"2,459","29,906",202,"1,101",3.68
11月28日,70.4,73.5,69.9,73.5,3.4,4.85,5.14,"49,783","21,642",2.3,36.1,"8,511","-4,313","3,074","7,272",17.6,"4,118","27,447",318,899,3.28
