交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,62.3,62.4,61.2,61.4,-1.5,-2.38,1.91,"7,413","5,563",1.33,4.57,"-3,886",-4.87,-137,"-4,028",,118,"1,398",7,51,3.65
12月21日,62.4,62.9,62.4,62.9,-0.1,-0.16,0.79,"2,232","1,677",1.33,1.4,259,-99.2,-38.7,121,,-53,"1,280",5,44,3.44
12月20日,63,63.2,62.4,63,0.2,0.32,1.27,"5,884","2,877",2.05,3.69,"1,500",-2,-75.8,"1,422",,5,"1,333",0,39,2.93
12月19日,63.3,63.5,62.8,62.8,-0.7,-1.1,1.1,"2,546","1,596",1.6,1.6,-314,0,-80.9,-395,,22,"1,328",0,39,2.94
12月18日,63.7,64,63.2,63.5,-0.2,-0.31,1.26,"2,739","3,099",0.88,1.74,396,-6.02,-47,343,,40,"1,306",0,39,2.99
12月15日,63.9,64.1,63.5,63.7,0.2,0.31,0.94,"8,631","2,624",3.29,5.51,"3,913",-5.93,85,"3,993",,-7,"1,266",0,39,3.08
12月14日,63,63.9,62.6,63.5,0.9,1.44,2.08,"4,713","2,257",2.09,2.99,"3,624",0,-1.74,"3,622",,-20,"1,273",0,39,3.06
12月13日,63.1,63.2,62.5,62.6,-0.4,-0.63,1.11,"3,789","2,186",1.73,2.38,"-1,073",9.01,-11.7,"-1,076",,35,"1,293",-2,39,3.02
12月12日,63.9,63.9,63,63,-0.4,-0.63,1.42,"3,329","1,710",1.95,2.1,"1,120",0,23.6,"1,144",34,26,"1,258",0,41,3.26
12月11日,63.3,63.4,63,63.4,0.1,0.16,0.63,"1,825","1,105",1.65,1.15,134,0,-15.8,118,34,-11,"1,232",0,41,3.33
12月8日,63.5,63.7,63.1,63.3,0,0,0.95,"3,361","1,399",2.4,2.13,402,-152,-58.1,191,34,15,"1,243",0,41,3.3
12月7日,63.4,63.5,63.2,63.3,-0.1,-0.16,0.47,"2,812","1,470",1.91,1.78,693,-1,3.2,695,34,1,"1,228",0,41,3.34
12月6日,64,64,63.4,63.4,-0.6,-0.94,0.94,"3,176","2,383",1.33,2.02,324,1,7.83,333,34,62,"1,227",0,41,3.34
12月5日,63.5,64,63.3,64,0.3,0.47,1.1,"4,548","2,144",2.12,2.89,"2,333",0,-73.6,"2,259",34,-10,"1,165",-1,41,3.52
12月4日,64.1,64.3,63.3,63.7,-0.3,-0.47,1.56,"3,777","2,331",1.62,2.41,566,0,-16.4,550,34,41,"1,175",-3,42,3.57
12月1日,63.9,64.4,63.9,64,-0.2,-0.31,0.78,"1,623","1,221",1.33,1.04,-9,-1,-60.1,-70.1,34,8,"1,134",0,45,3.97
11月30日,64.4,64.6,64,64.2,-0.1,-0.16,0.93,"6,998","2,153",3.25,4.49,"1,551",1.86,-44.9,"1,508",34,31,"1,126",0,45,4
11月29日,64.5,64.8,64.2,64.3,-0.2,-0.31,0.93,"4,701","3,038",1.55,3.03,"2,443",0,-26,"2,417",33.9,2,"1,095",0,45,4.11
11月28日,63.9,64.5,63.2,64.5,1.2,1.9,2.05,"6,239","2,975",2.1,4,"3,614",15,67,"3,696",33.9,-98,"1,093",0,45,4.12
11月27日,64,64.4,63.3,63.3,-0.7,-1.09,1.72,"2,660","1,600",1.66,1.69,632,-3.68,-6.26,622,33.8,-35,"1,191",0,45,3.78
