交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,34.2,34.35,34.15,34.3,0.05,0.15,0.58,"7,317","3,342",2.19,2.5,26.4,-13,-329,-316,,-142,"18,659",10,126,0.68
12月21日,34.25,34.35,34.15,34.25,-0.25,-0.72,0.58,"7,256","4,978",1.46,2.48,-744,-210,-805,"-1,760",,40,"18,801",5,116,0.62
12月20日,34.45,34.6,34.25,34.5,0.15,0.44,1.02,"9,067","5,264",1.72,3.12,858,4,-829,32.8,,11,"18,761",-3,111,0.59
12月19日,34.7,34.7,34.2,34.35,-0.2,-0.58,1.45,"8,856","5,835",1.52,3.04,"-2,445",-29.6,-151,"-2,625",,46,"18,750",0,114,0.61
12月18日,34.45,34.7,34.35,34.55,0.25,0.73,1.02,"7,432","4,742",1.57,2.56,"1,167",475,235,"1,877",,1,"18,704",0,114,0.61
12月15日,34.5,34.55,34.3,34.3,-0.1,-0.29,0.73,"22,372","7,318",3.06,7.69,-713,-111,-157,-981,,112,"18,703",7,114,0.61
12月14日,34.5,34.55,34.1,34.4,0.35,1.03,1.32,"10,868","5,184",2.1,3.74,"3,208",-4,214,"3,418",,-115,"18,591",1,107,0.58
12月13日,34.15,34.2,34.05,34.05,-0.1,-0.29,0.44,"8,906","4,863",1.83,3.04,"-2,242",-0.97,5.15,"-2,238",,28,"18,706",-2,106,0.57
12月12日,34.4,34.4,34.1,34.15,-0.25,-0.73,0.87,"9,012","5,646",1.6,3.08,"-1,475",0,161,"-1,314",17.3,67,"18,678",-4,108,0.58
12月11日,34.6,34.65,34.2,34.4,-0.2,-0.58,1.3,"7,663","6,230",1.23,2.63,"-1,282",-13,-151,"-1,446",17.4,-63,"18,611",-24,112,0.6
12月8日,34.7,34.85,34.6,34.6,0.1,0.29,0.72,"12,386","3,906",3.17,4.29,"-2,870",-16,77,"-2,809",17.4,116,"18,674","-4,841",136,0.73
12月7日,34.6,34.75,34.4,34.5,-0.1,-0.29,1.01,"7,388","5,021",1.47,2.55,"-1,129",-1,-133,"-1,263",17.3,-101,"18,558",-2,"4,977",26.8
12月6日,34.95,35.05,34.6,34.6,-0.3,-0.86,1.29,"11,794","7,537",1.56,4.1,"-4,668","2,348",-168,"-2,487",17.4,31,"18,659",4,"4,979",26.7
12月5日,34,34.9,34,34.9,0.85,2.5,2.64,"24,323","10,993",2.21,8.43,"1,894","2,035",204,"4,133",17.4,-676,"18,628",15,"4,975",26.7
12月4日,34.5,34.55,34.05,34.05,-0.35,-1.02,1.45,"23,928","13,001",1.84,8.19,"-14,280","4,639",-66.6,"-9,708",17.6,311,"19,304",-7,"4,960",25.7
12月1日,34.6,34.75,34.3,34.4,-0.55,-1.57,1.29,"35,911","16,853",2.13,12.4,"-24,322","5,373",-330,"-19,278",17.8,806,"18,993",-26,"4,967",26.2
11月30日,34.3,35.3,34.3,34.95,0.7,2.04,2.92,"106,416","19,511",5.45,37.2,-483,"8,159",-46.7,"7,630",18.1,"-1,110","18,187",14,"4,993",27.5
11月29日,34.6,34.8,34.1,34.25,-0.25,-0.72,2.03,"27,502","14,913",1.84,9.46,"-10,214","4,945",-996,"-6,265",18,-77,"19,297",-3,"4,979",25.8
11月28日,35,35.5,34.5,34.5,0.55,1.62,2.95,"65,709","29,977",2.19,22.9,"-23,357","4,496","1,829","-17,032",18.1,535,"19,374",-12,"4,982",25.7
