交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,81.5,81.5,80,80.2,-1.7,-2.08,1.83,"2,856","2,367",1.21,2.3,-548,-21,-81.8,-651,,-57,566,-1,5,0.88
12月21日,82.1,82.8,81.8,81.9,-1,-1.21,1.21,"1,492","1,840",0.81,1.23,-331,-74.3,-24,-430,,18,623,0,6,0.96
12月20日,82.5,83,82,82.9,0.4,0.48,1.21,"1,924","2,225",0.86,1.59,195,-22,-62.5,111,,8,605,-2,6,0.99
12月19日,83.1,83.1,82.1,82.5,-0.7,-0.84,1.2,"1,376","2,355",0.58,1.13,198,0,-141,57.6,,15,597,-1,8,1.34
12月18日,83.7,83.7,83,83.2,-0.6,-0.72,0.84,800,985,0.81,0.67,-49.3,0,-73,-122,,17,582,-1,9,1.55
12月15日,83.5,84.3,82.8,83.8,0.5,0.6,1.8,"3,763","1,970",1.91,3.15,"1,486",-4,47,"1,529",,8,565,2,10,1.77
12月14日,81.7,83.7,81.6,83.3,1.7,2.08,2.57,"3,744","1,917",1.95,3.1,"2,580",-492,-17,"2,071",,-40,557,3,8,1.44
12月13日,82.5,82.5,81.2,81.6,-0.9,-1.09,1.58,"1,083","1,090",0.99,0.88,-632,11,-7.29,-628,,62,597,0,5,0.84
12月12日,82.5,82.8,81.5,82.5,0.7,0.86,1.59,"1,249",822,1.52,1.03,361,-102,37.9,297,6.85,-7,535,0,5,0.93
12月11日,82.2,82.2,81.7,81.8,-0.4,-0.49,0.61,359,571,0.63,0.29,15.7,-125,11,-98.4,6.84,6,542,0,5,0.92
12月8日,82.2,82.5,81.6,82.2,-0.1,-0.12,1.09,"1,638","1,132",1.45,1.34,272,-151,55,176,6.85,34,536,-1,5,0.93
12月7日,82.4,83,82,82.3,-0.8,-0.96,1.2,"1,114","1,175",0.95,0.92,-130,-177,-1,-308,6.84,23,502,-2,6,1.2
12月6日,83.2,83.6,83,83.1,0.3,0.36,0.72,664,625,1.06,0.55,156,13.6,0,170,6.84,-25,479,0,8,1.67
12月5日,82.2,82.9,82,82.8,-0.2,-0.24,1.08,758,"1,184",0.64,0.63,278,0,-101,177,6.84,-1,504,-9,8,1.59
12月4日,83,83.9,82.9,83,-0.5,-0.6,1.2,"1,213","2,403",0.5,1.01,-242,-3.32,9,-236,6.84,14,505,-1,17,3.37
12月1日,84.3,84.6,83.3,83.5,-1.5,-1.76,1.53,"1,184","2,837",0.42,0.99,-253,-3,-41,-297,6.84,21,491,-9,18,3.67
11月30日,85.3,85.4,84.1,85,0.5,0.59,1.54,"2,321","1,207",1.92,1.97,870,10.6,-5.29,875,6.84,-15,470,0,27,5.74
11月29日,84.7,84.7,84,84.5,-0.2,-0.24,0.83,"1,305",961,1.36,1.1,483,0,2,485,6.83,7,485,-2,27,5.57
11月28日,83.1,84.9,83,84.7,1.8,2.17,2.29,"2,392","1,658",1.44,2.02,"1,322",13,166,"1,500",6.83,-38,478,11,29,6.07
11月27日,84.6,84.6,82.8,82.9,-1.7,-2.01,2.13,948,"2,598",0.36,0.79,-87.9,-19.9,2,-106,6.81,37,516,-2,18,3.49
11月24日,84,84.6,83.9,84.6,0.6,0.71,0.83,875,667,1.31,0.74,563,0,-0.76,562,6.81,-2,479,3,20,4.18
11月23日,83.6,84.3,83.4,84,0,0,1.07,812,703,1.16,0.68,211,30,-33,208,6.81,-13,481,-1,17,3.53
