交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,17.75,17.8,17.7,17.75,0,0,0.56,"8,924","3,227",2.77,1.58,-730,-73.6,-206,"-1,009",,2,"10,404",10,45,0.43
12月21日,17.6,17.8,17.6,17.75,0.05,0.28,1.13,"10,159","4,279",2.37,1.8,"-2,258",-144,-73,"-2,475",,-492,"10,402",-3,35,0.34
12月20日,17.8,17.85,17.7,17.7,-0.05,-0.28,0.85,"13,106","4,927",2.66,2.33,"-4,026",-3,-134,"-4,163",,455,"10,894",3,38,0.35
12月19日,17.8,17.85,17.6,17.75,-0.1,-0.56,1.4,"19,440","7,112",2.73,3.49,"-7,651",-48,-182,"-7,881",,43,"10,439",0,35,0.34
12月18日,17.85,17.95,17.85,17.85,0,0,0.56,"11,761","4,911",2.39,2.1,-65.8,-99.8,-115,-281,,6,"10,396",0,35,0.34
12月15日,18.1,18.1,17.85,17.85,-0.25,-1.38,1.38,"29,393","8,855",3.32,5.26,"-7,632",-118,-124,"-7,874",,43,"10,390",-1,35,0.34
12月14日,17.95,18.1,17.95,18.1,0.15,0.84,0.84,"21,116","5,140",4.11,3.81,"10,481",-11,68,"10,538",,-18,"10,347",-2,36,0.35
12月13日,18,18,17.9,17.95,-0.05,-0.28,0.56,"6,922","3,778",1.83,1.24,-874,-2.95,63,-814,,-113,"10,365",0,38,0.37
12月12日,18.05,18.05,17.9,18,0,0,0.83,"11,165","3,776",2.96,2.01,554,0,-62,492,24.6,-1,"10,478",0,38,0.36
12月11日,17.95,18,17.85,18,0.1,0.56,0.84,"10,875","4,243",2.56,1.95,-42.3,-24,-21.4,-87.7,24.6,15,"10,479",-1,38,0.36
12月8日,18,18,17.9,17.9,-0.1,-0.56,0.56,"10,644","4,579",2.32,1.91,"-2,965",-41,27.2,"-2,979",24.6,-3,"10,464",0,39,0.37
12月7日,18,18,17.9,18,0,0,0.56,"6,624","4,047",1.64,1.19,265,-2,-40,223,24.6,-14,"10,467",1,39,0.37
12月6日,17.9,18.05,17.9,18,0.1,0.56,0.84,"9,732","3,611",2.69,1.75,"1,853",-3,-26,"1,824",24.6,27,"10,481",1,38,0.36
12月5日,17.95,18,17.9,17.9,-0.1,-0.56,0.56,"12,870","6,561",1.96,2.31,"-4,801",-24,445,"-4,381",24.6,116,"10,454",0,37,0.35
12月4日,18.05,18.15,18,18,0,0,0.83,"9,179","4,156",2.21,1.66,-55.7,66,-15,-4.71,24.6,-122,"10,338",0,37,0.36
12月1日,18.15,18.2,18,18,-0.3,-1.64,1.09,"12,927","5,037",2.57,2.33,"-3,378",5,-154,"-3,527",24.6,554,"10,460",-50,37,0.35
11月30日,18,18.3,18,18.3,0.25,1.39,1.66,"36,572","4,920",7.43,6.67,"5,844",-21.5,-164,"5,659",24.7,-135,"9,906",50,87,0.88
11月29日,18.15,18.2,18,18.05,-0.1,-0.55,1.1,"14,482","5,091",2.84,2.62,"-1,654",-36,100,"-1,590",24.6,56,"10,041",-1,37,0.37
11月28日,18.1,18.25,18.05,18.15,0.1,0.55,1.11,"17,914","5,149",3.48,3.25,"7,216",-85,212,"7,343",24.6,28,"9,985",-25,38,0.38
11月27日,18.1,18.2,18,18.05,-0.05,-0.28,1.1,"7,195","3,267",2.2,1.3,847,-58,8,797,24.6,19,"9,957",0,63,0.63
