交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,97.3,97.7,97.2,97.2,-0.4,-0.41,0.51,"2,531","1,592",1.59,2.46,"-1,046",41.1,168,-837,,-2,564,0,1,0.18
12月21日,97.6,97.8,97.3,97.6,-0.5,-0.51,0.51,"3,256","2,637",1.23,3.17,-837,362,227,-248,,1,566,0,1,0.18
12月20日,98,98.1,97.6,98.1,0.1,0.1,0.51,"3,141","2,164",1.45,3.07,"-1,056",727,-1.41,-331,,-7,565,0,1,0.18
12月19日,97.8,98,97.6,98,-0.1,-0.1,0.41,"2,328","1,922",1.21,2.28,-157,530,-161,212,,11,572,0,1,0.17
12月18日,98.3,98.3,97.8,98.1,-0.3,-0.3,0.51,"2,203","1,876",1.17,2.16,-252,524,-107,165,,1,561,0,1,0.18
12月15日,99.2,99.2,97.8,98.4,-0.5,-0.51,1.42,"5,950","3,748",1.59,5.85,-818,31.1,12.1,-775,,0,560,0,1,0.18
12月14日,99.4,99.4,98.3,98.9,0.5,0.51,1.12,"2,668","1,984",1.34,2.64,729,59.4,-126,663,,1,560,0,1,0.18
12月13日,99.1,99.1,98.3,98.4,-0.3,-0.3,0.81,"1,882","1,465",1.28,1.86,-627,4.44,-0.88,-624,,-4,559,0,1,0.18
12月12日,99.2,99.2,98.5,98.7,0.2,0.2,0.71,"2,524","1,615",1.56,2.49,-44.7,-4.67,62.6,13.3,14.4,0,563,0,1,0.18
12月11日,99.1,99.2,98.1,98.5,-0.6,-0.61,1.11,"2,316","2,307",1,2.28,391,-8.66,-14,368,14.4,-26,563,0,1,0.18
12月8日,99.7,99.7,98.8,99.1,-0.3,-0.3,0.91,"2,620","1,862",1.41,2.6,429,-42.3,26.3,413,14.3,-18,589,0,1,0.17
12月7日,100,100.5,99.2,99.4,-0.6,-0.6,1.3,"2,792","2,361",1.18,2.78,254,-6.17,36,284,14.3,54,607,0,1,0.16
12月6日,101,101.5,100,100,-0.5,-0.5,1.49,"4,904","3,749",1.31,4.93,-280,690,80,490,14.3,56,553,0,1,0.18
12月5日,100.5,101,100,100.5,0.7,0.7,1,"6,978","3,361",2.08,7.01,782,"2,380",-50.9,"3,111",14.3,52,497,0,1,0.2
12月4日,99.1,101,99.1,99.8,0.6,0.6,1.92,"9,259","4,586",2.02,9.27,"1,820","2,280",55.8,"4,156",14.3,-29,445,-3,1,0.22
12月1日,98.5,99.3,98.4,99.2,0.8,0.81,0.91,"5,883","3,759",1.57,5.82,408,"2,400",-22,"2,786",14.3,16,474,3,4,0.84
11月30日,98.9,99.4,98.4,98.4,-0.5,-0.51,1.01,"9,815","2,796",3.51,9.68,"-2,354","1,998",49.3,-307,14.3,43,458,0,1,0.22
11月29日,98.8,99.4,98.8,98.9,0.5,0.51,0.61,"7,160","3,308",2.16,7.09,-50,"1,757",-15,"1,692",14.3,-6,415,0,1,0.24
11月28日,98.9,99.3,98.4,98.4,-0.1,-0.1,0.91,"7,664","3,547",2.16,7.58,"-1,363","1,496",9,142,14.3,-2,421,0,1,0.24
11月27日,98.3,99.7,98.3,98.5,0.2,0.2,1.42,"7,704","3,585",2.15,7.63,-333,"1,480",56,"1,203",15.2,-7,423,0,1,0.24
11月24日,98.4,99.2,98.2,98.3,-0.1,-0.1,1.02,"7,025","3,525",1.99,6.93,"-1,169","1,471",88,390,15.2,-2,430,0,1,0.23
