交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,582,582,579,582,5,0.87,0.52,"19,328","14,330",1.35,112,"9,164",-136,-456,"8,571",,-258,"12,650",25,96,0.76
12月21日,577,579,575,577,-8,-1.37,0.68,"26,007","33,077",0.79,150,"-8,062",-302,-269,"-8,633",,41,"12,908",-23,71,0.55
12月20日,587,587,583,585,0,0,0.68,"38,628","25,685",1.5,226,"20,096",245,"-12,026","8,315",,-157,"12,867",12,94,0.73
12月19日,588,588,580,585,0,0,1.37,"30,592","21,981",1.39,179,"6,889",923,"-2,590","5,222",,-220,"13,024",0,82,0.63
12月18日,579,585,577,585,0,0,1.37,"26,939","22,094",1.22,157,"3,319",580,-829,"3,070",,"-1,342","13,244",11,82,0.62
12月15日,585,586,580,585,3,0.52,1.03,"58,693","35,791",1.64,343,"14,136",388,-902,"13,622",,-887,"14,586",22,71,0.49
12月14日,581,582,579,582,8,1.39,0.52,"40,581","33,409",1.21,236,"22,224",120,"-1,038","21,306",,-854,"15,473",49,49,0.32
12月13日,576,579,576,577,-1,-0.17,0.52,"24,328","18,524",1.31,140,-118,-57.7,420,244,,-647,"16,327",0,0,0
12月12日,580,581,575,578,4,0.7,1.05,"32,857","22,572",1.46,190,"9,876",-62.6,-387,"9,426",72.6,-185,"16,974",0,0,0
12月11日,572,575,570,574,4,0.7,0.88,"29,204","19,353",1.51,167,"4,587",-123,252,"4,717",72.5,572,"17,159",-4,0,0
12月8日,574,577,570,570,4,0.71,1.24,"39,244","23,505",1.67,225,"7,907",-826,-896,"6,185",72.5,810,"16,587",-288,4,0.02
12月7日,570,573,566,566,-4,-0.7,1.23,"24,259","26,821",0.9,138,"-2,554",-301,-295,"-3,150",72.5,175,"15,777",-64,292,1.85
12月6日,568,575,568,570,0,0,1.23,"23,116","15,802",1.46,132,"2,000",-53,165,"2,113",72.5,96,"15,602",-46,356,2.28
12月5日,571,572,567,570,-4,-0.7,0.87,"27,356","26,933",1.02,156,"-4,359","-1,211",-419,"-5,989",72.5,70,"15,506",-57,402,2.59
12月4日,582,582,571,574,-5,-0.86,1.9,"29,424","23,004",1.28,169,"-5,240",-6.38,10,"-5,237",72.5,-892,"15,436",-63,459,2.97
12月1日,573,579,573,579,2,0.35,1.04,"28,798","18,507",1.56,166,"7,100",-611,"-1,060","5,429",72.5,-260,"16,328",-6,522,3.2
11月30日,576,577,570,577,3,0.52,1.22,"54,365","18,807",2.89,313,"4,882",-68,-770,"4,044",72.5,-32,"16,588",64,528,3.18
11月29日,578,579,570,574,-1,-0.17,1.57,"27,787","23,135",1.2,159,367,55,-553,-132,72.5,357,"16,620",-8,464,2.79
11月28日,565,576,565,575,7,1.23,1.94,"26,932","17,693",1.52,154,"3,322",-98.5,687,"3,911",72.5,478,"16,263",-10,472,2.9
11月27日,573,577,568,568,-7,-1.22,1.57,"20,322","28,620",0.71,116,"-2,134",59,-56,"-2,131",72.4,-112,"15,785",-65,482,3.05
11月24日,577,578,574,575,-3,-0.52,0.69,"12,503","12,961",0.96,71.9,"-1,134",69.7,-118,"-1,182",72.5,243,"15,897",-13,547,3.44
11月23日,574,578,574,578,1,0.17,0.69,"15,144","15,621",0.97,87.2,"2,838",-253,-218,"2,367",72.5,173,"15,654",-11,560,3.58
11月22日,576,579,574,577,-8,-1.37,0.85,"23,922","31,701",0.75,138,"-3,142",-478,-230,"-3,851",72.4,534,"15,482",-108,571,3.69
