交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,305.5,308.5,305,305.5,2,0.66,1.15,"2,996","3,256",0.92,9.18,243,-98,-22.1,123,,-14,"4,222",0,72,1.71
12月21日,304.5,305,302.5,303.5,-2,-0.65,0.82,"2,450","2,890",0.85,7.45,-644,-101,-16.6,-761,,-8,"4,236",4,72,1.7
12月20日,304,307,303.5,305.5,3,0.99,1.16,"5,046","4,337",1.16,15.4,651,-67,-389,196,,-7,"4,244",7,68,1.6
12月19日,307,307,302,302.5,-4.5,-1.47,1.63,"5,833","6,501",0.9,17.7,"-1,983",-146,-54.4,"-2,184",,67,"4,251",2,61,1.43
12月18日,311,313,307,307,-6,-1.92,1.92,"6,259","14,783",0.42,19.3,"-1,949",-186,-88.6,"-2,223",,88,"4,184",-8,59,1.41
12月15日,314,317,310.5,313,7.5,2.45,2.13,"13,196","9,517",1.39,41.5,"4,619",-113,-117,"4,388",,-184,"4,096",3,67,1.64
12月14日,305,308,304,305.5,2.5,0.83,1.32,"5,853","6,849",0.85,17.9,-436,-79.5,0.21,-516,,66,"4,280",-4,64,1.5
12月13日,300,303,300,303,2,0.66,1,"7,625","7,028",1.08,23,637,-154,45.5,529,,191,"4,214",-3,68,1.61
12月12日,307,309,300,301,-9.5,-3.06,2.9,"10,906","15,708",0.69,33.1,"-3,592","-1,395",-101,"-5,087",64.7,693,"4,023",-2,71,1.76
12月11日,310.5,314,308.5,310.5,-2,-0.64,1.76,"4,678","4,946",0.95,14.5,-859,-3.96,-20.2,-883,64.9,25,"3,330",-11,73,2.19
12月8日,313.5,314,311.5,312.5,1.5,0.48,0.8,"3,045","3,058",1,9.52,236,-182,-114,-60.6,64.9,-114,"3,305",-2,84,2.54
12月7日,309,313,309,311,1,0.32,1.29,"3,319","3,303",1,10.3,-562,-123,12,-674,64.9,-9,"3,419",-1,86,2.52
12月6日,311,315.5,309.5,310,-0.5,-0.16,1.93,"4,444","5,043",0.88,13.8,"-1,148",17,84.4,"-1,047",64.9,-24,"3,428",1,87,2.54
12月5日,314.5,316.5,310,310.5,-10,-3.12,2.03,"8,714","9,321",0.93,27.2,"-2,838",9,-203,"-3,031",65,127,"3,452",-17,86,2.49
12月4日,319.5,321.5,317,320.5,1,0.31,1.41,"3,983","5,495",0.72,12.7,-358,-13.4,-25.9,-397,65.1,-89,"3,325",1,103,3.1
12月1日,316,320,313.5,319.5,3,0.95,2.05,"4,192","3,603",1.16,13.3,-813,-10,-21.3,-844,65.1,-58,"3,414",3,102,2.99
11月30日,320,320,315,316.5,-0.5,-0.16,1.58,"9,905","6,727",1.47,31.4,-353,-27.1,-133,-513,65.1,-5,"3,472",-5,99,2.85
11月29日,322.5,322.5,316,317,-1.5,-0.47,2.04,"6,196","9,324",0.66,19.8,-347,26,-157,-478,65.1,-24,"3,477",-1,104,2.99
11月28日,313.5,320.5,310.5,318.5,4,1.27,3.18,"7,415","5,816",1.27,23.5,262,-5,44.2,301,65.1,-49,"3,501",7,105,3
11月27日,316,317.5,313.5,314.5,-2,-0.63,1.26,"4,202","9,370",0.45,13.2,-594,-2,-79.5,-676,65.1,-61,"3,550",1,98,2.76
11月24日,317.5,321.5,315.5,316.5,4,1.28,1.92,"7,526","11,392",0.66,23.9,634,355,-45.4,944,65.1,-85,"3,611",9,97,2.69
