交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,26.1,26.25,26.1,26.25,0.1,0.38,0.57,"3,970","2,121",1.87,1.04,555,-42.4,-193,320,,12,"1,326",-1,15,1.13
12月21日,26.15,26.3,26.05,26.15,-0.2,-0.76,0.95,"6,998","4,245",1.65,1.83,"-2,376",-84.7,-56.8,"-2,517",,13,"1,314",1,16,1.22
12月20日,26.55,26.6,26.35,26.35,-0.35,-1.31,0.94,"11,736","5,452",2.15,3.1,"-3,239",-2,-20,"-3,261",,60,"1,301",0,15,1.15
12月19日,26.5,26.7,26.45,26.7,0,0,0.94,"6,114","3,277",1.87,1.63,5.21,-40,-331,-365,,-2,"1,241",1,15,1.21
12月18日,26.6,26.7,26.5,26.7,-0.05,-0.19,0.75,"4,562","3,881",1.18,1.21,622,-68.7,-74.6,478,,5,"1,243",0,14,1.13
12月15日,26.9,27,26.75,26.75,-0.1,-0.37,0.93,"20,248","5,739",3.53,5.43,"3,783",-74.7,43.7,"3,752",,8,"1,238",0,14,1.13
12月14日,26.7,26.85,26.5,26.85,0.35,1.32,1.32,"14,390","6,818",2.11,3.85,"9,446",-7,21.5,"9,461",,-23,"1,230",0,14,1.14
12月13日,26.65,26.65,26.4,26.5,-0.15,-0.56,0.94,"8,419","4,512",1.87,2.23,"-1,346",3.04,-22.7,"-1,366",,-193,"1,253",-10,14,1.12
12月12日,26.8,26.8,26.55,26.65,0,0,0.94,"8,726","3,325",2.62,2.32,504,0,9.28,513,17.9,-21,"1,446",0,24,1.66
12月11日,26.75,26.75,26.55,26.65,-0.1,-0.37,0.75,"6,048","3,182",1.9,1.61,513,-21,-48.4,444,17.9,23,"1,467",0,24,1.64
12月8日,26.75,26.8,26.7,26.75,0,0,0.37,"5,689","2,477",2.3,1.52,"1,899",-25,44,"1,918",17.9,13,"1,444",0,24,1.66
12月7日,26.7,26.75,26.55,26.75,-0.05,-0.19,0.75,"3,485","2,679",1.3,0.93,412,-3,-64.3,344,17.9,-5,"1,431",0,24,1.68
12月6日,26.65,26.85,26.6,26.8,0.15,0.56,0.94,"5,194","2,572",2.02,1.39,"1,853",0,36,"1,889",17.9,-58,"1,436",0,24,1.67
12月5日,26.65,26.7,26.55,26.65,-0.1,-0.37,0.56,"5,630","3,339",1.69,1.5,40.7,-21,-68.5,-48.8,17.9,-20,"1,494",1,24,1.61
12月4日,26.9,26.95,26.6,26.75,0.2,0.75,1.32,"6,885","3,121",2.21,1.84,"3,596",54,0.44,"3,650",17.9,-28,"1,514",0,23,1.52
12月1日,26.7,26.8,26.55,26.55,-0.4,-1.48,0.93,"7,379","4,267",1.73,1.96,"-3,811",2,-251,"-4,060",17.9,30,"1,542",0,23,1.49
11月30日,26.75,26.95,26.6,26.95,0.25,0.94,1.31,"41,281","4,607",8.96,11.1,"2,957",-7.42,-269,"2,681",17.9,189,"1,512",0,23,1.52
11月29日,26.8,26.9,26.6,26.7,-0.05,-0.19,1.12,"10,162","4,855",2.09,2.72,"1,222",-24,-18,"1,180",17.9,9,"1,323",0,23,1.74
11月28日,26.75,26.8,26.55,26.75,0.25,0.94,0.94,"11,637","5,235",2.22,3.11,"4,072",-60,289,"4,301",17.9,-27,"1,314",1,23,1.75
11月27日,26.5,26.8,26.4,26.5,0,0,1.51,"8,346","3,539",2.36,2.22,305,-38.9,8,274,17.8,-19,"1,341",0,22,1.64
