交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,683,688,681,687,2,0.29,1.02,149,380,0.39,1.02,-16.6,0,-5.03,-21.7,,-2,134,0,0,0
12月21日,679,687,679,685,-6,-0.87,1.16,218,519,0.42,1.49,-37,1,11,-25,,1,136,0,0,0
12月20日,695,698,691,691,-9,-1.29,1,274,461,0.59,1.9,-34,0,-3.29,-37.3,,0,135,0,0,0
12月19日,699,705,695,700,-6,-0.85,1.42,215,416,0.52,1.51,-35.2,0,-14.2,-49.5,,2,135,0,0,0
12月18日,718,719,702,706,-7,-0.98,2.38,164,561,0.29,1.16,-44.3,0,4.93,-39.4,,17,133,0,0,0
12月15日,708,714,705,713,7,0.99,1.27,544,734,0.74,3.87,23.5,28,12.4,63.9,,-1,116,0,0,0
12月14日,697,713,696,706,17,2.47,2.47,431,712,0.61,3.05,189,0,3.3,192,,-6,117,0,0,0
12月13日,700,704,687,689,-15,-2.13,2.41,274,"1,029",0.27,1.89,-114,-8,-8.16,-130,,0,123,0,0,0
12月12日,711,721,699,704,-1,-0.14,3.12,270,657,0.41,1.91,47.7,-25,3.4,26.1,24.9,-3,123,0,0,0
12月11日,703,705,696,705,4,0.57,1.28,115,293,0.39,0.81,-0.35,-3,-5.82,-9.17,24.9,6,126,0,0,0
12月8日,697,707,697,701,7,1.01,1.44,202,352,0.57,1.42,48,-4,-1,43,24.9,3,120,0,0,0
12月7日,695,698,693,694,-6,-0.86,0.71,92.8,238,0.39,0.64,-14,0,-2.01,-16,24.9,2,117,0,0,0
12月6日,701,708,695,700,8,1.16,1.88,165,361,0.46,1.16,26.4,0,3.02,29.4,24.9,1,115,0,0,0
12月5日,694,697,691,692,-10,-1.42,0.85,194,641,0.3,1.34,-28,-18,-5.08,-51.1,24.9,0,114,0,0,0
12月4日,695,706,695,702,7,1.01,1.58,185,389,0.47,1.3,1.66,24,-10.5,15.2,24.9,0,114,0,0,0
12月1日,700,701,693,695,-15,-2.11,1.13,245,597,0.41,1.71,-149,3,-9.17,-155,24.9,6,114,0,0,0
11月30日,697,710,696,710,14,2.01,2.01,944,814,1.16,6.69,75.7,-2.01,0.76,74.5,24.9,-2,108,0,0,0
11月29日,708,710,696,696,-9,-1.28,1.99,503,655,0.77,3.53,6,0,-4.64,1.37,24.8,10,110,0,0,0
11月28日,685,709,685,705,22,3.22,3.51,354,608,0.58,2.48,98.7,-5,7.44,101,24.8,-7,100,0,0,0
11月27日,692,708,683,683,-11,-1.59,3.6,273,630,0.43,1.9,7.79,-1,-1,5.79,24.8,-2,107,0,0,0
11月24日,695,700,692,694,-2,-0.29,1.15,173,342,0.51,1.21,15.4,0,-3,12.4,24.8,-3,109,0,0,0
11月23日,703,705,695,696,-13,-1.83,1.41,148,461,0.32,1.04,-33.3,0,-12,-45.3,24.8,3,112,0,0,0
11月22日,709,709,699,709,0,0,1.41,202,523,0.39,1.43,-43.6,0,-0.11,-43.7,24.8,-1,109,0,0,0
11月21日,680,710,677,709,23,3.35,4.81,775,"1,294",0.6,5.42,281,3,2.59,287,24.8,-10,110,-1,0,0
11月20日,685,688,666,686,3,0.44,3.22,285,648,0.44,1.94,-25.6,4,3,-18.6,24.8,-3,120,0,1,0.83
11月17日,685,696,683,683,-5,-0.73,1.89,360,674,0.53,2.48,14.3,8,-6.57,15.7,24.8,2,123,0,1,0.81
