交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,85.6,85.8,84.8,85.8,-0.1,-0.12,1.16,"9,743","4,756",2.05,8.32,"-5,261","5,043",-139,-357,,-55,"3,535",-3,175,4.95
12月21日,85.5,85.9,84.8,85.9,-0.6,-0.69,1.27,"12,211","9,978",1.22,10.4,"-8,630","6,260",-123,"-2,492",,141,"3,590",-12,178,4.96
12月20日,85.2,86.5,85,86.5,1.5,1.76,1.76,"16,566","10,205",1.62,14.2,"-1,611","6,356",75.7,"4,821",,46,"3,449",5,190,5.51
12月19日,85.3,85.3,84.2,85,-0.5,-0.58,1.29,"10,365","6,995",1.48,8.8,"-6,048","6,796",-129,619,,-165,"3,403",30,185,5.44
12月18日,84.6,85.5,83.3,85.5,1,1.18,2.6,"13,396","7,152",1.87,11.4,"-3,335","6,561",61.6,"3,288",,76,"3,568",4,155,4.34
12月15日,85.7,85.9,84.5,84.5,-1,-1.17,1.64,"9,248","4,915",1.88,7.84,"-1,102","2,338",16.2,"1,252",,-83,"3,492",-2,151,4.32
12月14日,85.1,85.6,84.2,85.5,0.7,0.83,1.65,"9,519","6,744",1.41,8.11,"4,448",857,-227,"5,079",,-364,"3,575",15,153,4.28
12月13日,83.2,84.8,83,84.8,1.7,2.05,2.17,"11,766","8,974",1.31,9.9,"4,914","1,755",-187,"6,481",,99,"3,939",15,138,3.5
12月12日,82.9,83.4,82.6,83.1,0.6,0.73,0.97,"6,228","3,941",1.58,5.17,"1,773",681,-29.6,"2,425",36.5,-516,"3,840",-1,123,3.2
12月11日,81.8,82.5,81.7,82.5,0.8,0.98,0.98,"5,680","3,775",1.5,4.67,"2,987",134,58,"3,179",36.5,-200,"4,356",3,124,2.85
12月8日,81.5,81.7,81.2,81.7,0.6,0.74,0.62,"3,297","2,219",1.49,2.69,"1,481",49.1,-103,"1,427",36.4,1,"4,556",5,121,2.66
12月7日,81.3,81.8,80.9,81.1,-0.2,-0.25,1.11,"3,135","2,357",1.33,2.55,391,87.1,2,480,36.3,5,"4,555",-2,116,2.55
12月6日,80.9,81.3,80.7,81.3,0.5,0.62,0.74,"4,556","2,988",1.52,3.7,"1,409",184,-54.6,"1,539",36.3,-87,"4,550",3,118,2.59
12月5日,80.5,80.8,79.5,80.8,-0.1,-0.12,1.61,"4,995","4,865",1.03,4.01,-309,368,110,169,36.2,-42,"4,637",0,115,2.48
12月4日,81.2,81.6,80.5,80.9,-0.4,-0.49,1.35,"3,805","4,414",0.86,3.08,-444,444,29.2,28.9,36.3,-54,"4,679",-3,115,2.46
12月1日,80.5,81.4,80.5,81.3,0.1,0.12,1.11,"2,572","2,024",1.27,2.09,658,-41.9,6.95,623,36.3,-70,"4,733",-2,118,2.49
11月30日,81.3,81.6,80.6,81.2,-0.5,-0.61,1.22,"9,085","3,730",2.44,7.37,-365,19.9,-154,-499,36.1,-25,"4,803",-9,120,2.5
11月29日,81,82,80.8,81.7,0.6,0.74,1.48,"7,058","4,567",1.55,5.76,"1,902",-4.9,-66.7,"1,830",36.1,465,"4,828",6,129,2.67
11月28日,81,81.3,80.3,81.1,0.3,0.37,1.24,"5,176","3,214",1.61,4.19,"1,309",-57,100,"1,353",36,10,"4,363",-1,123,2.82
11月27日,80.8,81.2,80.7,80.8,0,0,0.62,"3,845","2,631",1.46,3.11,"1,239",-21,10.6,"1,229",36,-162,"4,353",2,124,2.85
