交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,607,612,591,596,-11,-1.81,3.46,"2,904","4,562",0.64,17.3,-289,-174,-67.4,-531,,31,"3,053",-22,301,9.86
12月21日,607,614,603,607,-7,-1.14,1.79,"1,546","2,626",0.59,9.39,257,-92.5,-11.4,153,,-1,"3,022",-17,323,10.7
12月20日,617,619,613,614,-2,-0.32,0.97,"1,535","2,108",0.73,9.44,48.6,-88,14.5,-25,,53,"3,023",-2,340,11.2
12月19日,620,627,612,616,-4,-0.65,2.42,"2,028","2,555",0.79,12.5,225,-44,-77.3,103,,-165,"2,970",-3,342,11.5
12月18日,628,629,615,620,-13,-2.05,2.21,"1,853","5,469",0.34,11.5,-832,27.3,-33.5,-838,,102,"3,135",-62,345,11
12月15日,630,633,625,633,-1,-0.16,1.26,"3,442","3,832",0.9,21.7,-492,35.9,-119,-576,,40,"3,033",-6,407,13.4
12月14日,610,634,610,634,29,4.79,3.97,"7,047","9,817",0.72,44.2,"2,273",466,197,"2,936",,-221,"2,993",75,413,13.8
12月13日,622,623,600,605,-14,-2.26,3.72,"3,198","12,827",0.25,19.5,-562,54.3,7.77,-500,,-92,"3,215",-36,338,10.5
12月12日,622,624,615,619,5,0.81,1.47,"4,224","5,610",0.75,26.2,578,455,-0.9,"1,032",52.7,193,"3,307",12,374,11.3
12月11日,610,618,606,614,13,2.16,2,"5,100","7,234",0.7,31.2,940,864,9.25,"1,813",52.5,-264,"3,114",21,362,11.6
12月8日,598,606,596,601,6,1.01,1.68,"2,676","3,560",0.75,16.1,82.2,538,103,723,52.3,192,"3,378",0,341,10.1
12月7日,594,601,591,595,0,0,1.68,"1,755","2,519",0.7,10.4,10.5,70.9,-15.8,65.6,52.3,-117,"3,186",12,341,10.7
12月6日,602,607,589,595,-5,-0.83,3,"2,190","4,727",0.46,13.1,-150,15,-160,-295,52.3,290,"3,304",-20,329,9.96
12月5日,600,603,596,600,1,0.17,1.17,"1,934","2,531",0.76,11.6,579,71,-102,549,52.4,-216,"3,014",6,349,11.6
12月4日,600,601,595,599,2,0.34,1.01,"1,621","2,065",0.79,9.7,283,93,-20.9,355,52.2,-80,"3,231",-12,343,10.6
12月1日,597,602,591,597,-4,-0.67,1.83,"2,064","3,462",0.6,12.3,15.8,154,23,193,52.2,-171,"3,311",-5,355,10.7
11月30日,604,604,596,601,2,0.33,1.34,"3,967","4,370",0.91,23.8,386,5.99,-97.7,295,52.1,34,"3,483",8,360,10.3
11月29日,596,600,592,599,5,0.84,1.35,"4,042","6,260",0.65,24.1,884,250,29.9,"1,164",52,6,"3,449",35,352,10.2
11月28日,573,595,571,594,23,4.03,4.2,"6,515","10,663",0.61,38.3,"1,545",497,273,"2,315",51.8,338,"3,445",60,317,9.2
11月27日,575,575,567,571,-4,-0.7,1.39,"1,789","2,326",0.77,10.2,-5.21,90,-71.5,13.2,51.5,-35,"3,107",-7,257,8.27
11月24日,552,585,552,575,30,5.5,6.06,"7,049","9,334",0.76,40.4,"2,075",305,107,"2,486",51.4,178,"3,142",35,264,8.4
11月23日,548,552,545,545,-5,-0.91,1.27,747,"1,078",0.69,4.09,-277,2,81.8,-194,50.9,34,"2,964",-23,229,7.73
11月22日,547,551,546,550,0,0,0.91,596,"1,260",0.47,3.27,-39.5,-1.51,-14.8,-55.8,51,40,"2,930",-2,252,8.6
