交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,44.7,44.85,44.6,44.65,-0.05,-0.11,0.56,"12,841","5,859",2.19,5.74,"-6,488",-79.7,232,"-6,336",,-108,"16,170",-3,493,3.05
12月21日,44.6,44.8,44.6,44.7,-0.15,-0.33,0.45,"11,173","6,091",1.83,4.99,"-4,345",-88.3,-96.1,"-4,530",,576,"16,278",13,496,3.05
12月20日,45.05,45.1,44.8,44.85,-0.05,-0.11,0.67,"17,026","7,880",2.16,7.64,"-5,350",-942,"-1,249","-7,541",,645,"15,702",17,483,3.08
12月19日,45.35,45.4,44.85,44.9,-0.6,-1.32,1.21,"19,313","10,542",1.83,8.69,"-11,636",-43.2,-927,"-12,607",,341,"15,057",-16,466,3.09
12月18日,45.6,45.65,45.25,45.5,-0.35,-0.76,0.87,"10,783","5,502",1.96,4.9,"-2,685",-95.8,-674,"-3,455",,129,"14,716",3,482,3.28
12月15日,46.05,46.1,45.6,45.85,-0.05,-0.11,1.09,"29,966","13,154",2.28,13.7,"1,969",-218,"-1,429",322,,-177,"14,587",-11,479,3.28
12月14日,45.35,45.95,45.15,45.9,1.2,2.68,1.79,"37,884","13,290",2.85,17.3,"16,607",-58.7,"1,178","17,726",,93,"14,764",16,490,3.32
12月13日,44.75,44.9,44.6,44.7,-0.05,-0.11,0.67,"16,546","8,790",1.88,7.4,"-7,869",0.8,121,"-7,747",,70,"14,671",-12,474,3.23
12月12日,44.75,44.85,44.6,44.75,-0.1,-0.22,0.56,"17,098","9,799",1.74,7.65,"-4,604",-9.74,-118,"-4,732",21,170,"14,601",-25,486,3.33
12月11日,44.85,44.95,44.75,44.85,0,0,0.45,"13,900","6,657",2.09,6.23,"-5,440",-37.7,-104,"-5,582",21,308,"14,431",-27,511,3.54
12月8日,45,45.2,44.8,44.85,-0.15,-0.33,0.89,"20,523","9,358",2.19,9.22,"-8,941",-72.4,260,"-8,753",21.1,223,"14,123",-77,538,3.81
12月7日,45.3,45.4,44.8,45,-0.45,-0.99,1.32,"22,695","10,848",2.09,10.2,"-12,589",-1.61,-249,"-12,839",21.2,-206,"13,900",58,615,4.42
12月6日,45.55,45.8,45.4,45.45,-0.1,-0.22,0.88,"14,826","5,732",2.59,6.75,"-3,763",1,209,"-3,554",21.2,-131,"14,106",0,557,3.95
12月5日,45.9,45.95,45.4,45.55,-0.7,-1.51,1.19,"22,302","9,497",2.35,10.2,"-9,587",-19,-626,"-10,232",21.2,-248,"14,237",-19,557,3.91
12月4日,46.35,46.4,46,46.25,0.2,0.43,0.87,"12,911","4,832",2.67,5.96,"2,416",-612,-76.6,"1,727",21.3,608,"14,485",-2,576,3.98
12月1日,46.25,46.25,45.9,46.05,-0.45,-0.97,0.75,"13,881","5,433",2.55,6.4,"-4,084",751,-242,"-3,575",21.3,-34,"13,877",-37,578,4.17
11月30日,45.85,46.5,45.75,46.5,0.75,1.64,1.64,"33,640","5,022",6.7,15.6,"7,638",-21.4,65.2,"7,681",21.3,-186,"13,911",35,615,4.42
11月29日,45.85,46.1,45.75,45.75,-0.25,-0.54,0.76,"12,034","5,162",2.33,5.52,-577,-23.2,92,-508,21.2,8,"14,097",-5,580,4.11
11月28日,45.7,46.05,45.55,46,0.25,0.55,1.09,"18,137","8,448",2.15,8.32,-39.3,"-1,019",275,-783,21.2,103,"14,089",8,585,4.15
