交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,2665,2690,2650,2650,-30,-1.12,1.49,434,"1,565",0.28,11.6,-35.6,-29.2,21.6,-43.2,,-20,"1,432",-1,43,3
12月21日,2650,2690,2635,2680,10,0.37,2.06,848,"2,386",0.36,22.6,164,-6.29,7.44,166,,-76,"1,452",-1,44,3.03
12月20日,2700,2720,2650,2670,-20,-0.74,2.6,819,"2,983",0.27,22,113,40.1,-96.4,56.8,,-41,"1,528",-1,45,2.95
12月19日,2685,2720,2645,2690,15,0.56,2.8,995,"3,079",0.32,26.7,-95.9,118,7.55,29.8,,85,"1,569",2,46,2.93
12月18日,2670,2700,2625,2675,5,0.19,2.81,"1,069","3,612",0.3,28.5,-164,-6.72,25.8,-145,,98,"1,484",-3,44,2.96
12月15日,2715,2725,2650,2670,-20,-0.74,2.79,"1,863","5,019",0.37,50,183,29,-23.4,189,,131,"1,386",1,47,3.39
12月14日,2605,2770,2590,2690,160,6.32,7.11,"3,291","11,116",0.3,89,926,134,-16.5,"1,044",,46,"1,255",2,46,3.67
12月13日,2390,2530,2390,2530,155,6.53,5.89,"2,672","12,221",0.22,66.3,561,161,58.4,780,,121,"1,209",13,44,3.64
12月12日,2360,2400,2360,2375,35,1.5,1.71,858,"2,864",0.3,20.5,170,84.9,18.6,274,36.5,-38,"1,088",10,31,2.85
12月11日,2310,2345,2290,2340,50,2.18,2.4,506,"1,811",0.28,11.8,106,14.8,-8.45,113,36.4,-5,"1,126",0,21,1.87
12月8日,2315,2340,2290,2290,-20,-0.87,2.16,605,"2,222",0.27,13.9,-71.9,4,-53,-121,36.4,26,"1,131",-1,21,1.86
12月7日,2310,2345,2300,2310,-10,-0.43,1.94,578,"2,034",0.28,13.4,-28.2,71.4,10.3,53.5,36.4,-2,"1,105",1,22,1.99
12月6日,2380,2385,2320,2320,-60,-2.52,2.73,"1,066","4,137",0.26,24.9,99.8,24.3,-70.9,53.2,36.4,-41,"1,107",-1,21,1.9
12月5日,2385,2385,2355,2380,-5,-0.21,1.26,368,"1,798",0.2,8.74,-16.7,2,-1.95,-16.7,36.4,7,"1,148",0,22,1.92
12月4日,2395,2410,2380,2385,20,0.85,1.27,510,"1,861",0.27,12.2,164,43.9,7.37,216,36.4,3,"1,141",0,22,1.93
12月1日,2390,2395,2350,2365,-25,-1.05,1.88,626,"2,215",0.28,14.8,6.38,9,-52.8,-37.5,36.3,14,"1,138",-2,22,1.93
11月30日,2385,2415,2365,2390,5,0.21,2.1,901,"3,363",0.27,21.6,40.2,59.8,-6,93.9,36.3,29,"1,124",2,24,2.14
11月29日,2320,2410,2310,2385,75,3.25,4.33,"1,722","7,487",0.23,40.9,365,132,35.7,532,36.2,-48,"1,095",3,22,2.01
11月28日,2300,2310,2270,2310,20,0.87,1.75,844,"2,673",0.32,19.4,162,31,-9.3,184,36,-33,"1,143",3,19,1.66
11月27日,2275,2300,2265,2290,25,1.1,1.55,417,"1,837",0.23,9.53,84.5,26.2,-0.56,110,35.9,-25,"1,176",0,16,1.36
11月24日,2280,2290,2255,2265,-15,-0.66,1.54,388,"1,556",0.25,8.81,-43.1,13.2,1.65,-28.2,35.8,-12,"1,201",0,16,1.33
11月23日,2265,2315,2260,2280,45,2.01,2.46,"1,146","4,260",0.27,26.3,214,49,-8.48,254,35.9,-1,"1,213",0,16,1.32
