交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,63.2,63.5,63.1,63.5,0.1,0.16,0.63,"7,544","3,861",1.95,4.78,"-1,440",-212,-323,"-1,975",,17,"7,776",81,310,3.99
12月21日,63.1,63.6,63.1,63.4,-0.2,-0.31,0.79,"9,778","5,298",1.85,6.19,-821,-77,-249,"-1,147",,-167,"7,759",-2,229,2.95
12月20日,63.9,64.1,63.6,63.6,-0.3,-0.47,0.78,"15,805","8,557",1.85,10.1,"-3,092",-49,"-1,394","-4,535",,-24,"7,926",16,231,2.91
12月19日,64.2,64.4,63.6,63.9,-0.6,-0.93,1.24,"10,870","6,782",1.6,6.94,"-4,616",-38,"-1,155","-5,809",,160,"7,950",-13,215,2.7
12月18日,64.8,64.8,64.1,64.5,-0.6,-0.92,1.08,"12,040","16,518",0.73,7.75,"-4,771",-61.9,-739,"-5,572",,-166,"7,790",-24,228,2.93
12月15日,65.2,65.3,64.8,65.1,-0.1,-0.15,0.77,"30,207","10,430",2.9,19.6,"1,445",-112,"-1,109",225,,-474,"7,956",-12,252,3.17
12月14日,63.6,65.3,63.3,65.2,2.3,3.66,3.18,"56,177","23,435",2.4,36.4,"23,736",162,"2,970","26,868",,"1,640","8,430",47,264,3.13
12月13日,63.1,63.1,62.7,62.9,-0.2,-0.32,0.63,"8,034","5,055",1.59,5.05,"-3,479",2.03,-51,"-3,528",,13,"6,790",-1,217,3.2
12月12日,63.1,63.2,62.7,63.1,0.2,0.32,0.79,"8,906","4,725",1.88,5.6,-410,0,-219,-629,18.9,-116,"6,777",-27,218,3.22
12月11日,63.2,63.2,62.7,62.9,-0.3,-0.47,0.79,"8,733","5,201",1.68,5.49,"-1,198","-1,508",-24.1,"-2,730",18.9,87,"6,893",10,245,3.55
12月8日,63.4,63.5,62.8,63.2,0,0,1.11,"13,532","7,312",1.85,8.53,-396,"-1,964",99.3,"-2,261",18.9,-7,"6,806",-7,235,3.45
12月7日,63.5,63.5,62.5,63.2,-0.6,-0.94,1.57,"19,566","11,509",1.7,12.3,"-11,783",606,-642,"-11,819",18.9,-88,"6,813",-3,242,3.55
12月6日,64.1,64.2,63.6,63.8,-0.3,-0.47,0.94,"8,944","4,657",1.92,5.71,"-1,155",-455,60.1,"-1,550",19,-87,"6,901",-2,245,3.55
12月5日,64.2,64.2,63.6,64.1,-0.3,-0.47,0.93,"12,005","5,941",2.02,7.66,"-1,923",-19,-265,"-2,207",19,92,"6,988",-3,247,3.53
12月4日,64,64.5,63.8,64.4,0.6,0.94,1.1,"9,762","5,822",1.68,6.27,"2,071","2,425",-98.6,"4,398",19,-111,"6,896",5,250,3.63
12月1日,64.2,64.2,63.6,63.8,-0.6,-0.93,0.93,"10,578","9,346",1.13,6.75,"-4,537",12,-174,"-4,700",19,73,"7,007",-6,245,3.5
11月30日,64.1,64.4,63.7,64.4,0.7,1.1,1.1,"25,587","6,418",3.99,16.4,"5,721",-380,-360,"4,981",19,-170,"6,934",-47,251,3.62
11月29日,64,64.2,63.5,63.7,-0.2,-0.31,1.1,"13,085","10,433",1.25,8.35,"-1,025",-35,84.9,-975,19,-8,"7,104",-1,298,4.19
11月28日,64,64.2,63.4,63.9,0.4,0.63,1.26,"12,025","5,328",2.26,7.69,"1,564",-35,168,"1,697",19,-34,"7,112",0,299,4.2
