交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,217.5,219,214,215,-0.5,-0.23,2.32,"38,583","46,051",0.84,83.6,-802,"-1,217",482,"-1,536",,-694,"56,701",-17,"3,772",6.65
12月21日,207,217.5,204,215.5,5.5,2.62,6.43,"66,534","58,075",1.15,141,"10,061","-5,319","-1,028","3,714",,519,"57,395",255,"3,789",6.6
12月20日,206.5,212.5,204,210,6.5,3.19,4.18,"70,765","46,306",1.53,148,"26,201","-14,058",174,"12,317",,"2,035","56,876",407,"3,534",6.21
12月19日,205,210,203.5,203.5,0.5,0.25,3.2,"52,909","27,143",1.95,109,"17,967","-15,066",-16.6,"2,884",,514,"54,841",-26,"3,127",5.7
12月18日,202.5,205.5,199,203,0.5,0.25,3.21,"26,818","12,923",2.08,54.6,"8,898","-8,456",6.33,448,,-311,"54,327",-86,"3,153",5.8
12月15日,206.5,207,202.5,202.5,-3,-1.46,2.19,"31,923","15,293",2.09,65,"7,102","-9,193",-140,"-2,232",,-714,"54,638",-419,"3,239",5.93
12月14日,204,206,202,205.5,4.5,2.24,1.99,"30,158","18,219",1.66,61.7,"9,096","-1,096",-224,"7,775",,167,"55,352",47,"3,658",6.61
12月13日,203,205,200.5,201,0,0,2.24,"24,050","15,776",1.52,48.7,"-2,048",-485,-202,"-2,735",,100,"55,185",49,"3,611",6.54
12月12日,205,206,201,201,-3,-1.47,2.45,"21,583","17,270",1.25,43.8,"2,686","-2,422",-130,134,23.5,-631,"55,085",-82,"3,562",6.47
12月11日,208,208,202,204,1,0.49,2.96,"20,921","15,045",1.39,42.8,"-1,958","1,010",-82.9,"-1,031",23.5,345,"55,716",-41,"3,644",6.54
12月8日,205,206.5,202,203,2,1,2.24,"29,825","18,873",1.58,60.8,"2,313",801,-70.9,"3,043",23.6,-354,"55,371",-116,"3,685",6.66
12月7日,199.5,203.5,196,201,1.5,0.75,3.76,"27,500","20,650",1.33,55.1,98.8,-707,113,-496,23.5,751,"55,725",-180,"3,801",6.82
12月6日,199,202,198,199.5,4.5,2.31,2.05,"22,117","14,590",1.52,44.2,"1,214",569,-53.8,"1,729",23.6,-358,"54,974",72,"3,981",7.24
12月5日,195.5,196.5,192.5,195,-2.5,-1.27,2.03,"29,376","18,015",1.63,57.1,"3,357","-2,162",-169,"1,026",23.6,-966,"55,332",30,"3,909",7.06
12月4日,202,202.5,197.5,197.5,-2.5,-1.25,2.5,"27,451","16,841",1.63,54.8,-957,"-3,481",-99.1,"-4,537",23.5,-310,"56,298",-44,"3,879",6.89
12月1日,201,202,198,200,-3,-1.48,1.97,"30,376","19,381",1.57,60.7,"-5,022","-4,789",-64,"-9,875",23.5,"1,035","56,608",-268,"3,923",6.93
11月30日,199,203,197,203,2,1,2.99,"55,734","22,698",2.46,112,"3,621","-6,141",-160,"-2,680",23.7,-506,"55,573",70,"4,191",7.54
11月29日,198.5,202,196,201,4,2.03,3.05,"37,752","21,605",1.75,75.5,"3,401","-4,474",-321,"-1,394",23.6,518,"56,079",-634,"4,121",7.35
11月28日,196,198,194,197,0.5,0.25,2.04,"34,568","21,869",1.58,67.8,259,"-4,751",227,"-4,265",23.4,96,"55,561",-723,"4,755",8.56
11月27日,203,203,193,196.5,-7,-3.44,4.91,"51,001","43,921",1.16,100,"-6,762","-7,563","-1,608","-15,932",23.4,-148,"55,465",441,"5,478",9.88
