交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,17.5,17.55,17.5,17.55,0.1,0.57,0.29,"21,394","3,459",6.18,3.75,"7,908","-17,476",-321,"-9,889",,162,"5,042",0,4,0.08
12月21日,17.5,17.6,17.45,17.45,-0.1,-0.57,0.85,"28,192","5,622",5.01,4.93,"8,710","-23,313",-10,"-14,613",,47,"4,880",-1,4,0.08
12月20日,17.6,17.7,17.5,17.55,-0.05,-0.28,1.14,"33,248","7,754",4.29,5.84,"10,418","-22,862",-295,"-12,739",,127,"4,833",0,5,0.1
12月19日,17.7,17.8,17.5,17.6,-0.15,-0.85,1.69,"27,208","6,711",4.05,4.79,"5,088","-20,185",-245,"-15,342",,168,"4,706",0,5,0.11
12月18日,17.85,17.9,17.7,17.75,-0.1,-0.56,1.12,"24,748","5,709",4.33,4.4,"5,875","-20,224",-182,"-14,531",,304,"4,538",-49,5,0.11
12月15日,18,18.05,17.85,17.85,-0.15,-0.83,1.11,"19,151","5,048",3.79,3.43,"1,290","-5,896",1,"-4,605",,197,"4,234",2,54,1.28
12月14日,18.1,18.15,17.95,18,-0.05,-0.28,1.11,"19,812","5,238",3.78,3.58,"4,340","-5,772",208,"-1,224",,267,"4,037",0,52,1.29
12月13日,18,18.05,17.95,18.05,0.05,0.28,0.56,"8,015","2,562",3.13,1.44,"3,016",0.02,0,"3,016",,-8,"3,770",0,52,1.38
12月12日,18,18,17.9,18,0.05,0.28,0.56,"5,341","1,951",2.74,0.96,"1,456",0,-53,"1,403",13.7,-13,"3,778",1,52,1.38
12月11日,17.9,17.95,17.8,17.95,0.1,0.56,0.84,"6,287","2,326",2.7,1.12,"1,357",-16.6,-5,"1,336",13.7,-13,"3,791",49,51,1.35
12月8日,17.85,17.9,17.8,17.85,0.05,0.28,0.56,"5,208","2,515",2.07,0.93,272,-19.5,27,279,13.7,-39,"3,804",1,2,0.05
12月7日,17.85,17.9,17.75,17.8,0,0,0.84,"6,790","2,692",2.52,1.21,"-1,427",-2.3,-57,"-1,487",13.7,-30,"3,843",0,1,0.03
12月6日,17.85,17.95,17.8,17.8,0,0,0.84,"7,978","2,459",3.24,1.42,-390,1,38,-351,13.7,12,"3,873",0,1,0.03
12月5日,17.8,17.85,17.8,17.8,-0.05,-0.28,0.28,"7,626","3,426",2.23,1.36,-406,-16,-90,-512,13.7,-56,"3,861",0,1,0.03
12月4日,17.85,18,17.85,17.85,0,0,0.84,"7,998","2,943",2.72,1.43,"-1,274",-1.46,88,"-1,188",13.7,21,"3,917",0,1,0.03
12月1日,17.85,17.95,17.8,17.85,0.05,0.28,0.84,"7,019","2,426",2.89,1.25,"-1,901",-35,189,"-1,747",13.7,47,"3,896",0,1,0.03
11月30日,17.9,18,17.8,17.8,-0.15,-0.84,1.11,"19,003","3,490",5.44,3.39,"-4,136",3.78,293,"-3,839",13.7,27,"3,849",0,1,0.03
11月29日,18,18,17.85,17.95,0.05,0.28,0.84,"7,759","2,933",2.65,1.39,"1,194",-15,-94,"1,085",13.8,75,"3,822",0,1,0.03
11月28日,17.85,18,17.8,17.9,0.1,0.56,1.12,"16,323","4,030",4.05,2.93,"5,354",32,142,"5,528",13.8,-335,"3,747",0,1,0.03
11月27日,17.75,17.9,17.7,17.8,0.05,0.28,1.13,"8,153","2,717",3,1.45,763,-58.6,-33.4,671,13.7,209,"4,082",0,1,0.02
