交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,130.5,132,129.5,131.5,1.5,1.15,1.92,"8,935","3,345",2.67,11.7,"1,875","1,278",-101,"3,052",,-87,"2,394",0,486,20.3
12月21日,129.5,131,128.5,130,-1.5,-1.14,1.9,"11,803","4,360",2.71,15.3,"2,769","-2,083",78,764,,-28,"2,481",-22,486,19.6
12月20日,133,133.5,130.5,131.5,0,0,2.28,"15,217","5,751",2.65,20.1,"5,277","-2,620",-60.7,"2,596",,-1,"2,509",5,508,20.2
12月19日,131.5,132,130,131.5,0,0,1.52,"10,789","5,591",1.93,14.1,311,"-1,485",-215,"-1,388",,-11,"2,510",0,503,20
12月18日,129,133,129,131.5,0.5,0.38,3.05,"9,757","4,459",2.19,12.8,"3,258","-2,209",-18.3,"1,031",,-66,"2,521",-2,503,20
12月15日,133.5,134,131,131,-2.5,-1.87,2.25,"15,430","5,646",2.73,20.4,"3,603","-3,581",-271,-250,,66,"2,587",-5,505,19.5
12月14日,132,133.5,131,133.5,3.5,2.69,1.92,"13,736","7,446",1.84,18.3,"6,767",-857,-54.6,"5,856",,-56,"2,521",11,510,20.2
12月13日,129.5,131,129,130,0.5,0.39,1.54,"7,059","3,039",2.32,9.17,372,-938,-235,-800,,40,"2,577",0,499,19.4
12月12日,131,131.5,129,129.5,-1.5,-1.15,1.91,"9,137","3,840",2.38,11.9,"1,821","-2,290",-17.8,-486,76.6,86,"2,537",4,499,19.7
12月11日,130,131.5,129,131,1.5,1.16,1.93,"10,308","4,440",2.32,13.4,879,334,-19.4,"1,193",76.5,-43,"2,451",13,495,20.2
12月8日,128,130.5,127.5,129.5,3,2.37,2.37,"14,457","6,024",2.4,18.7,"4,770",247,-33.2,"4,983",76.5,-133,"2,494",24,482,19.3
12月7日,129,129,125.5,126.5,-2.5,-1.94,2.71,"9,653","4,741",2.04,12.2,88,-284,-113,-309,76.4,161,"2,627",-3,458,17.4
12月6日,128.5,129,127,129,-0.5,-0.39,1.54,"8,223","4,587",1.79,10.6,"-1,688","1,058",-53.8,-684,76.4,10,"2,466",-13,461,18.7
12月5日,129,130,128,129.5,-0.5,-0.38,1.54,"11,959","4,702",2.54,15.4,88.8,983,-32.1,"1,040",76.4,-60,"2,456",-3,474,19.3
12月4日,129,131,129,130,2,1.56,1.56,"12,762","6,551",1.95,16.6,564,"1,280",-115,"1,729",76.4,-5,"2,516",-58,477,19
12月1日,127,128.5,126.5,128,0,0,1.56,"9,914","4,884",2.03,12.7,-590,798,-170,37.5,76.4,-68,"2,521",-1,535,21.2
11月30日,127,128,126,128,1,0.79,1.57,"19,196","5,693",3.37,24.5,282,"1,008",14.6,"1,305",76.4,-14,"2,589",13,536,20.7
11月29日,125.5,128,125,127,1.5,1.2,2.39,"13,712","5,456",2.51,17.4,"3,435",-534,-110,"2,791",76.4,-167,"2,603",5,523,20.1
11月28日,126,126.5,125,125.5,-0.5,-0.4,1.19,"10,784","4,773",2.26,13.6,576,254,17.4,848,76.3,27,"2,770",-24,518,18.7
11月27日,126.5,128,126,126,-0.5,-0.4,1.58,"8,090","4,141",1.95,10.2,323,623,-22.7,923,76.3,29,"2,743",2,542,19.8
11月24日,127,128,126.5,126.5,-0.5,-0.39,1.18,"6,825","3,184",2.14,8.67,-590,102,-22,-510,76.3,-36,"2,714",18,540,19.9
