交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,490.5,504,488.5,489.5,1,0.2,3.17,"2,654","2,768",0.96,13.1,-184,-214,64.3,-334,,9,"2,328",9,247,10.6
12月21日,483.5,495.5,483.5,488.5,-7.5,-1.51,2.42,"4,728","4,963",0.95,23.1,"1,781","-2,235",16.5,-438,,42,"2,319",-20,238,10.3
12月20日,511,511,486.5,496,-16,-3.12,4.79,"7,180","8,163",0.88,35.6,-655,-985,-304,"-1,944",,159,"2,277",-36,258,11.3
12月19日,510,517,507,512,-2,-0.39,1.95,"1,817","1,775",1.02,9.31,-79.3,-127,-72.4,-279,,-14,"2,118",4,294,13.9
12月18日,502,516,498,514,8,1.58,3.56,"3,322","2,950",1.13,16.9,273,-316,-35,-78.7,,-46,"2,132",2,290,13.6
12月15日,527,532,506,506,-24,-4.53,4.91,"5,811","6,823",0.85,29.8,-297,-706,-21.8,"-1,025",,120,"2,178",-8,288,13.2
12月14日,539,545,526,530,-3,-0.56,3.56,"3,206","3,071",1.04,17.1,375,-159,-31.9,184,,-80,"2,058",-5,296,14.4
12月13日,526,535,516,533,7,1.33,3.61,"5,337","5,287",1.01,27.9,804,-843,3.04,-36,,-120,"2,138",-9,301,14.1
12月12日,543,549,525,526,-7,-1.31,4.5,"3,581","3,349",1.07,19,-432,-296,84.3,-644,64.6,121,"2,258",-21,310,13.7
12月11日,532,538,526,533,1,0.19,2.26,"2,612","2,262",1.15,13.9,141,-225,74.8,-9.3,64.7,25,"2,137",-1,331,15.5
12月8日,536,540,532,532,4,0.76,1.52,"1,806","1,755",1.03,9.68,83,223,-0.68,305,64.6,-57,"2,112",11,332,15.7
12月7日,539,539,524,528,-6,-1.12,2.81,"1,667","1,830",0.91,8.8,-227,-255,21,-461,64.6,39,"2,169",-20,321,14.8
12月6日,532,537,528,534,7,1.33,1.71,"2,426","2,273",1.07,12.9,199,-97.4,-62.9,38.3,64.7,83,"2,130",11,341,16
12月5日,525,531,520,527,6,1.15,2.11,"2,711","2,498",1.09,14.3,163,-61,-23.3,78.9,64.7,-116,"2,047",6,330,16.1
12月4日,536,536,515,521,-15,-2.8,3.92,"4,178","5,083",0.82,21.8,-718,-489,-85.5,"-1,292",64.6,73,"2,163",-11,324,15
12月1日,528,543,528,536,3,0.56,2.81,"1,695","1,810",0.94,9.09,416,-73,-70.5,272,64.7,-45,"2,090",4,335,16
11月30日,541,541,526,533,-5,-0.93,2.79,"4,605","3,623",1.27,24.5,-768,-132,-19,-920,64.7,264,"2,135",-11,331,15.5
11月29日,537,554,533,538,0,0,3.9,"3,127","3,112",1,16.9,635,-159,-94.3,382,64.8,96,"1,871",-7,342,18.3
11月28日,525,543,522,538,11,2.09,3.98,"2,991","2,787",1.07,16,473,-423,79.1,129,64.7,-48,"1,775",4,349,19.7
11月27日,540,547,527,527,-13,-2.41,3.7,"1,968","2,587",0.76,10.5,-370,-232,-86.4,-688,64.6,109,"1,823",-14,345,18.9
11月24日,551,551,539,540,-9,-1.64,2.19,"1,807","2,218",0.81,9.8,-384,-233,-28.4,-645,64.7,75,"1,714",-30,359,20.9
11月23日,564,564,546,549,-13,-2.31,3.2,"2,215","2,959",0.75,12.2,-525,-17,-67.2,-609,64.7,-17,"1,639",-43,389,23.7
11月22日,560,566,548,562,2,0.36,3.21,"2,377","2,465",0.96,13.2,-349,14.4,-107,-441,64.8,-75,"1,656",-3,432,26.1
