交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,178,179,175,175,-4,-2.23,2.23,"9,370","9,894",0.95,16.5,"-1,233","-1,842",-372,"-3,447",,602,"25,053",-153,"1,155",4.61
12月21日,170.5,180,170.5,179,6,3.47,5.49,"16,808","11,051",1.52,29.8,"9,642","-2,194",387,"7,836",,"-1,486","24,451",288,"1,308",5.35
12月20日,174.5,177,173,173,-1.5,-0.86,2.29,"12,609","8,331",1.51,22,344,"-3,076",359,"-2,374",,413,"25,937",-85,"1,020",3.93
12月19日,176.5,178,173.5,174.5,-1.5,-0.85,2.56,"10,654","6,707",1.59,18.7,"1,720","-1,660",-157,-97.3,,86,"25,524",-9,"1,105",4.33
12月18日,182,182.5,176,176,-6,-3.3,3.57,"14,087","9,574",1.47,25.1,-783,"-1,481",-361,"-2,626",,144,"25,438",-111,"1,114",4.38
12月15日,183,183,179,182,1.5,0.83,2.22,"23,728","14,783",1.61,43.1,"3,437",152,-297,"3,292",,-370,"25,294",59,"1,225",4.84
12月14日,177.5,180.5,177,180.5,3.5,1.98,1.98,"17,287","11,556",1.5,31,"7,617",182,198,"7,996",,"-1,221","25,664",83,"1,166",4.54
12月13日,176.5,178,175,177,1,0.57,1.7,"7,579","5,013",1.51,13.4,439,53.6,23.2,515,,-399,"26,885",1,"1,083",4.03
12月12日,179.5,180,175.5,176,-2,-1.12,2.53,"12,921","19,921",0.65,22.9,"-2,343",-20.7,25.7,"-2,338",44.9,-235,"27,284",-21,"1,082",3.97
12月11日,181.5,182,176.5,178,3.5,2.01,3.15,"27,853","18,367",1.52,49.9,"7,256",567,-293,"7,530",45.2,111,"27,519",72,"1,103",4.01
12月8日,171.5,175,171.5,174.5,6,3.56,2.08,"9,656","7,414",1.3,16.8,"3,404",17,160,"3,581",44.7,-171,"27,408",90,"1,031",3.76
12月7日,170,172.5,168.5,168.5,-1.5,-0.88,2.35,"5,938","4,533",1.31,10.1,-763,242,-98.5,-619,44.5,28,"27,579",-8,941,3.41
12月6日,172.5,173,170,170,-1.5,-0.87,1.75,"7,226","5,874",1.23,12.4,"-1,037",27.2,9.78,"-1,000",44.5,337,"27,551",-26,949,3.44
12月5日,175,176,171.5,171.5,-5.5,-3.11,2.54,"15,263","10,261",1.49,26.4,"-2,841",336,-68.6,"-2,573",44.6,209,"27,214",-156,975,3.58
12月4日,176,177.5,173,177,1,0.57,2.56,"10,884","9,894",1.1,19.1,"2,232",27.4,-58.7,"2,201",44.8,-467,"27,005",-13,"1,131",4.19
12月1日,174.5,178,174,176,-1,-0.56,2.26,"12,617","9,102",1.39,22.2,"1,833",153,-102,"1,885",44.7,-691,"27,472",-4,"1,144",4.16
11月30日,176.5,177,173,177,2,1.14,2.29,"19,956","11,410",1.75,35,"2,666",476,-537,"2,605",44.5,-165,"28,163",31,"1,148",4.08
11月29日,171.5,175.5,170,175,5,2.94,3.24,"21,888","23,166",0.94,38.1,"4,586",908,-16.6,"5,477",44.3,-727,"28,328",124,"1,117",3.94
11月28日,166,171,164.5,170,5.5,3.34,3.95,"16,163","12,257",1.32,27.3,"1,804",909,592,"3,305",44.1,-99,"29,055",206,993,3.42
11月27日,168,168.5,164.5,164.5,-2.5,-1.5,2.4,"7,346","5,924",1.24,12.2,506,222,-204,524,43.9,-644,"29,154",-135,787,2.7
