交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,19.25,19.45,19.25,19.3,0,0,1.04,"24,701","4,773",5.18,4.78,"15,886","-13,818",-273,"1,795",,43,"2,004",-4,295,14.7
12月21日,19.35,19.5,19.2,19.3,-0.15,-0.77,1.54,"29,852","5,832",5.12,5.78,"4,561","-10,759",-31.4,"-6,229",,-84,"1,961",-1,299,15.2
12月20日,19.55,19.65,19.4,19.45,-0.05,-0.26,1.28,"35,664","5,334",6.69,6.95,"7,183","-10,483",-134,"-3,434",,-63,"2,045",2,300,14.7
12月19日,19.7,19.7,19.4,19.5,-0.25,-1.27,1.52,"34,995","7,173",4.88,6.84,"9,734","-10,741",-561,"-1,568",,-18,"2,108",0,298,14.1
12月18日,20,20.05,19.7,19.75,-0.25,-1.25,1.75,"30,918","7,231",4.28,6.14,"5,740","-11,112",-71.6,"-5,443",,142,"2,126",1,298,14
12月15日,20,20.05,19.85,20,0,0,1,"37,792","7,266",5.2,7.55,"2,139","4,655",-390,"6,404",,-25,"1,984",1,297,15
12月14日,19.9,20,19.7,20,0.2,1.01,1.52,"22,448","6,448",3.48,4.48,"8,396","1,522","-1,215","8,704",,95,"2,009",2,296,14.7
12月13日,19.65,19.8,19.6,19.8,0.05,0.25,1.01,"22,319","6,353",3.51,4.4,689,"2,078","-1,554","1,212",,79,"1,914",0,294,15.4
12月12日,19.6,19.75,19.45,19.75,0.2,1.02,1.53,"25,299","6,327",4,4.97,"2,279","4,328",-624,"5,983",25.9,-377,"1,835",3,294,16
12月11日,19.25,19.6,19.1,19.55,0.3,1.56,2.6,"18,488","6,487",2.85,3.59,"9,112",705,26.2,"9,843",25.9,-119,"2,212",15,291,13.2
12月8日,19.3,19.3,19.15,19.25,0.2,1.05,0.79,"10,553","3,516",3,2.03,989,37.1,-278,748,25.8,23,"2,331",10,276,11.8
12月7日,19.3,19.35,19,19.05,-0.3,-1.55,1.81,"11,364","7,399",1.54,2.17,"-3,600",730,-141,"-3,011",25.8,281,"2,308",-2,266,11.5
12月6日,19.15,19.35,19.15,19.35,0.2,1.04,1.04,"18,137","6,873",2.64,3.5,"3,580","5,615",-428,"8,767",25.8,-403,"2,027",5,268,13.2
12月5日,18.95,19.15,18.9,19.15,0.05,0.26,1.31,"10,896","4,206",2.59,2.08,"1,470","1,625",64,"3,159",25.8,14,"2,430",1,263,10.8
12月4日,18.95,19.1,18.9,19.1,0.15,0.79,1.06,"13,991","4,811",2.91,2.67,"3,740","3,215",-69,"6,886",25.8,48,"2,416",10,262,10.8
12月1日,18.9,19,18.85,18.95,0.05,0.26,0.79,"10,198","4,146",2.46,1.93,-666,"1,223",-267,290,25.8,22,"2,368",1,252,10.6
11月30日,18.85,19.05,18.85,18.9,0.1,0.53,1.06,"41,784","4,200",9.95,7.9,"2,442","1,077",208,"3,727",25.8,18,"2,346",0,251,10.7
11月29日,19,19,18.8,18.8,-0.05,-0.27,1.06,"18,161","5,992",3.03,3.43,-49.1,"1,253",-368,836,25.8,120,"2,328",6,251,10.8
11月28日,19,19.1,18.85,18.85,0.05,0.27,1.33,"21,119","6,067",3.48,4,"6,010",985,482,"7,476",25.8,-15,"2,208",13,245,11.1
11月27日,18.85,19.1,18.8,18.8,-0.05,-0.27,1.59,"13,964","4,660",3,2.64,"1,426","1,393",102,"2,921",25.7,37,"2,223",1,232,10.4
