交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,25.3,25.4,25.25,25.4,0,0,0.59,"11,488","3,852",2.98,2.91,9.59,-46.1,-159,-195,,76,"6,811",-1,62,0.91
12月21日,25.25,25.4,25.2,25.4,0,0,0.79,"14,701","5,232",2.81,3.69,-100,-99,120,-79.5,,747,"6,735",-1,63,0.94
12月20日,25.5,25.5,25.35,25.4,-0.1,-0.39,0.59,"16,325","6,366",2.56,4.15,"-1,088",-16,2.88,"-1,101",,11,"5,988",0,64,1.07
12月19日,25.5,25.55,25.3,25.5,-0.15,-0.58,0.97,"12,700","11,701",1.09,3.23,5.72,-63,-427,-484,,-51,"5,977",25,64,1.07
12月18日,25.7,25.7,25.55,25.65,-0.05,-0.19,0.58,"9,730","5,805",1.68,2.49,"1,824",-67.7,8.17,"1,764",,9,"6,028",-1,39,0.65
12月15日,25.75,25.8,25.6,25.7,-0.05,-0.19,0.78,"29,554","9,830",3.01,7.6,"4,595",-82.1,72.2,"4,585",,25,"6,019",-15,40,0.66
12月14日,25.6,25.75,25.45,25.75,0.3,1.18,1.18,"26,186","10,948",2.39,6.73,"15,162",-16,168,"15,313",,47,"5,994",-14,55,0.92
12月13日,25.5,25.5,25.35,25.45,-0.05,-0.2,0.59,"13,218","8,151",1.62,3.36,226,-3.94,-346,-124,,-86,"5,947",8,69,1.16
12月12日,25.6,25.6,25.4,25.5,-0.1,-0.39,0.78,"13,011","6,272",2.07,3.32,"1,202",0,164,"1,366",31.2,-48,"6,033",-10,61,1.01
12月11日,25.55,25.6,25.4,25.6,0,0,0.78,"9,876","6,652",1.48,2.52,"3,719",-31,17.8,"3,706",31.2,-46,"6,081",0,71,1.17
12月8日,25.6,25.65,25.55,25.6,0.1,0.39,0.39,"13,693","5,384",2.54,3.5,"5,948",-53,-36,"5,859",31.2,-54,"6,127",0,71,1.16
12月7日,25.5,25.55,25.4,25.5,-0.05,-0.2,0.59,"9,044","4,696",1.93,2.3,-646,15,68.2,-563,31.1,50,"6,181",-5,71,1.15
12月6日,25.55,25.7,25.45,25.55,0.1,0.39,0.98,"21,606","7,242",2.98,5.53,"11,773",-4,-80.9,"11,688",31.1,358,"6,131",4,76,1.24
12月5日,25.2,25.5,25.15,25.45,0.2,0.79,1.39,"14,939","7,276",2.05,3.78,"5,850",-31,-104,"5,714",31.1,70,"5,773",6,72,1.25
12月4日,25.25,25.3,25.1,25.25,0,0,0.79,"13,685","6,546",2.09,3.45,72.9,59,-79,52.9,31,133,"5,703",-4,66,1.16
12月1日,25.5,25.6,25.15,25.25,-0.35,-1.37,1.76,"21,487","15,304",1.4,5.43,"-8,709",-2,-241,"-8,951",31,531,"5,570",-5,70,1.26
11月30日,25.65,25.65,25.5,25.6,0.05,0.2,0.59,"39,679","6,256",6.34,10.2,"2,485",-12.5,-244,"2,229",31,12,"5,039",2,75,1.49
11月29日,25.65,25.7,25.55,25.55,-0.15,-0.58,0.58,"18,489","7,635",2.42,4.74,"3,103",-35,-89,"2,979",31,25,"5,027",0,73,1.45
11月28日,25.45,25.7,25.4,25.7,0.35,1.38,1.18,"21,929","7,958",2.76,5.62,"14,096",-62,57,"14,091",31,-85,"5,002",2,73,1.46
11月27日,25.5,25.7,25.35,25.35,-0.15,-0.59,1.37,"12,127","7,077",1.71,3.09,"2,515",-37.3,-86,"2,392",30.9,-18,"5,087",0,71,1.4
