交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,461,466.5,460,464,5,1.09,1.42,"2,060","2,092",0.98,9.55,445,27.2,-9.21,463,,-21,"2,486",-2,70,2.82
12月21日,461.5,465.5,457,459,-6.5,-1.4,1.83,"3,438","3,289",1.05,15.8,358,-23.9,27.2,361,,21,"2,507",-6,72,2.87
12月20日,474,476,463,465.5,-8.5,-1.79,2.74,"3,996","3,731",1.07,18.6,-296,686,-37.5,353,,26,"2,486",-3,78,3.14
12月19日,459,475,454,474,4,0.85,4.47,"6,973","6,482",1.08,32.4,"-1,334","2,743",-6.15,"1,403",,52,"2,460",-1,81,3.29
12月18日,475,476,462.5,470,-9,-1.88,2.82,"4,294","4,881",0.88,20.1,330,106,-3.23,433,,67,"2,408",-13,82,3.41
12月15日,490.5,490.5,476,479,-13,-2.64,2.95,"4,330","5,585",0.78,20.8,"-1,398","1,705",-19.2,288,,-76,"2,341",-18,95,4.06
12月14日,470,492,467,492,23.5,5.02,5.34,"5,363","6,523",0.82,25.7,"-1,012","2,831",-90.1,"1,730",,28,"2,417",18,113,4.68
12月13日,460,468.5,457.5,468.5,11.5,2.52,2.41,"3,959","4,443",0.89,18.4,-253,"1,587",-91.3,"1,243",,-12,"2,389",-2,95,3.98
12月12日,455,459.5,452.5,457,6,1.33,1.55,"2,736","2,708",1.01,12.5,-29.5,851,-21.7,800,46.2,21,"2,401",9,97,4.04
12月11日,447.5,452.5,445.5,451,6.5,1.46,1.57,"1,809","2,182",0.83,8.13,442,67,12.8,522,46.1,14,"2,380",6,88,3.7
12月8日,446.5,450,443,444.5,3,0.68,1.59,"1,281","1,494",0.86,5.72,258,0.64,-191,67.5,46,-35,"2,366",-1,82,3.47
12月7日,448,448.5,438,441.5,-10,-2.21,2.33,"1,695","3,092",0.55,7.5,-398,-18.3,-21.1,-438,45.9,3,"2,401",-5,83,3.46
12月6日,444,451.5,442.5,451.5,4.5,1.01,2.01,"1,409","1,761",0.8,6.33,-109,403,-66.1,228,46.3,-3,"2,398",3,88,3.67
12月5日,449.5,453,443.5,447,-3,-0.67,2.11,"1,894","2,575",0.74,8.48,3.22,277,-82.7,197,46.3,-4,"2,401",-2,85,3.54
12月4日,446,450,444,450,1,0.22,1.34,"1,284","1,710",0.75,5.75,-162,223,-83.3,-23,46.4,-9,"2,405",-5,87,3.62
12月1日,444,455.5,442,449,-0.5,-0.11,3,"2,171","2,813",0.77,9.77,82.4,46.6,-77.1,51.9,46.4,-17,"2,414",2,92,3.81
11月30日,456,456.5,449.5,449.5,-13,-2.81,1.51,"4,278","4,860",0.88,19.3,"-1,172",-13,-34.8,"-1,219",46.3,76,"2,431",-19,90,3.7
11月29日,451.5,464.5,450,462.5,11,2.44,3.21,"3,936","4,322",0.91,18.1,504,"1,005",-216,"1,293",46.5,-40,"2,355",12,109,4.63
11月28日,449,454.5,443,451.5,2.5,0.56,2.56,"2,648","2,915",0.91,12,92.6,363,-146,310,46.4,-7,"2,395",5,97,4.05
11月27日,439.5,456.5,439.5,449,10,2.28,3.87,"4,580","4,669",0.98,20.7,634,109,39.9,784,46.4,-124,"2,402",10,92,3.83
11月24日,433.5,448.5,433.5,439,5.5,1.27,3.46,"2,860","3,462",0.83,12.7,443,295,58,796,46.2,-337,"2,526",5,82,3.25
