交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,355,361,355,359.5,0,0,1.67,701,594,1.18,2.52,185,-310,-8,-133,,-1,111,0,0,0
12月21日,352,361,352,359.5,1.5,0.42,2.51,608,762,0.8,2.18,53.8,-2.5,-2.92,48.4,,-1,112,0,0,0
12月20日,360,362.5,358,358,-2.5,-0.69,1.25,688,820,0.84,2.47,-100,0,9.29,-91.1,,5,113,-1,0,0
12月19日,359,361.5,358,360.5,-1.5,-0.41,0.97,809,869,0.93,2.91,-104,-2.5,-21.1,-128,,1,108,0,1,0.93
12月18日,360,364,359.5,362,-3,-0.82,1.23,504,928,0.54,1.82,-25.9,-26.7,-10.3,-62.9,,0,107,0,1,0.93
12月15日,361,368,360.5,365,-2.5,-0.68,2.04,"3,164","1,758",1.8,11.5,158,-12,10.8,157,,-7,107,0,1,0.93
12月14日,372,373,364,367.5,1.5,0.41,2.46,"1,629","1,588",1.03,5.99,11.7,157,-7.31,161,,13,114,0,1,0.88
12月13日,369.5,369.5,359.5,366,1.5,0.41,2.74,"1,010","1,202",0.84,3.68,-111,83.1,5.29,-22.7,,-2,101,0,1,0.99
12月12日,367,368,360.5,364.5,1,0.28,2.06,989,"1,327",0.75,3.6,30,-1.26,-1.74,27,41.2,-38,103,0,1,0.97
12月11日,357,363.5,354.5,363.5,11.5,3.27,2.56,"1,103","1,449",0.76,3.98,235,-1,0.91,235,41.2,-6,141,1,1,0.71
12月8日,353,354,350.5,352,0.5,0.14,1,752,616,1.22,2.65,61.9,-1,5.03,65.9,41.1,-2,147,0,0,0
12月7日,352.5,353,349.5,351.5,1.5,0.43,1,400,608,0.66,1.41,-3.31,-2.81,-0.56,-6.69,41.1,-2,149,0,0,0
12月6日,351,354,349,350,-1,-0.28,1.42,777,722,1.08,2.73,-55,1,-0.28,-54.3,41.1,1,151,0,0,0
12月5日,353.5,357,349.5,351,-5.5,-1.54,2.1,718,"1,009",0.71,2.52,-11,13,-102,-100,41.1,5,150,0,0,0
12月4日,355,357.5,354.5,356.5,2,0.56,0.85,400,698,0.57,1.42,44.8,2,-3.8,43,41.1,-4,145,0,0,0
12月1日,353,355,351.5,354.5,1,0.28,0.99,509,666,0.76,1.8,33,-12,-14.3,6.72,41.1,-6,149,0,0,0
11月30日,352,353.5,348.5,353.5,-0.5,-0.14,1.41,"3,643","1,495",2.44,12.8,-133,3.98,-5.08,-134,41.1,10,155,0,0,0
11月29日,350.5,356,350.5,354,4.5,1.29,1.57,"1,292","1,401",0.92,4.57,111,-4,-3.58,103,41.1,9,145,0,0,0
11月28日,345.5,353,344,349.5,4,1.16,2.6,"1,106","1,187",0.93,3.86,-71.1,28,12,-31.1,41.1,-8,136,0,0,0
11月27日,350,351.5,343.5,345.5,-2.5,-0.72,2.3,837,977,0.86,2.9,-208,-1,0.86,-209,41.1,9,144,0,0,0
11月24日,349.5,352,345,348,2,0.58,2.02,766,963,0.8,2.67,-245,232,-1.06,-13.8,41.1,18,135,0,0,0
11月23日,343.5,348,341.5,346,1,0.29,1.88,660,825,0.8,2.28,4.92,3,-4.85,3.07,41.2,-8,117,0,0,0
11月22日,352.5,352.5,344,345,-7.5,-2.13,2.41,574,"1,082",0.53,1.98,-249,-11.5,-16.8,-278,41.2,16,125,0,0,0
11月21日,347,352.5,346,352.5,8,2.32,1.89,"1,269","1,303",0.97,4.45,150,-3.68,-2.43,144,41.2,-8,109,0,0,0
