交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,26.8,26.9,26.7,26.75,-0.05,-0.19,0.75,"7,153","3,678",1.94,1.92,"-2,287",-118,-410,"-2,816",,-26,"1,250",-14,17,1.36
12月21日,26.7,26.85,26.65,26.8,-0.1,-0.37,0.74,"9,143","4,782",1.91,2.45,"-1,974",-128,-74.7,"-2,177",,14,"1,276",-2,31,2.43
12月20日,27.2,27.3,26.8,26.9,-0.3,-1.1,1.84,"19,267","8,975",2.15,5.2,"-7,560",-7,-564,"-8,132",,9,"1,262",4,33,2.61
12月19日,27.3,27.35,27.15,27.2,-0.3,-1.09,0.73,"10,891","5,102",2.13,2.97,"-2,465",-46,-588,"-3,100",,35,"1,253",7,29,2.31
12月18日,27.35,27.5,27.35,27.5,0.15,0.55,0.55,"5,642","3,065",1.84,1.55,"1,402",-83,-161,"1,158",,-4,"1,218",0,22,1.81
12月15日,27.7,27.7,27.35,27.35,-0.25,-0.91,1.27,"20,577","6,649",3.09,5.65,"-1,031",-208,-21,"-1,261",,16,"1,222",-2,22,1.8
12月14日,27.4,27.7,27.35,27.6,0.2,0.73,1.28,"11,402","4,411",2.59,3.15,"3,678",-57.5,-74.2,"3,547",,27,"1,206",-2,24,1.99
12月13日,27.5,27.5,27.25,27.4,-0.1,-0.36,0.91,"8,719","4,208",2.07,2.39,"-1,923",-0.96,-57.9,"-1,982",,-41,"1,179",0,26,2.21
12月12日,27.65,27.65,27.4,27.5,-0.05,-0.18,0.91,"8,474","2,683",3.16,2.33,672,0,2,674,24,5,"1,220",0,26,2.13
12月11日,27.6,27.65,27.4,27.55,-0.05,-0.18,0.91,"6,666","3,005",2.22,1.83,"-1,538",-43,-4.45,"-1,585",24,7,"1,215",0,26,2.14
12月8日,27.65,27.65,27.45,27.6,0.15,0.55,0.73,"7,037","2,434",2.89,1.94,648,-87.8,44,604,24,6,"1,208",-5,26,2.15
12月7日,27.5,27.6,27.4,27.45,-0.15,-0.54,0.72,"7,299","3,477",2.1,2.01,-593,-12.2,-10.2,-616,24.1,7,"1,202",3,31,2.58
12月6日,27.35,27.75,27.35,27.6,0.25,0.91,1.46,"11,437","4,066",2.81,3.16,"1,777","2,568",50,"4,394",24.1,-9,"1,195",1,28,2.34
12月5日,27.25,27.35,27.2,27.35,0,0,0.55,"9,386","4,213",2.23,2.56,-827,"1,288",-92.3,369,24,-8,"1,204",1,27,2.24
12月4日,27.35,27.55,27.25,27.35,0,0,1.1,"15,785","5,317",2.97,4.32,"-2,894","3,188",-55.6,239,24.1,-15,"1,212",1,26,2.15
12月1日,27.6,27.7,27.3,27.35,-0.35,-1.26,1.44,"16,140","6,418",2.51,4.43,"-9,819","3,665",-202,"-6,355",24.1,38,"1,227",-13,25,2.04
11月30日,27.55,27.8,27.55,27.7,0.2,0.73,0.91,"32,428","5,167",6.28,8.98,"-4,090","5,561",-163,"1,308",24.1,-66,"1,189",-1,38,3.2
11月29日,27.75,27.85,27.5,27.5,-0.1,-0.36,1.27,"16,309","4,936",3.3,4.51,"-2,585","3,543",219,"1,177",24.2,58,"1,255",-7,39,3.11
11月28日,27.65,27.95,27.55,27.6,0.15,0.55,1.46,"21,595","6,791",3.18,5.99,"2,969","3,171",256,"6,396",24.2,-44,"1,197",17,46,3.84
