交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,73.4,74.1,73.1,73.1,-0.6,-0.81,1.36,"10,963","8,311",1.32,8.04,"1,454","-1,876",11,-411,,10,275,-3,29,10.5
12月21日,73.6,74.3,73.4,73.7,-0.6,-0.81,1.21,"10,528","5,087",2.07,7.77,439,-738,-101,-401,,14,265,0,32,12.1
12月20日,73.8,74.6,73.8,74.3,0.5,0.68,1.08,"11,836","4,471",2.65,8.79,"1,673",-160,-142,"1,371",,-6,251,0,32,12.7
12月19日,73.7,74.1,73.3,73.8,-0.4,-0.54,1.08,"10,958","5,391",2.03,8.08,950,-943,-108,-101,,14,257,1,32,12.5
12月18日,73.5,74.7,73.5,74.2,0.5,0.68,1.63,"9,516","5,104",1.86,7.07,"2,707","-1,177",-57,"1,472",,-2,243,-1,31,12.8
12月15日,74.3,74.7,73.7,73.7,-0.1,-0.14,1.36,"12,214","4,013",3.04,9.04,533,496,79.2,"1,109",,-11,245,1,32,13.1
12月14日,73,74.4,73,73.8,0.6,0.82,1.91,"7,743","3,583",2.16,5.73,981,638,-20.1,"1,598",,-14,256,1,31,12.1
12月13日,74.4,74.4,73.1,73.2,-0.8,-1.08,1.76,"5,203","6,326",0.82,3.82,-218,-244,7.99,-454,,-29,270,-3,30,11.1
12月12日,74.9,75,74,74,-0.1,-0.13,1.35,"5,020","3,161",1.59,3.72,"1,200",-202,-82,916,37.8,-2,299,0,33,11
12月11日,74.1,74.4,73.7,74.1,0,0,0.94,"6,512","4,367",1.49,4.82,648,-65,-15,568,37.8,0,301,-3,33,11
12月8日,74.6,74.6,73.7,74.1,0,0,1.21,"6,400","3,807",1.68,4.74,924,-85,-15.3,824,37.7,-11,301,0,36,12
12月7日,73.5,74.4,73.3,74.1,0.8,1.09,1.5,"5,599","2,449",2.29,4.14,"1,255",-94,-9.33,"1,152",37.7,-19,312,4,36,11.5
12月6日,74.1,74.5,73.1,73.3,-0.7,-0.95,1.89,"6,932","5,471",1.27,5.1,"-1,180","1,038",30,-112,37.7,9,331,-9,32,9.67
12月5日,73.8,74.7,73.7,74,-0.4,-0.54,1.34,"12,911","6,937",1.86,9.59,"-2,470","4,118",21.1,"1,669",37.7,-6,322,-1,41,12.7
12月4日,74.4,75.1,74.1,74.4,0.1,0.13,1.35,"14,596","8,317",1.75,10.9,"-4,186","8,364",-76,"4,102",37.9,-127,328,-3,42,12.8
12月1日,72.7,74.5,72.6,74.3,1.3,1.78,2.6,"19,626","11,226",1.75,14.6,"-1,676","9,654",-402,"7,577",37.9,-74,455,16,45,9.89
11月30日,72.2,73.2,72.1,73,0.8,1.11,1.52,"38,049","9,046",4.21,27.8,"-12,568","14,420",65.2,"1,917",38,-173,529,1,29,5.48
11月29日,72.1,73.2,72.1,72.2,0.4,0.56,1.53,"22,264","8,136",2.74,16.2,"-4,310","8,158",-12,"3,836",38.2,-261,702,1,28,3.99
11月28日,72.6,73.2,71.8,71.8,-0.2,-0.28,1.94,"25,888","13,729",1.89,18.7,"-6,055","7,400",-151,"1,194",38.2,-17,963,-3,27,2.8
11月27日,72.8,73.7,72,72,-0.6,-0.83,2.34,"26,036","10,821",2.41,18.9,"-4,890","7,430",-59,"2,481",38.4,-528,980,1,30,3.06
11月24日,73.5,73.9,72.6,72.6,0.1,0.14,1.79,"26,627","12,399",2.15,19.5,"-5,197","7,457",150,"2,410",38.4,718,"1,508",-4,29,1.92
