交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,266.5,269,266.5,267,-0.5,-0.19,0.93,"1,461","1,253",1.17,3.91,-786,"1,034",22,270,,-5,353,0,0,0
12月21日,264.5,268,264.5,267.5,2.5,0.94,1.32,"1,534","1,349",1.14,4.09,"-1,037","1,105",-6.02,62.3,,-7,358,0,0,0
12月20日,267.5,268.5,265,265,-2.5,-0.93,1.31,"2,669","3,841",0.69,7.1,"-1,821","1,165",9.86,-646,,15,365,0,0,0
12月19日,266.5,269,266,267.5,0.5,0.19,1.12,"2,029","1,731",1.17,5.43,"-1,095","1,145",-14.1,36.3,,-8,350,0,0,0
12月18日,267,268.5,267,267,-0.5,-0.19,0.56,"1,930","1,502",1.29,5.17,"-1,292","1,142",1.78,-148,,-2,358,0,0,0
12月15日,267,270,267,267.5,-0.5,-0.19,1.12,"3,058","1,667",1.83,8.19,-718,539,0.25,-179,,2,360,0,0,0
12月14日,267.5,268.5,265,268,0.5,0.19,1.31,"1,447","1,848",0.78,3.87,-756,546,0.41,-209,,0,358,0,0,0
12月13日,268.5,269,267,267.5,-1,-0.37,0.74,524,"1,071",0.49,1.4,-187,1,-1.46,-187,,2,358,0,0,0
12月12日,269,269,267.5,268.5,0,0,0.56,455,861,0.53,1.22,-94.4,0,-16.6,-111,27.3,1,356,0,0,0
12月11日,269.5,269.5,267,268.5,-2.5,-0.92,0.92,793,"1,482",0.53,2.13,-320,0,5.08,-315,27.3,13,355,0,0,0
12月8日,270.5,271,269.5,271,1.5,0.56,0.56,546,967,0.56,1.47,59,-1,6,64,27.3,-1,342,0,0,0
12月7日,269,271,268.5,269.5,0,0,0.93,771,"1,215",0.63,2.08,-45.4,0,-1.01,-46.4,27.3,4,343,0,0,0
12月6日,270.5,271,269,269.5,-1,-0.37,0.74,540,"3,241",0.17,1.46,-11.3,1,4,-6.33,27.3,0,339,0,0,0
12月5日,269.5,271,269,270.5,0.5,0.19,0.74,729,"2,382",0.31,1.97,62,0,-21.8,40.2,27.3,-1,339,0,0,0
12月4日,270,271.5,268.5,270,1.5,0.56,1.12,583,925,0.63,1.57,128,4,0.8,133,27.3,-1,340,0,0,0
12月1日,268.5,270,267,268.5,-1,-0.37,1.11,622,"7,957",0.08,1.67,-142,-13,-8.32,-163,27.3,-2,341,0,0,0
11月30日,270.5,272,269.5,269.5,-0.5,-0.19,0.93,"2,744","1,346",2.04,7.4,-84.2,0.97,-14.6,-97.9,27.3,6,343,0,0,0
11月29日,270.5,271.5,269.5,270,-1.5,-0.55,0.74,"1,118","5,285",0.21,3.02,-28.1,0,0.32,-27.8,27.3,4,337,0,0,0
11月28日,271,273,270,271.5,1.5,0.56,1.11,"1,011","1,986",0.51,2.75,376,-4,19.6,392,27.3,-4,333,0,0,0
11月27日,271,271.5,270,270,-1,-0.37,0.55,554,"1,477",0.37,1.5,-97.3,-2.41,0,-99.8,27.3,2,337,0,0,0
11月24日,273.5,273.5,271,271,-2,-0.73,0.92,"1,066","1,715",0.62,2.89,-70.3,-1.5,0,-71.8,27.3,11,335,0,0,0
11月23日,272,273,272,273,1,0.37,0.37,800,"1,280",0.62,2.18,263,1.39,-4.89,260,27.3,-13,324,0,0,0
11月22日,270,272,269.5,272,1.5,0.55,0.92,817,"1,213",0.67,2.21,372,-4.02,2,369,27.3,-18,337,0,0,0
