交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,95.8,95.8,94.2,94.2,-1,-1.05,1.68,"41,979","38,910",1.08,39.8,"-7,937",491,-288,"-7,733",,579,"122,134",-127,"2,296",1.88
12月21日,93,95.6,91.7,95.2,1,1.06,4.14,"87,476","52,655",1.66,82.4,"18,085","-2,543",260,"15,802",,-201,"121,555",111,"2,423",1.99
12月20日,92.6,94.9,92.4,94.2,2.2,2.39,2.72,"92,594","44,219",2.09,87.1,"32,785","-7,397","-1,077","24,311",,"-2,720","121,756",407,"2,312",1.9
12月19日,93,94.2,92,92,-0.3,-0.33,2.38,"64,796","30,378",2.13,60.2,"-3,186","-7,251",-105,"-10,542",,"2,720","124,476",-50,"1,905",1.53
12月18日,91.6,93.3,90.9,92.3,0.7,0.76,2.62,"48,125","21,630",2.22,44.5,"9,431","-12,089",-335,"-2,993",,-738,"121,756",139,"1,955",1.61
12月15日,93.7,93.7,91.6,91.6,-1.5,-1.61,2.26,"65,445","29,008",2.26,60.4,277,"-14,156",76.5,"-13,803",,"2,329","122,494",-88,"1,816",1.48
12月14日,94.2,94.7,93.1,93.1,0.2,0.22,1.72,"61,159","35,913",1.7,57.3,-653,"-3,447",-598,"-4,697",,-104,"120,165",73,"1,904",1.58
12月13日,91.4,93.4,91.3,92.9,2.4,2.65,2.32,"77,257","42,706",1.81,71.6,"15,517","-2,827",-59,"12,631",,"-1,744","120,269",405,"1,831",1.52
12月12日,92.2,92.4,90.5,90.5,-1.3,-1.42,2.07,"48,601","32,727",1.49,44.3,"-11,335","-3,783",-487,"-15,604",27.7,"1,548","122,013",-142,"1,426",1.17
12月11日,93.1,94.4,91.6,91.8,-0.8,-0.86,3.02,"38,545","23,051",1.67,35.7,"-3,638","-1,036",201,"-4,473",28.1,596,"120,465",34,"1,568",1.3
12月8日,95.2,95.4,92.3,92.6,-0.8,-0.86,3.32,"57,810","36,027",1.6,54.1,"-11,399",33,"-1,847","-13,213",28.2,"1,127","119,869",-36,"1,534",1.28
12月7日,91.4,94.5,90.3,93.4,2.2,2.41,4.61,"76,639","46,897",1.63,71.2,"12,864","-1,863",325,"11,326",28.9,-386,"118,742",299,"1,570",1.32
12月6日,90.5,91.7,90.4,91.2,2,2.24,1.46,"41,760","26,304",1.59,38,"4,017","-1,282",574,"3,309",28.3,-756,"119,128",227,"1,271",1.07
12月5日,90.2,90.4,89,89.2,-2.1,-2.3,1.53,"58,437","40,691",1.44,52.2,"-17,266","-2,503",-825,"-20,594",28.2,"2,105","119,884",179,"1,044",0.87
12月4日,93.3,93.4,91.3,91.3,-1.5,-1.62,2.26,"48,779","31,655",1.54,44.9,"-3,947","-6,511","-1,679","-12,137",28.9,-248,"117,779",-5,865,0.73
12月1日,91.4,93.4,90.3,92.8,1.3,1.42,3.39,"74,345","43,073",1.73,68.3,"-5,334","-7,627","1,096","-11,865",29,"1,039","118,027",122,870,0.74
11月30日,92.2,93.3,91.1,91.5,-1.8,-1.93,2.36,"82,226","43,496",1.89,75.4,"-18,380","-10,173",321,"-28,232",29,"2,994","116,988",105,748,0.64
11月29日,92.8,95,92.7,93.3,0.8,0.86,2.49,"60,903","34,182",1.78,57,"-6,378","-7,545",339,"-13,584",29.1,"2,127","113,994",173,643,0.56
