交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,1845,1855,1810,1840,15,0.82,2.47,"2,178","3,262",0.67,40,-227,193,-24.6,-59.1,,32,"2,290",1,108,4.72
12月21日,1715,1855,1695,1825,90,5.19,9.22,"5,278","7,899",0.67,95.5,"1,499",-442,54.8,"1,112",,27,"2,258",28,107,4.74
12月20日,1710,1750,1690,1735,45,2.66,3.55,"2,569","2,825",0.91,44.4,"1,048",-887,-15.9,145,,-19,"2,231",9,79,3.54
12月19日,1760,1760,1690,1690,-45,-2.59,4.03,"2,481","3,303",0.75,42.4,317,-773,-24.7,-481,,79,"2,250",-11,70,3.11
12月18日,1745,1800,1715,1735,-5,-0.29,4.89,"3,480","3,938",0.88,61.3,549,-632,33.9,-50,,6,"2,171",-3,81,3.73
12月15日,1740,1780,1725,1740,15,0.87,3.19,"3,320","3,283",1.01,58,"1,158",-725,-16.9,417,,-115,"2,165",-23,84,3.88
12月14日,1770,1770,1720,1725,-10,-0.58,2.88,"1,513","2,848",0.53,26.3,-263,127,-31.1,-167,,87,"2,280",15,107,4.69
12月13日,1745,1775,1700,1735,-20,-1.14,4.27,"2,320","3,279",0.71,40.4,-287,123,-109,-273,,9,"2,193",5,92,4.2
12月12日,1775,1800,1735,1755,5,0.29,3.71,"2,203","3,352",0.66,38.9,142,2.94,-8.36,136,27.1,-28,"2,184",4,87,3.98
12月11日,1770,1780,1735,1750,0,0,2.57,"1,473","2,287",0.64,25.8,-12.3,-53,31.7,-33.7,27,-125,"2,212",0,83,3.75
12月8日,1765,1770,1720,1750,20,1.16,2.89,"1,983","2,950",0.67,34.6,186,-67,-43.2,76,27,-106,"2,337",-2,83,3.55
12月7日,1720,1760,1695,1730,5,0.29,3.77,"1,609","2,630",0.61,27.8,64.7,-22.7,9.99,52,26.9,48,"2,443",-19,85,3.48
12月6日,1715,1750,1715,1725,45,2.68,2.08,"1,656","2,897",0.57,28.6,383,-67,-7.71,308,26.8,-100,"2,395",-5,104,4.34
12月5日,1685,1690,1635,1680,-30,-1.75,3.22,"2,583","4,760",0.54,43,270,-363,10.6,-82,26.6,17,"2,495",14,109,4.37
12月4日,1770,1770,1680,1710,-95,-5.26,4.99,"4,188","9,291",0.45,71.8,0.19,-682,-83.2,-765,26.4,232,"2,478",-14,95,3.83
12月1日,1760,1815,1725,1805,45,2.56,5.11,"1,879","3,330",0.56,33.5,260,-45,59.2,275,26.4,-153,"2,246",18,109,4.85
11月30日,1785,1790,1745,1760,-20,-1.12,2.53,"2,077","2,953",0.7,36.6,-134,-116,-26.7,-276,26.3,3,"2,399",-5,91,3.79
11月29日,1740,1790,1730,1780,50,2.89,3.47,"2,997","3,920",0.76,53,257,-44,-3.6,210,26.3,-98,"2,396",6,96,4.01
11月28日,1700,1735,1680,1730,40,2.37,3.25,"2,050","2,993",0.68,35.1,9.48,-176,28,-139,26.3,19,"2,494",-2,90,3.61
11月27日,1750,1765,1685,1690,-60,-3.43,4.57,"2,255","5,175",0.44,38.6,468,-301,-82,85,26.2,-76,"2,475",-48,92,3.72
11月24日,1800,1805,1745,1750,-35,-1.96,3.36,"1,449","3,392",0.43,25.7,-142,-1.06,-62.3,-205,26,-51,"2,551",-11,140,5.49
11月23日,1825,1835,1785,1785,-40,-2.19,2.74,"1,927","3,633",0.53,34.8,104,-44,-28.5,31.9,26.1,-144,"2,602",-4,151,5.8
