交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,980,990,979,990,14,1.43,1.13,"3,390","5,936",0.57,33.4,642,318,55.3,"1,015",,-56,"5,663",39,457,8.07
12月21日,972,983,972,976,-7,-0.71,1.12,"4,676","10,425",0.45,45.6,-170,-236,140,-266,,-104,"5,719",1,418,7.31
12月20日,993,995,983,983,-9,-0.91,1.21,"6,530","9,439",0.69,64.4,-393,-368,-336,"-1,097",,190,"5,823",-18,417,7.16
12月19日,977,994,977,992,3,0.3,1.72,"5,132","8,525",0.6,50.6,810,-180,-308,322,,-62,"5,633",-5,435,7.72
12月18日,995,997,981,989,-7,-0.7,1.61,"4,946","9,332",0.53,48.9,-488,-198,-242,-928,,9,"5,695",-13,440,7.73
12月15日,975,998,971,996,30,3.11,2.8,"12,593","19,497",0.65,125,"1,791",-428,45.4,"1,409",,35,"5,686",6,453,7.97
12月14日,961,969,953,966,11,1.15,1.68,"6,861","11,144",0.62,66.1,-408,131,-17.6,-294,,66,"5,651",0,447,7.91
12月13日,944,955,939,955,16,1.7,1.7,"6,227","10,682",0.58,59.2,"1,964",578,46,"2,587",,-222,"5,585",3,447,8
12月12日,950,950,935,939,-2,-0.21,1.59,"4,720","6,770",0.7,44.4,-227,136,12,-79.5,59.5,-31,"5,807",-8,444,7.65
12月11日,942,944,932,941,-2,-0.21,1.27,"5,745","7,747",0.74,53.9,-547,-265,-12.3,-824,59.5,7,"5,838",-11,452,7.74
12月8日,941,946,937,943,12,1.29,0.97,"5,199","7,305",0.71,49,982,124,-155,951,59.5,-12,"5,831",3,463,7.94
12月7日,933,943,927,931,4,0.43,1.73,"3,086","5,037",0.61,28.8,213,194,-5.5,401,59.5,-58,"5,843",6,460,7.87
12月6日,925,933,925,927,-2,-0.22,0.86,"3,170","5,388",0.59,29.4,-125,216,41,132,59.4,22,"5,901",2,454,7.69
12月5日,925,933,921,929,-4,-0.43,1.29,"5,372","10,932",0.49,49.7,-117,59.5,41.1,-16.4,59.5,-55,"5,879",-34,452,7.69
12月4日,945,946,930,933,-14,-1.48,1.69,"5,266","12,031",0.44,49.3,-107,-455,72.7,-489,59.5,-126,"5,934",-18,486,8.19
12月1日,942,947,938,947,2,0.21,0.95,"3,529","5,430",0.65,33.3,935,-391,-62.1,482,59.5,-87,"6,060",2,504,8.32
11月30日,949,953,939,945,-3,-0.32,1.48,"7,863","7,856",1,74.3,190,-348,-96,-255,59.4,34,"6,147",-8,502,8.17
11月29日,941,949,936,948,6,0.64,1.38,"5,411","7,406",0.73,51.1,"1,844",-327,-98.4,"1,418",59.4,-53,"6,113",26,510,8.34
11月28日,929,942,925,942,11,1.18,1.83,"5,755","8,131",0.71,53.9,801,-203,198,796,59.3,16,"6,166",-11,484,7.85
11月27日,946,951,931,931,-14,-1.48,2.12,"6,361","9,994",0.64,59.8,-410,76.9,-99.8,-433,59.2,-72,"6,150",-32,495,8.05
11月24日,935,950,932,945,15,1.61,1.94,"4,670","9,720",0.48,44,209,295,94.7,599,59.3,-42,"6,222",49,527,8.47
11月23日,951,951,929,930,-12,-1.27,2.34,"5,460","10,785",0.51,51.2,-601,-208,-250,"-1,059",59.2,28,"6,264",-24,478,7.63
11月22日,928,942,925,942,16,1.73,1.84,"6,698","13,145",0.51,62.8,963,410,-67.6,"1,306",59.3,160,"6,236",40,502,8.05
