交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,497,506,497,506,11.5,2.33,1.82,"4,394","4,256",1.03,22.1,-345,"1,170",-39.9,785,,-128,"1,619",20,341,21.1
12月21日,508,508,491.5,494.5,-19.5,-3.79,3.21,"8,963","12,907",0.69,44.5,"-2,958",412,-112,"-2,658",,194,"1,747",-13,321,18.4
12月20日,513,515,508,514,4,0.78,1.37,"4,539","3,626",1.25,23.3,"-1,624","1,560",-96.7,-161,,-9,"1,553",-15,334,21.5
12月19日,518,521,508,510,-9,-1.73,2.5,"5,427","5,514",0.98,27.8,"-1,722","1,081",-18.8,-660,,-89,"1,562",-27,349,22.3
12月18日,515,522,511,519,4,0.78,2.14,"4,964","4,860",1.02,25.8,59.4,936,-51.8,944,,-64,"1,651",10,376,22.8
12月15日,518,522,512,515,-1,-0.19,1.94,"5,048","4,571",1.1,26.1,-554,"1,069",-40.9,475,,-9,"1,715",-26,366,21.3
12月14日,517,518,508,516,-1,-0.19,1.93,"5,428","5,719",0.95,27.9,"-1,180","1,178",-66.9,-69,,20,"1,724",-6,392,22.7
12月13日,513,517,511,517,3,0.58,1.17,"3,760","3,713",1.01,19.4,-324,"1,213",-147,741,,-47,"1,704",-2,398,23.4
12月12日,510,516,508,514,4,0.78,1.57,"4,113","4,090",1.01,21.1,-379,"1,080",1.93,702,52.1,-14,"1,751",9,400,22.8
12月11日,508,511,504,510,2,0.39,1.38,"2,248","2,704",0.83,11.4,-55.9,-269,43.3,-282,52.2,-53,"1,765",-6,391,22.2
12月8日,511,512,507,508,-1,-0.2,0.98,"1,859","2,437",0.76,9.47,-258,-72.3,-14.2,-345,52.2,-18,"1,818",-4,397,21.8
12月7日,507,512,505,509,-2,-0.39,1.37,"1,839","2,304",0.8,9.35,-145,41.4,-0.95,-104,52.2,-18,"1,836",17,401,21.8
12月6日,503,513,503,511,8,1.59,1.99,"2,532","3,023",0.84,12.9,-117,220,0.29,104,52.3,-4,"1,854",13,384,20.7
12月5日,510,510,501,503,-11,-2.14,1.75,"3,476","4,930",0.71,17.5,-591,259,-91.5,-423,52.3,-240,"1,858",-21,371,20
12月4日,510,518,506,514,4,0.78,2.35,"3,811","3,578",1.07,19.5,-463,237,-19.3,-245,52.4,-16,"2,098",-1,392,18.7
12月1日,506,515,506,510,-1,-0.2,1.76,"2,238","2,943",0.76,11.4,-383,176,-18.6,-226,52.1,-34,"2,114",2,393,18.6
11月30日,512,513,505,511,-1,-0.2,1.56,"4,057","5,146",0.79,20.7,-997,102,-71.2,-966,52.2,-123,"2,148",-9,391,18.2
11月29日,502,514,502,512,10,1.99,2.39,"4,760","5,358",0.89,24.3,985,11.7,57.2,"1,054",52.3,113,"2,271",10,400,17.6
11月28日,504,507,496.5,502,-1,-0.2,2.09,"3,984","4,884",0.82,20,-202,136,-37.7,-104,52.2,106,"2,158",-4,390,18.1
11月27日,502,517,501,503,3,0.6,3.2,"7,173","10,362",0.69,36.6,997,520,112,"1,629",52.1,106,"2,052",4,394,19.2
11月24日,497,502,495.5,500,4,0.81,1.31,"2,539","2,886",0.88,12.7,984,149,36.5,"1,170",51.9,-14,"1,946",14,390,20
11月23日,500,501,494,496,-3,-0.6,1.4,"2,279","3,428",0.66,11.3,385,-8.2,-77.6,299,51.8,-58,"1,960",-7,376,19.2
