交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,49.45,50,49.3,50,0.6,1.21,1.42,"34,140","11,226",3.04,17,"-6,232","10,240",254,"4,262",,"1,872","50,159",-94,"3,569",7.12
12月21日,49.25,49.4,49,49.4,-0.45,-0.9,0.8,"55,666","17,079",3.26,27.4,"-21,723","7,331",-107,"-14,499",,904,"48,287",-152,"3,663",7.59
12月20日,50,50.2,49.55,49.85,-0.15,-0.3,1.3,"55,317","16,480",3.36,27.5,"-14,478","14,067",-649,"-1,059",,176,"47,383",-45,"3,815",8.05
12月19日,50.3,50.4,49.55,50,-0.6,-1.19,1.68,"54,318","20,051",2.71,27.1,"-11,414","13,780",-569,"1,797",,-643,"47,207",-172,"3,860",8.18
12月18日,50.2,50.6,49.9,50.6,-0.1,-0.2,1.38,"56,410","20,688",2.73,28.3,"-14,549","17,722",210,"3,383",,584,"47,850",-32,"4,032",8.43
12月15日,50.7,51,50.4,50.7,0.3,0.6,1.19,"84,248","21,969",3.83,42.7,"16,294","12,887",-897,"28,285",,"-4,942","47,266",93,"4,064",8.6
12月14日,50.4,50.5,50,50.4,0.2,0.4,1,"51,666","20,162",2.56,26,"9,618","5,235",-213,"14,640",,430,"52,208",116,"3,971",7.61
12月13日,50,50.2,49.5,50.2,0.3,0.6,1.4,"48,011","16,454",2.92,24,"-8,581","16,440","-1,152","6,707",,"1,124","51,778",-147,"3,855",7.45
12月12日,49.45,49.9,49.2,49.9,0.85,1.73,1.43,"48,760","17,787",2.74,24.2,"11,132","15,282",-635,"25,779",32.5,"-2,602","50,654",130,"4,002",7.9
12月11日,49,49.3,48.65,49.05,0.5,1.03,1.34,"28,747","10,646",2.7,14.1,"2,007","1,497",62.8,"3,567",32.4,-300,"53,256",66,"3,872",7.27
12月8日,48.8,49.05,48.55,48.55,0.1,0.21,1.03,"33,772","11,874",2.84,16.4,"-8,857","-4,547",-11.2,"-13,415",32.4,780,"53,556",-167,"3,806",7.11
12月7日,49,49.1,48.35,48.45,-0.45,-0.92,1.53,"36,348","18,760",1.94,17.6,"-15,155","1,152",71.3,"-13,932",32.4,679,"52,776",4,"3,973",7.53
12月6日,49.3,49.4,48.9,48.9,-0.3,-0.61,1.02,"37,088","15,771",2.35,18.2,"-21,122","8,651","-1,104","-13,576",32.6,704,"52,097",-226,"3,969",7.62
12月5日,49.8,49.8,49.2,49.2,-1,-1.99,1.2,"57,353","21,028",2.73,28.3,"-23,270","10,936",-156,"-12,490",32.8,31,"51,393",-217,"4,195",8.16
12月4日,49.85,50.2,49.8,50.2,0.5,1.01,0.8,"44,073","16,004",2.75,22.1,"-7,791","19,760",-745,"11,225",33,"-1,225","51,362",718,"4,412",8.59
12月1日,49,49.7,49,49.7,0.8,1.64,1.43,"52,414","15,851",3.31,25.9,"-16,012","19,427",-741,"2,674",33.1,-780,"52,587",135,"3,694",7.02
11月30日,49.3,49.8,48.9,48.9,-0.3,-0.61,1.83,"91,628","15,479",5.92,45.1,"-32,394","28,230",73.8,"-4,090",33.3,421,"53,367",-152,"3,559",6.67
11月29日,49.15,49.9,49.15,49.2,0.15,0.31,1.53,"62,662","19,932",3.14,31,"-15,349","14,096",123,"-1,131",33.5,-229,"52,946",204,"3,711",7.01
