交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,21.8,21.95,21.75,21.9,0.05,0.23,0.92,"4,719","1,845",2.56,1.03,-605,-59.7,-140,-804,,-24,"1,848",0,16,0.87
12月21日,21.75,21.95,21.7,21.85,-0.05,-0.23,1.14,"6,831","2,621",2.61,1.49,-342,-106,31.9,-416,,34,"1,872",0,16,0.85
12月20日,22.1,22.2,21.9,21.9,-0.3,-1.35,1.35,"11,248","8,174",1.38,2.48,"-3,416",-5,-187,"-3,608",,23,"1,838",0,16,0.87
12月19日,22.2,22.25,22.1,22.2,-0.15,-0.67,0.67,"6,031","2,915",2.07,1.34,965,-42,-458,465,,5,"1,815",-1,16,0.88
12月18日,22.2,22.35,22.15,22.35,0.1,0.45,0.9,"5,774","2,821",2.05,1.29,"3,251",-80.4,-80,"3,091",,-48,"1,810",1,17,0.94
12月15日,22.45,22.45,22.25,22.25,-0.15,-0.67,0.89,"16,389","3,780",4.34,3.66,"1,139",-87.1,87,"1,139",,17,"1,858",0,16,0.86
12月14日,22.25,22.45,22.1,22.4,0.2,0.9,1.58,"14,735","5,499",2.68,3.29,"9,617",-7,88.3,"9,698",,32,"1,841",0,16,0.87
12月13日,22.25,22.25,22.05,22.2,0,0,0.9,"4,568","2,623",1.74,1.01,909,0.03,0,909,,-32,"1,809",0,16,0.88
12月12日,22.25,22.25,22.1,22.2,0,0,0.68,"5,736","2,104",2.73,1.27,"2,888",0,8,"2,896",17.5,-61,"1,841",0,16,0.87
12月11日,22.2,22.2,22,22.2,0.1,0.45,0.9,"5,642","2,552",2.21,1.25,"1,862",-21,-4.06,"1,837",17.5,-6,"1,902",0,16,0.84
12月8日,22.1,22.1,21.95,22.1,0.1,0.45,0.68,"5,790","1,947",2.97,1.28,"3,694",-35,21,"3,680",17.5,-75,"1,908",0,16,0.84
12月7日,22.15,22.15,21.9,22,-0.15,-0.68,1.13,"5,004","2,576",1.94,1.1,"1,562",-3,-24,"1,535",17.5,-7,"1,983",-6,16,0.81
12月6日,22.05,22.2,22,22.15,0.15,0.68,0.91,"9,418","3,346",2.81,2.08,"5,366",0,2,"5,368",17.5,-27,"1,990",3,22,1.11
12月5日,21.85,22,21.75,22,0.1,0.46,1.14,"8,530","2,631",3.24,1.87,"3,867",-21,-39,"3,807",17.4,-10,"2,017",1,19,0.94
12月4日,21.95,22.1,21.9,21.9,-0.05,-0.23,0.91,"5,788","2,158",2.68,1.27,"2,334",48,132,"2,514",17.5,-1,"2,027",3,18,0.89
12月1日,22.05,22.15,21.85,21.95,-0.3,-1.35,1.35,"7,248","3,718",1.95,1.59,"-2,323",17,-74,"-2,380",17.5,-47,"2,028",0,15,0.74
11月30日,22.2,22.25,22,22.25,0.2,0.91,1.13,"54,066","5,406",10,12,"6,390",-26.4,-490,"5,874",17.5,2,"2,075",0,15,0.72
11月29日,22.1,22.2,22,22.05,-0.05,-0.23,0.9,"11,777","5,602",2.1,2.6,"1,988",-28,61,"2,021",17.4,5,"2,073",0,15,0.72
11月28日,22,22.1,21.9,22.1,0.25,1.14,0.92,"14,718","5,644",2.61,3.24,"7,864",-55,188,"7,997",17.4,-34,"2,068",0,15,0.73
11月27日,21.9,22.1,21.75,21.85,-0.05,-0.23,1.6,"12,651","5,151",2.46,2.77,271,-45.7,1,226,17.4,-16,"2,102",0,15,0.71
