交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,452,457.5,444.5,453.5,0,0,2.87,"5,922","6,188",0.96,26.8,-84,185,102,203,,-341,"2,144",-6,429,20
12月21日,438.5,462,437.5,453.5,3.5,0.78,5.44,"11,029","10,631",1.04,50,-606,"1,377",-115,655,,-906,"2,485",21,435,17.5
12月20日,428.5,460.5,428,450,25.5,6.01,7.66,"17,122","17,400",0.98,76.8,"2,045","1,499",202,"3,746",,-111,"3,391",89,414,12.2
12月19日,427,436,422,424.5,-4,-0.93,3.27,"7,103","7,326",0.97,30.4,"-1,290",353,-37.7,-975,,456,"3,502",-20,325,9.28
12月18日,409,434,403.5,428.5,22.5,5.54,7.51,"8,358","9,419",0.89,35.6,"2,756",523,67.2,"3,347",,-94,"3,046",83,345,11.3
12月15日,411,412,406,406,-5,-1.22,1.46,"6,412","4,343",1.48,26.2,-512,58,-39.4,-493,,-142,"3,140",-19,262,8.34
12月14日,410,416,404.5,411,3.5,0.86,2.82,"4,990","5,707",0.87,20.4,"-1,000",138,230,-631,,180,"3,282",-2,281,8.56
12月13日,395.5,412,394,407.5,14.5,3.69,4.58,"8,420","8,967",0.94,34.2,"3,670",576,369,"4,615",,-213,"3,102",50,283,9.12
12月12日,396,399,392,393,-3.5,-0.88,1.77,"2,265","2,404",0.94,8.95,170,8.37,-62.7,116,56.6,-84,"3,315",0,233,7.03
12月11日,400,402,392,396.5,-2,-0.5,2.51,"3,125","3,099",1.01,12.4,-165,22.3,-24.3,-167,56.6,-22,"3,399",3,233,6.85
12月8日,398,403.5,395.5,398.5,5,1.27,2.03,"3,893","5,047",0.77,15.6,"1,149",80.8,-1.7,"1,228",56.6,-17,"3,421",-1,230,6.72
12月7日,391,397,390.5,393.5,0,0,1.65,"1,842","2,309",0.8,7.25,-33.4,245,-1.9,209,56.4,18,"3,438",-3,231,6.72
12月6日,390.5,395,388.5,393.5,3,0.77,1.66,"2,963","3,275",0.9,11.6,556,256,148,960,56.4,-20,"3,420",-2,234,6.84
12月5日,388,391,382.5,390.5,3.5,0.9,2.2,"3,236","3,410",0.95,12.6,948,-148,-10.2,790,56.4,-48,"3,440",14,236,6.86
12月4日,391.5,391.5,385.5,387,-1,-0.26,1.55,"2,681","2,552",1.05,10.4,863,-694,-5.57,163,56.2,-18,"3,488",-1,222,6.36
12月1日,390,391.5,386.5,388,-5.5,-1.4,1.27,"4,131","3,655",1.13,16.1,972,"-1,000",-33.9,-61.9,56.1,-45,"3,506",-134,223,6.36
11月30日,388,393.5,382,393.5,3.5,0.9,2.95,"9,185","4,341",2.12,35.8,783,-905,-141,-263,56,-4,"3,551",124,357,10.1
11月29日,387,390.5,383.5,390,4.5,1.17,1.82,"5,310","4,677",1.14,20.6,"1,363",-485,-32.4,845,55.9,-60,"3,555",2,233,6.55
11月28日,379,385.5,377.5,385.5,8.5,2.25,2.12,"4,474","3,587",1.25,17.1,"1,252",-468,-11.2,773,55.8,35,"3,615",17,231,6.39
11月27日,383.5,384,373,377,-6.5,-1.69,2.87,"4,589","4,669",0.98,17.3,-60.8,-523,-26.2,-610,55.6,-301,"3,580",15,214,5.98
11月24日,381.5,383.5,376,383.5,4,1.05,1.98,"3,519","3,065",1.15,13.4,512,-527,-26.7,-42,55.6,-44,"3,881",7,199,5.13
