交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,172,175,170,170.5,-7.5,-4.21,2.81,"5,703","5,074",1.12,9.79,"-1,516","-1,209",-5.05,"-2,729",,76,"2,057",25,36,1.75
12月21日,179,180.5,178,178,-1,-0.56,1.4,"1,918","1,171",1.64,3.43,889,"-1,184",29.3,-265,,13,"1,981",-1,11,0.56
12月20日,180.5,181.5,178,179,1,0.56,1.97,"2,437","1,698",1.44,4.38,"1,073","-1,174",36.1,-64.9,,17,"1,968",0,12,0.61
12月19日,180,180.5,178,178,-3,-1.66,1.38,"2,239","1,415",1.58,4,781,"-1,201",-8.73,-429,,27,"1,951",-5,12,0.62
12月18日,180,183,180,181,0,0,1.66,"2,048","1,527",1.34,3.72,"1,371","-1,281",-3.31,86.5,,-35,"1,924",-7,17,0.88
12月15日,181.5,182.5,180,181,1.5,0.84,1.39,"1,378","1,359",1.01,2.5,476,-90.6,5.43,391,,-7,"1,959",1,24,1.23
12月14日,178.5,181,178.5,179.5,1.5,0.84,1.4,938,875,1.07,1.69,355,10,11.9,377,,-22,"1,966",2,23,1.17
12月13日,179,180,178,178,-0.5,-0.28,1.12,619,651,0.95,1.1,-255,-66,-18.4,-340,,14,"1,988",0,21,1.06
12月12日,183.5,183.5,178,178.5,-3,-1.65,3.03,"1,613","1,735",0.93,2.89,-67.5,-51,-12.4,-131,15.6,-50,"1,974",-1,21,1.06
12月11日,182,182.5,180,181.5,-0.5,-0.27,1.37,670,653,1.03,1.21,-60.8,120,-20.4,38.8,15.6,7,"2,024",0,22,1.09
12月8日,182,182.5,181,182,1.5,0.83,0.83,618,818,0.76,1.12,193,103,3.94,300,15.7,-15,"2,017",1,22,1.09
12月7日,180.5,183,180.5,180.5,-1.5,-0.82,1.37,881,974,0.9,1.6,120,-120,-21,-20.7,15.6,19,"2,032",0,21,1.03
12月6日,181.5,182.5,180.5,182,0.5,0.28,1.1,731,813,0.9,1.33,177,-55.6,0.24,121,15.6,-7,"2,013",0,21,1.04
12月5日,181.5,183,181.5,181.5,0,0,0.83,648,823,0.79,1.18,68.8,10,-21.4,57.5,15.6,-3,"2,020",0,21,1.04
12月4日,183.5,184,180.5,181.5,-1,-0.55,1.92,"1,300","1,062",1.22,2.37,190,-233,11,-31.8,15.6,-2,"2,023",2,21,1.04
12月1日,183.5,184,179,182.5,-1,-0.54,2.72,"2,261","1,669",1.35,4.09,446,11,7.51,464,15.6,-13,"2,025",-8,19,0.94
11月30日,183,185,182,183.5,0.5,0.27,1.64,"4,614","1,717",2.69,8.47,-263,36.5,-10.3,-237,15.6,-7,"2,038",9,27,1.32
11月29日,181.5,184.5,180.5,183,2.5,1.39,2.22,"1,645","1,442",1.14,3.02,325,-31,-1,293,15.6,-33,"2,045",-9,18,0.88
11月28日,179,180.5,177,180.5,1.5,0.84,1.96,"2,187","1,814",1.21,3.91,-373,-22,23.5,-371,15.6,26,"2,078",-7,27,1.3
11月27日,178,180.5,178,179,-2,-1.1,1.38,"1,748","1,541",1.13,3.13,-472,-23,4.46,-490,15.6,72,"2,052",18,34,1.66
11月24日,184,184,180.5,181,-1.5,-0.82,1.92,767,890,0.86,1.39,-83.4,-69.1,6.56,-146,15.6,4,"1,980",1,16,0.81
11月23日,183.5,184,181.5,182.5,-1,-0.54,1.36,752,741,1.02,1.37,283,-173,0.98,111,15.6,-45,"1,976",0,15,0.76
