交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,78.4,78.8,78.2,78.2,-0.9,-1.14,0.76,"2,327","1,865",1.25,1.82,241,-202,-43.1,-4.04,,3,224,-1,8,3.57
12月21日,78.2,79.3,78,79.1,0.4,0.51,1.65,"3,440","2,622",1.31,2.71,"1,227",64,-338,953,,-65,221,-1,9,4.07
12月20日,80.1,80.1,78.3,78.7,-1.7,-2.11,2.24,"7,304","8,804",0.83,5.76,-641,383,459,201,,126,286,0,10,3.5
12月19日,79.4,80.4,79.4,80.4,0.3,0.37,1.25,"3,780","3,391",1.11,3.03,893,250,-33.6,"1,109",,1,160,0,10,6.25
12月18日,79.5,80.2,79.1,80.1,0.4,0.5,1.38,"3,898","3,846",1.01,3.11,945,259,119,"1,323",,0,159,0,10,6.29
12月15日,80.6,80.7,79.4,79.7,-0.9,-1.12,1.61,"9,803","6,357",1.54,7.81,-991,"1,596","1,033","1,638",,5,159,-195,10,6.29
12月14日,79.4,80.6,79.3,80.6,0.7,0.88,1.63,"4,043","2,382",1.7,3.25,"1,301",-84,-348,869,,7,154,0,205,133
12月13日,80,80.3,79.3,79.9,-0.1,-0.12,1.25,"3,681","2,107",1.75,2.93,316,93.8,41.4,451,,0,147,0,205,139
12月12日,80.7,80.7,79.3,80,0.2,0.25,1.75,"3,371","1,984",1.7,2.69,873,0,-0.87,873,18.4,-1,147,0,205,139
12月11日,81.1,81.1,79.2,79.8,-1.8,-2.21,2.33,"7,673","7,745",0.99,6.11,"3,011",-0.04,-88.3,"2,922",26.2,-156,148,-10,205,139
12月8日,82.1,82.1,81,81.6,-0.5,-0.61,1.34,"4,367","5,744",0.76,3.56,"1,635",-23.1,-0.35,"1,612",19.2,-14,304,0,215,70.7
12月7日,83,83,81.4,82.1,-0.9,-1.08,1.93,"5,163","5,489",0.94,4.23,"1,713",-1.02,13.9,"1,725",19.1,-30,318,0,215,67.6
12月6日,83,83.4,82.3,83,-0.3,-0.36,1.32,"8,029","6,351",1.26,6.66,"1,396","1,608",76.4,"3,081",19.1,-15,348,-280,215,61.8
12月5日,82,83.4,81.8,83.3,1.5,1.83,1.96,"9,385","3,819",2.46,7.75,"3,610","1,140",-119,"4,631",19,-292,363,-297,495,136
12月4日,82.8,82.9,81.8,81.8,-0.2,-0.24,1.34,"16,838","3,913",4.3,13.8,-62.2,"2,090",-167,"1,860",18.9,166,655,-156,792,121
12月1日,82.5,83,81.4,82,-0.9,-1.09,1.93,"8,386","6,516",1.29,6.9,-484,"2,252",-17.4,"1,750",19,35,489,123,948,194
11月30日,81.8,83.5,81.4,82.9,1.9,2.35,2.59,"19,963","5,817",3.43,16.5,"1,940","3,211",-754,"4,396",19,52,454,437,825,182
11月29日,80.6,81.8,80.6,81,0.5,0.62,1.49,"11,791","4,850",2.43,9.57,675,"1,926",-173,"2,429",18.9,-33,402,145,388,96.5
11月28日,81,81.4,80.4,80.5,0.3,0.37,1.25,"9,508","5,100",1.86,7.69,-557,"1,682",-280,845,18.9,12,435,-23,243,55.9
11月27日,80.3,81.5,80.2,80.2,0.4,0.5,1.63,"8,890","3,849",2.31,7.18,684,"1,664",-332,"2,017",18.9,-34,423,32,266,62.9
11月24日,79.6,81,79.4,79.8,0.1,0.13,2.01,"8,905","4,279",2.08,7.15,"1,164","1,647",-204,"2,607",18.9,14,457,-27,234,51.2
