交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,152.5,153.5,149.5,153,1,0.66,2.63,"60,998","29,123",2.09,92.6,"4,868","3,235",-497,"7,606",,-530,"27,544",-273,"6,568",23.8
12月21日,148.5,153,146.5,152,4,2.7,4.39,"83,687","46,491",1.8,126,"-3,939","5,703",636,"2,399",,"1,387","28,076","-1,334","6,841",24.4
12月20日,147.5,148,144.5,148,1,0.68,2.38,"59,499","28,532",2.09,87.3,"4,317","6,441",-893,"9,865",,-746,"26,692","1,007","8,175",30.6
12月19日,143.5,147,142,147,5.5,3.89,3.53,"82,908","39,973",2.07,121,"7,339","8,405",-686,"15,058",,-151,"27,439","1,621","7,168",26.1
12月18日,138.5,144.5,136,141.5,7.5,5.6,6.34,"100,301","48,330",2.08,141,"7,664","3,980","-1,376","10,269",,"2,617","27,592","1,769","5,547",20.1
12月15日,130.5,134.5,130,134,5,3.88,3.49,"47,185","23,986",1.97,63,"9,041","5,420",164,"14,625",,-714,"24,976",460,"3,778",15.1
12月14日,130,131,127.5,129,-0.5,-0.39,2.7,"24,541","10,708",2.29,31.6,-551,"3,435",-304,"2,580",,-228,"25,692",-41,"3,318",12.9
12月13日,129.5,129.5,126.5,129.5,0.5,0.39,2.33,"34,507","17,935",1.92,44.3,-223,"6,454","-1,169","5,061",,"-1,539","25,922",48,"3,359",13
12月12日,122,130.5,121.5,129,7,5.74,7.38,"64,869","36,449",1.78,82.4,"15,833","7,691",585,"24,108",30,785,"27,463",828,"3,311",12.1
12月11日,120,122,119,122,3.5,2.95,2.53,"32,034","18,021",1.78,38.6,"9,543","2,598",-515,"11,626",29.4,"-1,320","26,678",105,"2,483",9.31
12月8日,116.5,118.5,116,118.5,3,2.6,2.16,"13,801","8,336",1.66,16.2,"2,997",532,117,"3,646",29,"1,868","27,998",86,"2,378",8.49
12月7日,116.5,116.5,115,115.5,-1.5,-1.28,1.28,"10,491","5,992",1.75,12.2,"-2,440",503,-251,"-2,189",28.8,178,"26,131",-33,"2,292",8.77
12月6日,118,118,115.5,117,-0.5,-0.43,2.13,"12,722","7,010",1.81,14.9,-324,"1,131",-425,382,29.1,-402,"25,953",1,"2,325",8.96
12月5日,119,120,116,117.5,-1,-0.84,3.38,"25,845","12,586",2.05,30.4,"-1,733","2,138",-670,-266,29.2,79,"26,355",-56,"2,324",8.82
12月4日,115.5,119,114.5,118.5,4,3.49,3.93,"42,464","20,818",2.04,49.8,"13,180","1,381",-373,"14,188",29.3,"-2,656","26,276",82,"2,380",9.06
12月1日,112.5,115,112.5,114.5,2.5,2.23,2.23,"15,087","7,504",2.01,17.2,"7,739",485,71.7,"8,296",28.7,-651,"28,933",17,"2,298",7.94
11月30日,113,113.5,111.5,112,0,0,1.79,"11,421","6,299",1.81,12.8,"-2,270",531,-79.8,"-1,819",28.3,118,"29,584",-13,"2,281",7.71
11月29日,114,114,112,112,-2,-1.75,1.75,"12,643","7,026",1.8,14.2,"-4,932","-1,283",-399,"-6,614",28.4,347,"29,466",-38,"2,294",7.79
11月28日,113.5,115,113,114,0.5,0.44,1.76,"11,852","6,541",1.81,13.5,-874,-894,253,"-1,515",28.7,238,"29,119",-20,"2,332",8.01
11月27日,113.5,114,113,113.5,0.5,0.44,0.88,"8,429","4,658",1.81,9.57,"1,422",323,60,"1,805",28.8,-119,"28,881",-66,"2,352",8.14
