交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,12.3,12.35,12.25,12.25,-0.05,-0.41,0.81,"17,073","4,195",4.07,2.1,"-4,908",-11,-299,"-5,219",,-298,"41,517",-13,335,0.81
12月21日,12.3,12.35,12.25,12.3,-0.05,-0.4,0.81,"18,022","4,530",3.98,2.22,"-2,205",-37,369,"-1,873",,-120,"41,815",-6,348,0.83
12月20日,12.4,12.4,12.35,12.35,0,0,0.4,"20,106","6,590",3.05,2.49,"-5,367",-17,-176,"-5,560",,-67,"41,935",-1,354,0.84
12月19日,12.45,12.5,12.3,12.35,-0.1,-0.8,1.61,"29,679","6,153",4.82,3.68,"-3,054",-4,-99.6,"-3,158",,-209,"42,002",6,355,0.85
12月18日,12.5,12.55,12.4,12.45,-0.1,-0.8,1.2,"22,581","6,681",3.38,2.81,"-6,280",0,795,"-5,485",,644,"42,211",-6,349,0.83
12月15日,12.6,12.6,12.5,12.55,0.05,0.4,0.8,"54,621","9,550",5.72,6.86,"6,854",-13,-249,"6,592",,"1,415","41,567",5,355,0.85
12月14日,12.3,12.55,12.3,12.5,0.3,2.46,2.05,"75,045","12,019",6.24,9.35,"18,503",-1,"-1,296","17,206",,399,"40,152",14,350,0.87
12月13日,12.25,12.3,12.2,12.2,-0.05,-0.41,0.82,"25,265","7,451",3.39,3.09,"-8,883",8.07,222,"-8,653",,-248,"39,753",-9,336,0.85
12月12日,12.4,12.4,12.25,12.25,-0.1,-0.81,1.21,"29,075","7,051",4.12,3.58,"-6,295",0,-186,"-6,481",22.9,46,"40,001",-7,345,0.86
12月11日,12.4,12.4,12.3,12.35,-0.1,-0.8,0.8,"27,156","5,600",4.85,3.35,"-5,427",0,"1,327","-4,100",22.9,54,"39,955",-4,352,0.88
12月8日,12.4,12.45,12.35,12.45,0.1,0.81,0.81,"22,420","5,079",4.41,2.78,"6,667",-31,372,"7,008",23,-451,"39,901",1,356,0.89
12月7日,12.3,12.4,12.25,12.35,0,0,1.21,"28,094","5,842",4.81,3.46,"-2,078",0,237,"-1,841",22.9,-335,"40,352",1,355,0.88
12月6日,12.3,12.4,12.3,12.35,0.05,0.41,0.81,"22,356","5,356",4.17,2.76,196,-18,-139,38.7,22.9,-899,"40,687",-7,354,0.87
12月5日,12.3,12.35,12.2,12.3,-0.05,-0.4,1.21,"54,590","14,745",3.7,6.68,"4,709","-19,715","1,181","-13,825",23,"1,191","41,586",-26,361,0.87
12月4日,12.55,12.6,12.3,12.35,-0.2,-1.59,2.39,"107,533","21,695",4.96,13.3,"1,518","-39,352",-306,"-38,140",22.9,"2,388","40,395",-95,387,0.96
12月1日,12.65,12.7,12.5,12.55,-0.15,-1.18,1.57,"122,622","23,933",5.12,15.4,"9,479","-47,297","1,716","-36,103",22.9,"1,969","38,007","-1,772",482,1.27
11月30日,12.55,12.7,12.5,12.7,0.1,0.79,1.59,"278,507","26,613",10.5,35.1,"129,015","-106,433",-321,"22,261",22.9,-158,"36,038","-1,026","2,254",6.25
11月29日,12.55,12.7,12.4,12.6,0.05,0.4,2.39,"206,869","30,707",6.74,25.9,"39,880","-47,324",488,"-6,956",22.1,632,"36,196","2,491","3,280",9.06
11月28日,12.35,12.55,12.25,12.55,0.1,0.8,2.41,"198,280","30,563",6.49,24.6,"63,127","-43,484",163,"19,806",21.9,-914,"35,564",-238,789,2.22
