交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
12月22日,103.5,104,103,103.5,0,0,0.97,"23,875","8,311",2.87,24.7,"-5,225","6,201",-299,677,,"-1,682","40,484",-7,715,1.77
12月21日,103,103.5,102.5,103.5,-1,-0.96,0.96,"34,981","11,089",3.15,36.1,"-16,545","9,543",65.2,"-6,937",,-48,"42,166",-623,722,1.71
12月20日,102.5,104.5,102.5,104.5,2,1.95,1.95,"54,775","25,178",2.18,56.7,"10,578","9,916","-1,597","18,897",,-91,"42,214",686,"1,345",3.19
12月19日,102,102.5,101.5,102.5,0.5,0.49,0.98,"32,970","11,744",2.81,33.6,"-4,775","10,021","-2,036","3,210",,-534,"42,305",-1,659,1.56
12月18日,101.5,102,101,102,0.5,0.49,0.99,"28,169","12,178",2.31,28.7,"-1,898","10,135","-1,426","6,811",,-497,"42,839",-1,660,1.54
12月15日,101.5,102,101,101.5,-0.5,-0.49,0.98,"41,229","13,318",3.1,41.8,"-7,390","3,036",-340,"-4,694",,389,"43,336",-12,661,1.53
12月14日,101.5,102,101,102,1,0.99,0.99,"32,842","12,087",2.72,33.4,"8,869",-441,"-1,239","7,190",,141,"42,947",2,673,1.57
12月13日,100.5,101.5,100.5,101,0,0,0.99,"15,246","7,389",2.06,15.4,"-1,846",465,-318,"-1,699",,134,"42,806",-5,671,1.57
12月12日,101,101.5,100.5,101,0,0,0.99,"21,061","8,493",2.48,21.3,378,552,-47.8,882,38.6,-163,"42,672",-10,676,1.58
12月11日,101.5,102,100.5,101,-0.5,-0.49,1.48,"25,693","11,857",2.17,25.9,"-2,176",145,-47,"-2,078",38.6,165,"42,835",-2,686,1.6
12月8日,101,102,101,101.5,0.5,0.5,0.99,"16,172","6,795",2.38,16.4,"3,986",-70.8,-148,"3,768",38.6,-143,"42,670",-28,688,1.61
12月7日,101,101.5,100.5,101,0,0,0.99,"14,144","7,132",1.98,14.3,"-1,146",40.8,332,-774,38.5,-416,"42,813",0,716,1.67
12月6日,101.5,102,101,101,0,0,0.99,"15,438","7,905",1.95,15.6,-838,172,9,-657,38.5,466,"43,229",4,716,1.66
12月5日,101,102,100.5,101,0,0,1.49,"22,029","8,926",2.47,22.2,"3,935",127,-43.8,"4,018",38.6,-379,"42,763",-7,712,1.66
12月4日,101,101.5,100.5,101,0.5,0.5,1,"14,873","8,102",1.84,15,801,428,-33.6,"1,196",38.5,-245,"43,142",-3,719,1.67
12月1日,101,101.5,100.5,100.5,-1,-0.99,0.99,"27,879","17,492",1.59,28.1,"-12,678",-220,63,"-12,835",38.5,412,"43,387",-40,722,1.66
11月30日,102,102.5,101,101.5,-0.5,-0.49,1.47,"44,646","10,505",4.25,45.3,"-6,786",14.5,26.7,"-6,745",38.6,197,"42,975",-9,762,1.77
11月29日,102.5,103,101.5,102,-0.5,-0.49,1.46,"34,373","12,370",2.78,35.1,"-4,244",-37.4,76.7,"-4,205",38.7,-941,"42,778",-25,771,1.8
11月28日,102,103,102,102.5,1,0.99,0.99,"29,822","11,499",2.59,30.6,"5,658",-351,382,"5,689",38.7,-672,"43,719",0,796,1.82
11月27日,102.5,103,101.5,101.5,0,0,1.48,"24,041","11,758",2.04,24.6,"-4,454",-51,250,"-4,254",38.6,-30,"44,391",24,796,1.79
11月24日,102,102.5,101,101.5,0,0,1.48,"22,653","9,218",2.46,23,"-3,271",-35.3,-104,"-3,410",38.7,409,"44,421",0,772,1.74
