Date,Open,High,Low,Close,Adj Close,Volume
2002-05-17,8.490057,8.769381,8.462470,8.659031,4.354124,14659996
2002-05-20,8.631443,8.659031,8.434882,8.548681,4.298635,35628005
2002-05-21,8.462470,8.490057,8.103832,8.103832,4.074945,14105644
2002-05-22,8.048657,8.186595,7.965895,8.103832,4.074945,20567407
2002-05-23,8.103832,8.131420,8.048657,8.103832,4.074945,18857535
2002-05-24,8.103832,8.434882,8.103832,8.352120,4.199797,15177639
2002-05-27,8.296945,8.548681,8.186595,8.490057,4.269156,9860756
2002-05-28,8.517645,8.548681,8.269357,8.324532,4.185924,12943208
2002-05-29,8.269357,8.379707,8.159007,8.379707,4.213668,16898681
2002-05-30,8.352120,8.659031,8.324532,8.659031,4.354124,11945162
2002-05-31,8.659031,8.741793,8.490057,8.741793,4.395740,6721913
2002-06-03,8.434882,8.548681,8.269357,8.379707,4.213668,18214868
2002-06-04,8.214182,8.379707,8.214182,8.324532,4.185924,8762694
2002-06-05,8.352120,8.434882,8.241770,8.241770,4.144308,10719416
2002-06-06,8.241770,8.296945,8.214182,8.214182,4.130435,9027100
2002-06-07,8.131420,8.434882,8.103832,8.269357,4.158179,10786980
2002-06-10,8.352120,8.379707,8.186595,8.241770,4.144308,17940886
2002-06-11,8.324532,8.517645,8.269357,8.269357,4.158179,11204076
2002-06-12,8.324532,8.407295,8.269357,8.352120,4.199797,17443458
2002-06-13,8.352120,8.879731,8.324532,8.796969,4.423485,20292889
2002-06-14,8.796969,9.159055,8.686618,8.907319,4.478973,15086664
2002-06-17,8.824556,8.962494,8.741793,8.796969,4.423485,13150690
2002-06-18,8.852144,8.879731,8.517645,8.576268,4.312507,9772974
2002-06-19,8.576268,8.659031,8.462470,8.659031,4.354124,20229582
2002-06-20,8.517645,8.769381,8.490057,8.741793,4.395740,28505488
2002-06-21,8.686618,8.934906,8.603856,8.659031,4.354124,21133994
2002-06-24,8.686618,8.769381,8.576268,8.576268,4.312507,20198725
2002-06-25,8.659031,8.714206,8.352120,8.379707,4.213668,13889117
2002-06-26,8.269357,8.379707,8.048657,8.214182,4.130435,8879735
2002-06-27,8.324532,8.379707,8.048657,8.048657,4.047203,5133870
2002-06-28,8.186595,8.269357,8.103832,8.186595,4.116563,7796567
2002-07-01,8.186595,8.186595,7.934859,8.103832,4.074945,4851469
2002-07-02,8.269357,8.462470,8.214182,8.379707,4.213668,20246604
2002-07-03,8.269357,8.576268,8.214182,8.517645,4.283029,156963475
2002-07-04,8.434882,8.576268,8.379707,8.548681,4.298635,31648588
2002-07-05,8.659031,8.686618,8.269357,8.434882,4.241413,254948606
2002-07-08,8.434882,8.576268,8.434882,8.548681,4.298635,15036126
2002-07-09,8.548681,8.548681,8.324532,8.434882,4.241413,16769936
2002-07-10,8.407295,8.548681,8.352120,8.462470,4.255285,12513344
2002-07-11,8.462470,8.576268,8.324532,8.352120,4.199797,110567106
2002-07-12,8.462470,8.517645,8.352120,8.434882,4.241413,6728295
2002-07-15,8.434882,8.462470,8.296945,8.296945,4.172051,43488416
2002-07-16,8.379707,8.379707,8.159007,8.159007,4.102690,19869944
2002-07-17,8.159007,8.324532,8.131420,8.269357,4.158179,12054754
2002-07-18,8.269357,8.407295,8.186595,8.241770,4.144308,26622184
2002-07-19,8.241770,8.324532,8.186595,8.269357,4.158179,3783050
2002-07-22,8.186595,8.296945,8.076245,8.241770,4.144308,3145695
2002-07-23,8.269357,8.296945,8.048657,8.269357,4.158179,14074256
2002-07-24,8.241770,8.241770,8.021070,8.159007,4.102690,13625772
2002-07-25,8.214182,8.269357,8.048657,8.103832,4.074945,9604329
2002-07-26,8.021070,8.103832,7.965895,8.048657,4.047203,187319818
2002-07-29,8.021070,8.214182,8.021070,8.048657,4.047203,10716757
2002-07-30,8.186595,8.269357,8.076245,8.186595,4.116563,60345603
2002-07-31,8.214182,8.214182,8.048657,8.076245,4.061074,3553807
2002-08-01,8.076245,8.241770,8.048657,8.076245,4.061074,10890189
2002-08-02,8.131420,8.324532,8.076245,8.324532,4.185924,14565298
2002-08-05,8.076245,8.186595,7.993482,8.048657,4.047203,20720091
2002-08-06,8.048657,8.214182,8.048657,8.186595,4.116563,9451109
2002-08-07,8.241770,8.241770,8.103832,8.159007,4.102690,6584123
2002-08-08,8.214182,8.241770,8.076245,8.186595,4.116563,4984376
2002-08-09,8.324532,8.407295,8.269357,8.324532,4.185924,10307111
2002-08-12,8.407295,8.659031,8.407295,8.490057,4.269156,10589607
2002-08-13,8.490057,8.548681,8.324532,8.324532,4.185924,13145902
2002-08-14,8.324532,8.434882,8.269357,8.407295,4.227540,6645835
2002-08-15,8.407295,8.434882,8.269357,8.296945,4.172051,6960252
2002-08-16,8.296945,8.296945,8.076245,8.159007,4.102690,7216148
2002-08-19,8.131420,8.131420,7.993482,7.993482,4.019458,12253194
2002-08-20,7.993482,8.076245,7.824509,7.879684,3.962235,15362778
2002-08-21,7.824509,7.934859,7.686571,7.796921,3.920618,3795020
2002-08-22,7.852096,7.907271,7.631396,7.686571,3.865129,27513828
2002-08-23,7.686571,7.686571,7.686571,7.686571,3.865129,26007181
2002-08-26,7.438283,7.548633,7.383108,7.410696,3.726409,28850229
2002-08-27,7.493458,7.631396,7.438283,7.521046,3.781898,23227976
2002-08-28,7.521046,7.548633,7.383108,7.410696,3.726409,16301237
2002-08-29,7.352072,7.383108,7.269310,7.324485,3.683058,8885053
2002-08-30,7.324485,7.493458,7.296897,7.410696,3.726409,22722037
2002-09-02,7.438283,7.438283,7.296897,7.352072,3.696929,27736206
2002-09-03,7.352072,7.383108,7.186547,7.186547,3.613697,14659996
2002-09-04,6.965847,7.076197,6.883085,6.938260,3.488848,35628005
2002-09-05,6.993435,7.021022,6.800322,6.855497,3.447232,14105644
2002-09-06,6.855497,6.855497,6.855497,6.855497,3.447232,20567407
2002-09-09,6.938260,6.993435,6.883085,6.938260,3.488848,18857535
2002-09-10,6.938260,7.214135,6.910672,7.186547,3.613697,15177639
2002-09-11,7.214135,7.296897,7.076197,7.269310,3.655314,9860756
2002-09-12,7.296897,7.383108,7.214135,7.324485,3.683058,12943208
2002-09-13,7.296897,7.324485,7.158960,7.241722,3.641441,16898681
2002-09-16,7.241722,7.241722,7.076197,7.103785,3.572080,11945162
2002-09-17,7.131372,7.352072,7.048610,7.241722,3.641441,6721913
2002-09-18,7.186547,7.186547,6.938260,6.993435,3.516592,18214868
2002-09-19,6.993435,7.076197,6.938260,7.021022,3.530465,8762694
2002-09-20,6.938260,7.021022,6.855497,6.965847,3.502719,10719416
2002-09-23,7.021022,7.048610,6.883085,6.965847,3.502719,9027100
2002-09-24,6.965847,7.076197,6.938260,6.938260,3.488848,10786980
2002-09-25,6.938260,6.993435,6.855497,6.855497,3.447232,17940886
2002-09-26,6.938260,6.965847,6.855497,6.883085,3.461103,11204076
