Date,Open,High,Low,Close,Adj Close,Volume
2011-12-13,14.875090,15.198462,14.639911,14.698706,9.518349,39130
2011-12-14,14.581116,14.581116,13.699194,14.022565,9.080504,15116
2011-12-15,13.816783,14.140155,13.434617,14.022565,9.080504,9567
2011-12-16,13.934373,14.463526,13.904976,14.404732,9.327983,6958
2011-12-19,14.375334,14.375334,13.552207,13.757988,8.909175,5930
2011-12-20,13.816783,14.698706,13.816783,14.522321,9.404128,13394
2011-12-21,14.933885,15.521833,14.816295,15.521833,10.051376,20331
2011-12-22,15.463038,15.639423,15.227859,15.433641,9.994267,7529
2011-12-23,15.580628,15.933397,15.433641,15.815807,10.241745,14171
2011-12-26,15.815807,16.903511,15.580628,16.109781,10.432110,25299
2011-12-27,16.109781,16.815319,15.992192,16.697729,10.812845,15387
2011-12-28,16.403755,16.785921,16.374357,16.727127,10.831881,9126
2011-12-29,16.609537,16.609537,16.315563,16.433153,10.641515,4867
2011-12-30,16.609537,16.638935,15.757013,16.168575,10.470183,8983
2012-01-02,16.168575,16.168575,16.168575,16.168575,10.470183,0
2012-01-03,16.168575,16.168575,16.168575,16.168575,10.470183,0
2012-01-04,16.168575,16.168575,16.168575,16.168575,10.470183,0
2012-01-05,16.168575,16.168575,16.168575,16.168575,10.470183,0
2012-01-06,16.962305,17.403269,16.874113,16.903511,10.946100,7628
2012-01-09,16.815319,16.903511,16.374357,16.462549,10.660550,6648
2012-01-10,16.462549,17.050499,16.403755,16.756525,10.850918,4877
2012-01-11,16.874113,17.903025,16.874113,17.903025,11.593349,14788
2012-01-12,18.079409,18.961330,17.697243,18.285191,11.840826,14671
2012-01-13,18.755548,18.990728,18.314587,18.402781,11.916973,11274
2012-01-16,18.755548,18.814342,18.050011,18.285191,11.840826,6356
2012-01-17,18.226395,19.549278,18.226395,19.549278,12.659404,14343
2012-01-18,19.490484,20.901560,19.343496,20.578188,13.325690,16088
2012-01-30,21.166136,22.018661,20.578188,20.872162,13.516054,15370
2012-01-31,20.930958,21.518906,20.284214,20.872162,13.516054,12662
2012-02-01,20.813368,21.019150,20.254816,20.813368,13.477983,11063
2012-02-02,21.166136,22.048059,20.872162,21.754086,14.087155,15077
2012-02-03,21.636496,21.636496,20.431202,21.166136,13.706423,12194
2012-02-06,21.636496,21.636496,20.960354,21.166136,13.706423,4025
2012-02-07,21.224932,22.165648,21.166136,22.106853,14.315598,8698
2012-02-08,22.342033,23.165159,22.048059,22.253841,14.410782,11465
2012-02-09,22.312635,22.312635,21.460112,21.959867,14.220415,6485
2012-02-10,21.989264,22.106853,21.401316,21.959867,14.220415,3566
2012-02-13,21.812880,22.312635,21.636496,22.048059,14.277524,5607
2012-02-14,22.342033,22.342033,21.577700,21.577700,13.972936,4762
2012-02-15,21.754086,22.929981,21.577700,22.636007,14.658258,19870
2012-02-16,22.342033,23.194557,21.754086,21.842278,14.144270,16197
2012-02-17,22.518417,22.753597,21.342522,21.812880,14.125230,12620
2012-02-20,22.048059,22.753597,21.930470,22.547815,14.601148,12934
2012-02-21,22.577211,22.753597,21.783482,21.783482,14.106192,14224
2012-02-22,21.871674,22.224443,21.754086,21.754086,14.087155,10327
2012-02-23,21.871674,21.989264,20.989752,21.166136,13.706423,12606
2012-02-24,21.401316,21.607098,20.901560,21.254330,13.763534,5998
2012-02-29,21.342522,22.489019,21.342522,22.342033,14.467893,16214
2012-03-01,22.577211,23.900097,22.283237,23.870699,15.457803,33314
2012-03-02,24.047083,25.134787,23.459135,25.075993,16.238302,28978
2012-03-05,24.870211,24.899609,24.282263,24.399853,15.800461,12732
2012-03-06,24.399853,24.752621,23.223955,24.635031,15.952751,16020
2012-03-07,23.988289,25.222979,23.811903,24.870211,16.105045,12540
2012-03-08,24.899609,24.987801,24.282263,24.693827,15.990829,7012
2012-03-09,24.811417,24.811417,23.929493,24.399853,15.800461,8971
2012-03-12,24.517441,24.635031,23.811903,23.841301,15.438764,4088
2012-03-13,23.988289,24.282263,23.341545,24.194071,15.667202,9815
2012-03-14,24.399853,25.869722,24.223467,25.693338,16.638077,18598
2012-03-15,25.693338,26.134298,25.281775,25.458158,16.485781,10087
2012-03-16,25.693338,25.693338,25.164185,25.575748,16.561928,9209
2012-03-19,25.575748,25.840324,25.222979,25.281775,16.371557,6214
2012-03-20,25.281775,25.605146,25.017197,25.105391,16.257341,6497
2012-03-21,24.987801,25.281775,24.164673,24.693827,15.990829,8829
2012-03-22,24.987801,25.693338,24.693827,25.575748,16.561928,14360
2012-03-23,25.458158,25.487556,25.281775,25.428761,16.466745,7357
2012-03-26,25.428761,25.575748,25.105391,25.134787,16.276379,4369
2012-03-27,25.369967,25.369967,24.517441,24.635031,15.952751,4597
2012-03-28,24.870211,25.252377,24.517441,24.929005,16.143120,4277
2012-03-29,25.105391,25.134787,23.841301,24.811417,16.066973,9505
2012-03-30,24.811417,24.870211,23.870699,24.870211,16.105045,7524
2012-04-02,24.693827,24.693827,23.841301,24.223467,15.686237,8577
2012-04-03,23.870699,24.164673,22.547815,22.812391,14.772478,23643
2012-04-05,21.518906,24.105879,21.518906,23.929493,15.495873,13581
2012-04-06,23.870699,24.164673,23.429737,23.988289,15.533941,6446
2012-04-09,23.517929,23.694313,23.253353,23.517929,15.229359,4614
2012-04-10,23.870699,24.223467,23.576723,23.958891,15.514910,4894
2012-04-11,23.547327,24.429249,23.547327,24.194071,15.667202,4372
2012-04-12,24.194071,25.575748,24.105879,25.164185,16.295416,10298
2012-04-13,25.458158,25.605146,25.134787,25.369967,16.428673,9126
2012-04-16,25.369967,25.399364,25.134787,25.134787,16.276379,2389
2012-04-17,25.193583,25.222979,23.811903,24.341057,15.762389,6473
2012-04-18,24.517441,24.635031,23.811903,24.135275,15.629132,3267
2012-04-19,24.341057,24.429249,23.753109,24.105879,15.610093,3677
2012-04-20,24.105879,24.282263,23.811903,24.076481,15.591054,3905
2012-04-23,23.870699,23.988289,22.988775,23.517929,15.229359,7245
2012-04-24,23.370941,23.753109,23.194557,23.694313,15.343579,2797
2012-04-25,24.047083,24.047083,23.694313,23.811903,15.419725,2738
2012-04-26,23.988289,25.134787,23.870699,24.635031,15.952751,8635
2012-04-27,24.870211,25.281775,24.576237,24.782019,16.047935,6245
2012-04-30,24.782019,25.311172,24.782019,25.164185,16.295416,5748
2012-05-02,25.164185,25.810928,25.017197,25.752132,16.676147,7055
2012-05-03,25.752132,26.545862,25.752132,26.281286,17.018805,10786
2012-05-04,26.281286,26.604658,26.046106,26.281286,17.018805,7379
2012-05-07,26.281286,26.369478,25.781530,26.104902,16.904587,4517
2012-05-08,26.281286,26.692850,26.281286,26.398876,17.094954,7002
2012-05-09,26.281286,26.457670,25.928516,26.457670,17.133030,3311
2012-05-10,26.457670,26.457670,25.575748,25.987312,16.828442,5837
2012-05-11,26.104902,26.193094,25.575748,25.722734,16.657108,2544
2012-05-14,25.899120,26.516464,25.899120,26.428272,17.113993,5357
2012-05-15,25.987312,26.222490,25.722734,26.104902,16.904587,4877
2012-05-16,26.457670,26.457670,25.781530,25.781530,16.695185,4784
2012-05-17,26.104902,26.104902,25.340569,25.634542,16.600000,6823
2012-05-18,25.340569,25.987312,25.046595,25.340569,16.409632,6871
2012-05-21,25.340569,25.840324,25.340569,25.575748,16.561928,5585
2012-05-22,25.987312,27.104414,25.810928,27.045618,17.513762,12368
2012-05-23,26.692850,27.133812,26.222490,26.751644,17.323395,6624
2012-05-24,26.751644,28.221516,26.751644,27.339594,17.704128,18135
2012-05-25,27.457184,27.662966,26.781042,27.045618,17.513762,8570482
2012-05-28,26.928028,27.339594,26.487068,27.310196,17.685093,10084220
2012-05-29,26.222490,27.045618,26.222490,26.398876,18.004278,12086097
2012-05-30,26.428272,26.839836,25.869722,26.810440,18.284969,7902056
2012-05-31,26.340080,27.045618,26.340080,27.045618,18.445362,7340782
2012-06-01,26.751644,26.810440,26.046106,26.046106,17.763685,6738688
2012-06-04,24.693827,25.340569,24.223467,24.693827,16.841421,12096302
2012-06-05,25.987312,26.104902,25.046595,25.193583,17.182257,5910384
2012-06-06,25.399364,25.957914,25.340569,25.869722,17.643391,4884783
2012-06-07,26.369478,26.369478,25.458158,25.869722,17.643391,3345532
2012-06-08,26.104902,26.134298,25.546350,25.605146,17.462946,2675405
2012-06-11,25.869722,26.104902,25.252377,25.281775,17.242403,4269083
2012-06-12,25.046595,25.222979,24.399853,25.222979,17.202305,5849154
2012-06-13,25.046595,25.222979,24.635031,25.222979,17.202305,4394944
2012-06-14,25.105391,25.105391,24.605635,24.870211,16.961714,4765725
2012-06-15,24.693827,24.929005,24.458647,24.929005,17.001812,4806545
2012-06-18,25.575748,25.869722,25.105391,25.458158,17.362701,7233629
2012-06-19,25.605146,26.016708,25.311172,25.458158,17.362701,6856045
2012-06-20,25.869722,25.928516,25.516953,25.663940,17.503044,3530923
2012-06-21,25.487556,25.899120,25.428761,25.781530,17.583246,4294595
2012-06-22,25.575748,25.840324,25.487556,25.722734,17.543142,3217970
2012-06-25,25.722734,25.840324,25.369967,25.369967,17.302553,2245095
2012-06-26,25.281775,25.399364,24.635031,25.281775,17.242403,4250374
2012-06-27,24.870211,25.399364,24.870211,25.399364,17.322599,2552945
2012-06-28,25.458158,25.516953,25.046595,25.340569,17.282503,1722940
2012-06-29,25.281775,25.575748,25.046595,25.516953,17.402798,2430486
2012-07-02,25.575748,25.928516,25.546350,25.634542,17.482994,5583824
2012-07-03,25.634542,26.428272,25.605146,26.163696,17.843882,10216885
2012-07-04,26.457670,26.457670,26.251888,26.251888,17.904032,7584000
2012-07-05,26.457670,26.457670,26.075504,26.340080,17.964178,4610950
2012-07-06,26.340080,26.369478,25.781530,25.869722,17.643391,4456174
2012-07-09,25.869722,25.899120,25.487556,25.869722,17.643391,1921937
2012-07-10,25.869722,25.899120,25.399364,25.575748,17.442898,2372657
2012-07-11,25.575748,26.457670,25.369967,26.457670,18.044374,7929269
2012-07-12,26.457670,27.222004,26.369478,26.957426,18.385210,17379080
2012-07-13,27.045618,27.545376,26.810440,26.810440,18.284969,10359755
2012-07-16,27.045618,27.927542,26.869234,27.633568,18.846350,15349990
2012-07-17,27.751158,28.250914,27.662966,27.721760,18.906496,12793643
