Date,Open,High,Low,Close,Adj Close,Volume
2000-08-18,1534.912598,1534.912598,1513.140747,1534.912598,859.733948,1506902
2000-08-21,1600.227905,1600.227905,1545.798218,1545.798218,865.830994,377965
2000-08-22,1534.912598,1578.456177,1513.140747,1578.456177,884.123352,443297
2000-08-23,null,null,null,null,null,null
2000-08-24,1567.570435,1643.771484,1567.570435,1632.885620,914.610352,741187
2000-08-25,1632.885620,1687.315308,1632.885620,1665.543213,932.902649,921870
2000-08-28,1643.771484,1643.771484,1578.456177,1589.342041,890.220825,424710
2000-08-29,1524.026611,1589.342041,1524.026611,1567.570435,878.026062,417769
2000-08-30,1567.570435,1567.570435,1502.254883,1502.254883,841.441589,280135
2000-08-31,1415.167480,1491.368774,1415.167480,1480.483032,829.246704,369362
2000-09-01,1469.597168,1480.483032,1382.510010,1382.510010,774.370239,423318
2000-09-04,1502.254883,1556.684326,1458.711060,1556.684326,871.928528,464637
2000-09-05,1556.684326,1567.570435,1524.026611,1545.798218,865.830994,284470
2000-09-06,1534.912598,1545.798218,1491.368774,1502.254883,841.441589,221839
2000-09-07,1404.281616,1447.825195,1404.281616,1415.167480,792.662231,641846
2000-09-08,1447.825195,1447.825195,1393.395752,1393.395752,780.467529,178665
2000-09-11,1371.623901,1382.510010,1360.738037,1360.738037,762.175171,179712
2000-09-12,null,null,null,null,null,null
2000-09-13,1338.966187,1338.966187,1284.536743,1328.080322,743.883179,506220
2000-09-14,1328.080322,1328.080322,1240.993164,1251.878906,701.201172,246760
2000-09-15,1251.878906,1328.080322,1230.107300,1295.422485,725.590820,660348
2000-09-18,1317.194458,1317.194458,1262.765015,1262.765015,707.298889,150929
2000-09-19,1262.765015,1273.650879,1197.449585,1197.449585,670.714417,230594
2000-09-20,1262.765015,1262.765015,1208.335327,1230.107300,689.006348,235682
2000-09-21,1230.107300,1230.107300,1186.563721,1186.563721,664.616882,296984
2000-09-22,1110.362061,1110.362061,1110.362061,1110.362061,621.934937,176566
2000-09-25,1034.161011,1058.109863,1034.161011,1034.161011,579.253235,290206
2000-09-26,962.314087,999.326050,962.314087,999.326050,559.741638,408878
2000-09-27,979.731323,1040.692383,955.782471,975.376892,546.327148,657706
2000-09-28,1034.161011,1042.869629,1003.680481,1023.274902,573.155701,367959
2000-09-29,1008.034668,1008.034668,973.199951,975.376892,546.327148,317832
2000-10-02,940.542175,997.148804,940.542175,979.731323,548.766235,412827
2000-10-03,971.022705,984.085754,931.833313,955.782471,535.351868,221240
2000-10-04,923.124695,923.124695,923.124695,923.124695,517.059692,11487
2000-10-05,892.644165,923.124695,892.644165,892.644165,499.986969,276964
2000-10-06,870.872253,940.542175,868.695007,938.364990,525.596130,541221
2000-10-09,877.403870,890.466980,875.226685,875.226685,490.231079,66048
2000-10-10,null,null,null,null,null,null
2000-10-11,844.746155,844.746155,844.746155,844.746155,473.158356,8585
2000-10-12,785.962280,785.962280,785.962280,785.962280,440.232422,26513
2000-10-13,731.532837,731.532837,731.532837,731.532837,409.745514,50495
2000-10-16,null,null,null,null,null,null
