Date,Open,High,Low,Close,Adj Close,Volume
2002-02-19,5.115787,5.292193,5.115787,5.292193,2.974830,77992299
2002-02-20,5.292193,5.433319,5.256913,5.327478,2.994664,61617127
2002-02-21,5.362758,5.398039,5.168710,5.292193,2.974830,50527576
2002-02-22,5.292193,5.327478,5.274555,5.292193,2.974830,15142590
2002-02-25,5.327478,5.362758,5.292193,5.292193,2.974830,17046602
2002-02-26,5.292193,5.327478,5.292193,5.292193,2.974830,15106338
2002-02-27,5.292193,5.327478,5.186352,5.203990,2.925250,22011415
2002-02-28,5.203990,5.203990,5.203990,5.203990,2.925250,0
2002-03-01,5.186352,5.221632,5.133429,5.168710,2.905418,24707635
2002-03-04,5.292193,5.327478,5.203990,5.327478,2.994664,19548092
2002-03-05,5.327478,5.327478,5.203990,5.221632,2.935167,19232647
2002-03-06,5.221632,5.292193,5.221632,5.292193,2.974830,16222747
2002-03-07,5.292193,5.362758,5.292193,5.327478,2.994664,13779640
2002-03-08,5.327478,5.327478,5.115787,5.151067,2.895501,12722398
2002-03-11,5.186352,5.186352,5.115787,5.168710,2.905418,9465528
2002-03-12,5.186352,5.292193,5.080506,5.115787,2.875669,11878862
2002-03-13,5.080506,5.115787,5.045226,5.045226,2.836006,9438671
2002-03-14,5.009945,5.080506,4.974665,5.009945,2.816174,8498662
2002-03-15,5.009945,5.062864,5.009945,5.027584,2.826089,9639100
2002-03-18,5.115787,5.115787,4.957023,4.992303,2.806257,14007331
2002-03-19,4.992303,5.027584,4.939381,4.974665,2.796342,12879155
2002-03-20,4.974665,5.009945,4.939381,5.009945,2.816174,6649107
2002-03-21,4.957023,4.974665,4.904100,4.904100,2.756677,12342979
2002-03-22,4.939381,5.221632,4.921742,5.133429,2.885586,32012177
2002-03-25,5.203990,5.292193,5.203990,5.239271,2.945081,28089511
2002-03-26,5.221632,5.221632,5.168710,5.168710,2.905418,12013141
2002-03-27,5.186352,5.362758,5.168710,5.292193,2.974830,50650274
2002-03-28,5.362758,5.398039,5.292193,5.362758,3.014495,33361609
2002-03-29,5.433319,5.433319,5.362758,5.362758,3.014495,21094219
2002-04-01,5.292193,5.433319,5.292193,5.398039,3.034327,12794273
2002-04-02,5.398039,5.645006,5.362758,5.574445,3.133489,34047731
