Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,58.929264,61.487690,58.929264,59.997055,25.743086,51510536
2000-01-05,58.929264,60.206341,58.288589,58.715706,25.193295,34281452
2000-01-06,59.356380,62.346195,59.356380,62.346195,26.751038,86427970
2000-01-07,61.919079,61.919079,59.787766,60.637730,26.017986,43741129
2000-01-10,61.278404,64.477509,60.847015,64.477509,27.665529,69470477
2000-01-11,68.757210,68.757210,65.336014,65.767395,28.218975,153755274
2000-01-12,66.617355,70.034294,65.767395,70.034294,30.049786,95247557
2000-01-13,70.034294,70.034294,66.617355,67.467323,28.948368,69564697
2000-01-14,68.325829,69.175789,65.767395,67.044479,28.766943,54751341
2000-01-17,71.747032,72.165604,70.034294,70.457138,30.231218,66328508
2000-01-18,71.315643,72.596992,70.034294,70.884254,30.414482,70969857
2000-01-19,70.034294,70.457138,67.044479,67.467323,28.948368,59191965
2000-01-20,66.617355,67.894440,65.767395,67.044479,28.766943,29411547
2000-01-21,67.467323,69.175789,67.044479,67.044479,28.766943,37932224
2000-01-24,68.325829,68.325829,66.617355,66.617355,28.583670,23830739
2000-01-25,66.185974,66.617355,65.336014,65.336014,28.033892,23310272
2000-01-26,66.185974,67.467323,65.767395,66.617355,28.583670,22928592
2000-01-27,67.044479,67.467323,65.767395,65.767395,28.218975,22225140
2000-01-28,65.336014,68.325829,65.336014,66.617355,28.583670,38737548
2000-01-31,68.325829,69.175789,67.894440,67.894440,29.131630,72390175
2000-02-01,68.757210,68.757210,67.044479,67.894440,29.131630,51027619
2000-02-02,null,null,null,null,null,null
2000-02-03,null,null,null,null,null,null
2000-02-04,null,null,null,null,null,null
2000-02-07,null,null,null,null,null,null
2000-02-08,null,null,null,null,null,null
2000-02-09,69.607178,70.034294,68.325829,68.757210,29.501825,91515706
2000-02-10,68.757210,70.034294,67.467323,67.894440,29.131630,49945455
2000-02-11,68.325829,70.884254,67.467323,69.175789,29.681435,137662741
2000-02-14,69.607178,70.457138,67.894440,68.325829,29.316732,94821839
2000-02-15,68.325829,68.757210,66.617355,67.467323,28.948368,42939451
2000-02-16,68.325829,68.325829,67.044479,67.044479,28.766943,42691083
2000-02-17,67.467323,68.325829,67.044479,67.044479,28.766943,54765194
2000-02-18,67.894440,67.894440,66.185974,66.185974,28.398581,46555495
2000-02-21,65.336014,65.336014,62.346195,62.346195,26.751038,53469529
