Date,Open,High,Low,Close,Adj Close,Volume
2002-03-11,154.696198,154.696198,154.696198,154.696198,97.765282,1415
2002-03-12,89.815620,89.815620,89.815620,89.815620,56.761883,2604
2002-03-13,95.954025,95.954025,95.954025,95.954025,60.641228,2604
2002-03-14,102.480934,102.480934,102.480934,102.480934,64.766144,2604
2002-03-15,103.250877,109.389282,103.250877,109.389282,69.132095,15631
2002-03-18,116.679077,116.679077,116.679077,116.679077,73.739105,466363
2002-03-19,122.436035,122.436035,112.073509,112.073509,70.828461,12690841
2002-03-20,110.159233,116.297630,104.783714,114.764801,72.529327,6070551
2002-03-21,112.073509,118.981857,112.073509,116.679077,73.739105,3418267
2002-03-22,118.981857,124.357376,117.449020,118.218971,74.712288,4569848
2002-03-25,118.600418,120.903198,117.067581,117.449020,74.225708,2571516
2002-03-26,116.679077,121.284645,115.527679,119.751808,75.681015,3525087
2002-03-27,120.903198,120.903198,112.843460,115.527679,73.011436,3493823
2002-03-28,115.527679,115.527679,112.073509,112.843460,71.315071,2297951
2002-03-29,113.224899,114.764801,110.540672,111.692062,70.587410,3061328
2002-04-01,112.073509,112.073509,109.389282,109.389282,69.132095,1018706
2002-04-02,109.389282,113.224899,109.389282,110.922119,70.100822,1096867
2002-04-03,110.922119,111.310623,107.086494,107.467941,67.917847,1284454
2002-04-04,107.086494,107.467941,101.329536,103.632324,65.493782,2045228
2002-04-05,103.632324,103.632324,103.632324,103.632324,65.493782,0
2002-04-08,99.796707,105.553665,99.796707,105.165154,66.462524,971809
2002-04-09,104.783714,104.783714,102.862373,102.862373,65.007210,528893
2002-04-10,102.862373,105.553665,102.480934,105.553665,66.708046,455941
2002-04-11,107.467941,109.389282,106.705055,109.007835,68.891037,956175
2002-04-12,108.237892,111.310623,106.316551,111.310623,70.346352,784220
2002-04-15,109.389282,109.770721,104.402275,104.402275,65.980392,1203688
2002-04-16,104.783714,107.856445,104.402275,105.935104,66.949112,1169818
2002-04-17,107.467941,108.237892,105.553665,105.553665,66.708046,481995
2002-04-18,105.553665,106.705055,101.710983,102.480934,64.766144,1216715
2002-04-19,103.632324,106.705055,103.250877,105.553665,66.708046,961386
2002-04-22,106.316551,106.316551,103.250877,103.632324,65.493782,416860
2002-04-23,103.632324,109.770721,103.632324,107.467941,67.917847,1182845
2002-04-24,109.007835,109.389282,107.467941,108.619331,68.645493,578395
2002-04-25,107.467941,107.467941,105.553665,105.553665,66.708046,250116
2002-04-26,107.467941,107.467941,105.553665,105.935104,66.949112,260538
2002-04-29,105.553665,107.467941,105.165154,105.935104,66.949112,218852
2002-04-30,105.553665,107.467941,104.402275,106.705055,67.435715,484600
2002-05-01,106.705055,106.705055,106.705055,106.705055,67.435715,0
2002-05-02,107.467941,113.994850,105.935104,107.856445,68.163376,2063465
2002-05-03,107.856445,110.922119,107.467941,109.770721,69.373138,930123
2002-05-06,109.007835,109.007835,102.862373,103.250877,65.252724,739929
2002-05-07,103.250877,110.159233,103.250877,110.159233,69.618690,1982699
2002-05-08,113.224899,115.916191,111.310623,115.146240,72.770393,4997132
2002-05-09,118.600418,118.981857,112.073509,115.146240,72.770393,2037412
2002-05-10,115.146240,117.067581,111.692062,116.679077,73.739105,838933
2002-05-13,115.146240,115.527679,113.613403,113.994850,72.042740,416860
2002-05-14,116.297630,116.297630,112.073509,112.843460,71.315071,458548
2002-05-15,114.764801,115.916191,112.843460,113.224899,71.556152,974414
