Date,Open,High,Low,Close,Adj Close,Volume
2002-01-29,3.357741,3.460267,3.357741,3.434633,2.152868,64270671
2002-01-30,3.409002,3.434633,3.396186,3.421819,2.144836,13948312
2002-01-31,3.421819,3.421819,3.421819,3.421819,2.144836,0
2002-02-01,3.498714,3.511528,3.460267,3.485898,2.185001,17925905
2002-02-04,3.575609,3.575609,3.498714,3.524345,2.209100,15736542
2002-02-05,3.537162,3.537162,3.485898,3.498714,2.193034,9157318
2002-02-06,3.537162,3.537162,3.498714,3.511528,2.201066,13710405
2002-02-07,3.511528,3.511528,3.511528,3.511528,2.201066,0
2002-02-08,3.511528,3.511528,3.511528,3.511528,2.201066,0
2002-02-11,3.511528,3.511528,3.511528,3.511528,2.201066,0
2002-02-12,3.511528,3.511528,3.511528,3.511528,2.201066,0
2002-02-13,3.511528,3.511528,3.511528,3.511528,2.201066,0
2002-02-14,3.511528,3.511528,3.511528,3.511528,2.201066,0
2002-02-15,3.511528,3.511528,3.511528,3.511528,2.201066,0
2002-02-18,3.537162,3.562793,3.485898,3.511528,2.201066,9507792
2002-02-19,3.485898,3.537162,3.460267,3.485898,2.185001,9951405
2002-02-20,3.485898,3.498714,3.447450,3.473081,2.176967,10777308
2002-02-21,3.447450,3.485898,3.396186,3.447450,2.160902,18378643
2002-02-22,3.409002,3.434633,3.370555,3.383372,2.120737,12568543
2002-02-25,3.409002,3.421819,3.319294,3.357741,2.104671,13608998
2002-02-26,3.370555,3.383372,3.344924,3.344924,2.096637,8641790
2002-02-27,3.357741,3.370555,3.344924,3.370555,2.112703,16127195
2002-02-28,3.370555,3.370555,3.370555,3.370555,2.112703,0
2002-03-01,3.370555,3.370555,3.332107,3.344924,2.096637,11503296
2002-03-04,3.383372,3.396186,3.332107,3.344924,2.096637,31289780
2002-03-05,3.344924,3.357741,3.255212,3.255212,2.040405,31605000
2002-03-06,3.229582,3.280846,3.229582,3.268029,2.048439,19549674
2002-03-07,3.280846,3.332107,3.255212,3.268029,2.048439,24942407
2002-03-08,3.280846,3.306477,3.255212,3.255212,2.040405,12947285
2002-03-11,3.280846,3.319294,3.255212,3.293660,2.064503,19963801
2002-03-12,3.319294,3.370555,3.293660,3.306477,2.072538,20587447
2002-03-13,3.332107,3.357741,3.306477,3.332107,2.088603,23846483
2002-03-14,3.332107,3.332107,3.293660,3.306477,2.072538,19999695
2002-03-15,3.332107,3.357741,3.280846,3.306477,2.072538,14648106
2002-03-18,3.306477,3.332107,3.268029,3.280846,2.056472,17531566
2002-03-19,3.293660,3.306477,3.255212,3.268029,2.048439,10679528
2002-03-20,3.268029,3.293660,3.255212,3.255212,2.040405,10803213
2002-03-21,3.255212,3.280846,3.255212,3.268029,2.048439,10901570
2002-03-22,3.268029,3.319294,3.268029,3.319294,2.080572,22294447
2002-03-25,3.344924,3.383372,3.344924,3.357741,2.104671,27561282
2002-03-26,3.357741,3.357741,3.319294,3.319294,2.080572,15473459
2002-03-27,3.357741,3.498714,3.357741,3.357741,2.104671,53297134
2002-03-28,3.409002,3.421819,3.357741,3.383372,2.120737,29765554
2002-03-29,3.434633,3.434633,3.357741,3.357741,2.104671,20028898
2002-04-01,3.332107,3.332107,3.306477,3.319294,2.080572,11573251
2002-04-02,3.293660,3.396186,3.293660,3.344924,2.096637,15546392
2002-04-03,3.344924,3.434633,3.332107,3.434633,2.152868,19949483
2002-04-04,3.447450,3.537162,3.434633,3.473081,2.176967,86078574
2002-04-05,3.473081,3.473081,3.473081,3.473081,2.176967,0
2002-04-08,3.511528,3.703766,3.473081,3.614057,2.265333,120387705
2002-04-09,3.588423,3.588423,3.409002,3.409002,2.136802,42470130
2002-04-10,3.434633,3.524345,3.357741,3.485898,2.185001,32701145
2002-04-11,3.485898,3.626871,3.434633,3.524345,2.209100,122507038
2002-04-12,3.460267,3.498714,3.434633,3.460267,2.168935,20786025
2002-04-15,3.473081,3.524345,3.421819,3.434633,2.152868,21622872
2002-04-16,3.447450,3.537162,3.447450,3.498714,2.193034,48004844
2002-04-17,3.549976,3.639688,3.511528,3.575609,2.241233,89421026
2002-04-18,3.575609,3.729399,3.575609,3.652504,2.289432,107751198
2002-04-19,3.678135,3.896003,3.665318,3.896003,2.442060,198275418
2002-04-22,3.896003,3.921634,3.755030,3.896003,2.442060,86799054
