Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,58.197346,59.399445,55.986881,59.399445,27.421139,17677270274
2000-01-05,59.801800,63.413052,59.801800,63.413052,29.273983,29170233836
2000-01-06,67.024307,67.829018,64.217766,65.419861,30.200407,37521229648
2000-01-07,62.210957,64.217766,61.003895,61.003895,28.161819,22115245718
2000-01-10,60.601540,61.406246,58.594734,60.601540,27.976078,23460237382
2000-01-11,61.808601,62.608345,56.389236,57.193947,26.403002,31286570025
2000-01-12,57.993687,58.594734,57.193947,57.794994,26.680466,19575455471
2000-01-13,58.197346,58.197346,53.781384,53.781384,24.827621,26010020906
2000-01-14,53.781384,54.382431,51.575886,53.781384,24.827621,17755444921
2000-01-17,54.183739,55.788189,52.976673,55.589493,25.662315,17791057547
2000-01-18,55.589493,55.986881,52.976673,53.781384,24.827621,15552007777
2000-01-19,53.781384,54.983479,52.976673,53.582687,24.735901,11796315094
2000-01-20,54.784786,56.190540,54.586090,55.385834,25.568304,16314152206
2000-01-21,54.586090,58.798393,54.586090,56.592896,26.125523,22586574
2000-01-24,57.993687,58.197346,55.589493,55.788189,25.754040,11827772579
2000-01-25,55.385834,55.788189,53.781384,54.183739,25.013374,7451002939
2000-01-26,54.983479,55.385834,53.781384,54.183739,25.013374,12037726023
2000-01-27,54.183739,54.586090,53.781384,53.781384,24.827621,5747964466
2000-01-28,53.781384,54.183739,52.579285,52.579285,24.272692,5311078670
2000-01-31,52.176933,53.781384,50.969868,53.582687,24.735901,14410889843
2000-02-01,54.382431,54.382431,53.379028,53.379028,24.641884,7322549867
2000-02-02,null,null,null,null,null,null
2000-02-03,null,null,null,null,null,null
2000-02-04,null,null,null,null,null,null
2000-02-07,null,null,null,null,null,null
2000-02-08,null,null,null,null,null,null
2000-02-09,54.983479,56.990284,53.379028,56.990284,26.308985,32667140092
2000-02-10,55.385834,56.990284,54.183739,54.586090,25.199102,16481779
2000-02-11,54.983479,56.990284,54.586090,54.586090,25.199102,19821498
2000-02-14,54.983479,55.187141,53.582687,54.183739,25.013374,9551258
2000-02-15,54.183739,55.788189,54.183739,55.187141,25.476576,11094063896
2000-02-16,55.788189,58.997089,55.385834,58.997089,27.235397,43943645722
2000-02-17,60.204151,61.406246,58.594734,59.598137,27.512867,33369719433
2000-02-18,61.808601,63.010700,59.399445,60.601540,27.976078,27896741213
2000-02-21,59.200748,59.200748,54.983479,54.983479,25.382557,12098319829
2000-02-22,53.379028,54.586090,52.176933,52.976673,24.456131,10944877390
2000-02-23,53.379028,54.183739,52.976673,52.976673,24.456131,6706284338
2000-02-24,54.983479,54.983479,53.180332,53.379028,24.641884,6629390055
2000-02-25,53.379028,54.586090,52.976673,53.180332,24.550154,4174411811
2000-02-28,null,null,null,null,null,null
2000-02-29,54.183739,54.183739,53.379028,53.781384,24.827621,3043170392
2000-03-01,55.589493,55.589493,53.781384,54.183739,25.013374,5322481152
2000-03-02,55.187141,55.187141,52.176933,52.579285,24.272692,10145996998
2000-03-03,52.579285,54.183739,52.579285,53.781384,24.827621,8688665515
