Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,43.961380,44.900723,43.209900,44.524986,21.108095,332630460
2000-01-05,43.585640,44.524986,43.209900,44.337120,21.019032,292754299
2000-01-06,44.337120,44.337120,43.209900,43.397774,20.573715,248928848
2000-01-07,42.270554,42.646294,40.955471,42.082687,19.950262,269228882
2000-01-10,40.203999,43.585640,40.203999,43.209900,20.484653,380487972
2000-01-11,43.961380,44.337120,41.331211,41.706947,19.772139,286306727
2000-01-12,41.706947,42.834160,41.519081,42.834160,20.306522,181892693
2000-01-13,42.458427,42.834160,41.706947,41.706947,19.772139,162467818922
2000-01-14,42.270554,43.022034,41.706947,42.270554,20.039331,201569289
2000-01-17,43.585640,43.773514,43.022034,43.209900,20.484653,150538291
2000-01-18,43.209900,43.209900,42.082687,42.270554,20.039331,118179571
2000-01-19,42.270554,42.834160,41.706947,41.706947,19.772139,131704223
2000-01-20,41.706947,41.894821,40.767605,41.706947,19.772139,161466136
2000-01-21,42.458427,43.209900,42.270554,42.646294,20.217463,146733969027
2000-01-24,43.209900,44.337120,43.209900,43.961380,20.840906,280150047
2000-01-25,43.961380,44.337120,43.397774,44.149254,20.929972,165332179
2000-01-26,45.088596,47.155155,45.088596,46.967281,22.265919,509931527
2000-01-27,48.094498,48.094498,46.403675,46.967281,22.265919,294787896
2000-01-28,46.215809,46.215809,45.088596,45.276463,21.464350,220776993
2000-01-31,44.712856,46.027943,44.524986,46.027943,21.820608,123849502
2000-02-01,46.779423,46.779423,45.464329,46.215809,21.909672,138152648
2000-02-02,null,null,null,null,null,null
2000-02-03,null,null,null,null,null,null
2000-02-04,null,null,null,null,null,null
2000-02-07,null,null,null,null,null,null
2000-02-08,null,null,null,null,null,null
2000-02-09,47.718761,47.718761,46.403675,46.779423,22.176865,205640473
2000-02-10,46.591549,46.591549,45.088596,45.840069,21.731539,142264579
2000-02-11,46.215809,46.967281,45.652203,46.027943,21.820608,248857310
2000-02-14,46.403675,47.343025,45.840069,46.027943,21.820608,231418814
2000-02-15,46.027943,46.403675,45.464329,46.027943,21.820608,132398164
2000-02-16,46.215809,46.591549,45.464329,45.840069,21.731539,96313793
2000-02-17,45.464329,45.652203,44.712856,45.276463,21.464350,169811146
2000-02-18,45.652203,45.840069,44.149254,44.337120,21.019032,168258311
2000-02-21,43.961380,43.961380,41.706947,41.706947,19.772139,204879305
2000-02-22,40.955471,42.646294,40.767605,42.082687,19.950262,220926964
2000-02-23,42.082687,42.082687,41.331211,41.331211,19.594009,94785922
2000-02-24,41.706947,42.082687,41.331211,41.894821,19.861206,96072827
2000-02-25,42.082687,42.270554,41.519081,42.270554,20.039331,131295083
2000-02-28,null,null,null,null,null,null
2000-02-29,42.834160,43.022034,42.270554,42.270554,20.039331,93814074
2000-03-01,43.022034,43.209900,42.646294,42.834160,20.306522,103782874
2000-03-02,43.209900,43.209900,41.706947,41.894821,19.861206,77321238
2000-03-03,41.706947,42.082687,41.519081,41.894821,19.861206,54058051
2000-03-06,42.270554,42.270554,41.331211,41.519081,19.683075,79299876
2000-03-07,41.143345,41.706947,40.579739,40.955471,19.415886,89830876
2000-03-08,40.955471,41.331211,40.579739,40.767605,19.326824,83254277
2000-03-09,40.955471,41.894821,40.955471,41.894821,19.861206,89730328
2000-03-10,42.458427,42.458427,40.203999,40.203999,19.059631,121241490
2000-03-13,38.325310,38.513172,37.573830,37.573830,17.812738,197750221
2000-03-14,36.822350,38.325310,36.446617,38.137436,18.079929,192705540
2000-03-15,37.949570,38.325310,36.822350,37.198090,17.634611,168651829
2000-03-16,34.755787,37.198090,34.755787,36.258743,17.189293,249527376
2000-03-17,36.258743,36.822350,35.883003,36.822350,17.456484,322737936
2000-03-20,35.695137,35.695137,35.695137,35.695137,16.922104,19713548
2000-03-21,34.567921,38.137436,34.567921,38.137436,18.079929,307675855
2000-03-22,38.137436,39.452518,37.573830,38.513172,18.258057,233479025
2000-03-23,39.828259,41.143345,39.452518,41.143345,19.504951,250847711
2000-03-24,41.519081,41.519081,40.579739,40.767605,19.326824,178769243
2000-03-27,41.331211,43.585640,41.331211,43.585640,20.662777,197371979
2000-03-28,45.088596,45.088596,43.961380,44.524986,21.108095,277777118920
2000-03-29,44.712856,44.712856,43.773514,44.149254,20.929972,153859273
2000-03-30,44.337120,46.591549,44.337120,45.464329,21.553413,344904162
2000-03-31,45.088596,45.464329,44.149254,44.337120,21.019032,164745578225
2000-04-03,null,null,null,null,null,null
2000-04-04,null,null,null,null,null,null
2000-04-05,44.900723,46.779423,44.900723,46.215809,21.909672,227783546
2000-04-06,46.215809,46.779423,43.961380,43.961380,20.840906,219765704
2000-04-07,44.337120,44.712856,43.209900,43.585640,20.662777,161019549
