Date,Open,High,Low,Close,Adj Close,Volume
2001-12-20,6.316467,6.346405,5.897367,6.286533,3.380290,216173199
2001-12-21,6.166791,6.226662,5.897367,5.897367,3.171035,86788521
2001-12-24,6.017110,6.047048,5.837496,5.837496,3.138842,48449668
2001-12-25,5.867429,6.166791,5.867429,6.136853,3.299807,75984660
2001-12-26,5.987172,6.226662,5.987172,6.047048,3.251518,94950971
2001-12-27,6.106915,6.256596,6.047048,6.136853,3.299807,106041277
2001-12-28,6.226662,6.226662,5.927301,5.987172,3.219323,53042618
2001-12-31,6.076981,6.256596,6.017110,6.136853,3.299807,57561044
2002-01-01,6.136853,6.136853,6.136853,6.136853,3.299807,0
2002-01-02,6.196724,6.346405,6.047048,6.166791,3.315904,108521978
2002-01-03,6.166791,6.166791,6.166791,6.166791,3.315904,0
2002-01-04,6.256596,6.286533,6.136853,6.166791,3.315904,49985416
2002-01-07,6.226662,6.316467,6.196724,6.286533,3.380290,80339469
2002-01-08,6.346405,6.406276,6.196724,6.196724,3.332000,66241967
2002-01-09,6.256596,6.316467,6.076981,6.076981,3.267614,89220221
2002-01-10,6.106915,6.196724,6.076981,6.076981,3.267614,47669400
2002-01-11,6.136853,6.226662,5.987172,5.987172,3.219323,69023247
2002-01-14,6.047048,6.106915,5.867429,5.867429,3.154937,38555517
2002-01-15,5.897367,5.927301,5.687815,5.777620,3.106646,46257246
2002-01-16,5.867429,5.927301,5.747687,5.777620,3.106646,36242305
2002-01-17,5.687815,5.867429,5.687815,5.837496,3.138842,27186505
2002-01-18,5.987172,6.047048,5.777620,5.807558,3.122744,62943717
2002-01-21,5.837496,6.047048,5.777620,5.987172,3.219323,40654341
2002-01-22,6.076981,6.076981,5.867429,5.897367,3.171035,28033080
2002-01-23,5.897367,5.987172,5.837496,5.837496,3.138842,31090233
2002-01-24,5.927301,6.047048,5.837496,5.867429,3.154937,25595329
2002-01-25,5.957239,6.136853,5.927301,6.017110,3.235421,60450887
2002-01-28,6.106915,6.136853,6.017110,6.017110,3.235421,31797927
2002-01-29,6.017110,6.047048,5.717753,5.807558,3.122744,30648217
2002-01-30,5.747687,5.807558,5.717753,5.717753,3.074455,20500689
2002-01-31,5.717753,5.717753,5.717753,5.717753,3.074455,0
2002-02-01,5.927301,5.927301,5.807558,5.837496,3.138842,24364558
2002-02-04,5.837496,5.897367,5.777620,5.777620,3.106646,24887157
2002-02-05,5.777620,5.807558,5.717753,5.747687,3.090551,18580043
2002-02-06,5.777620,5.867429,5.777620,5.807558,3.122744,28250154
2002-02-07,5.807558,5.807558,5.807558,5.807558,3.122744,0
2002-02-08,5.807558,5.807558,5.807558,5.807558,3.122744,0
2002-02-11,5.807558,5.807558,5.807558,5.807558,3.122744,0
2002-02-12,5.807558,5.807558,5.807558,5.807558,3.122744,0
2002-02-13,5.807558,5.807558,5.807558,5.807558,3.122744,0
2002-02-14,5.807558,5.807558,5.807558,5.807558,3.122744,0
2002-02-15,5.807558,5.807558,5.807558,5.807558,3.122744,0
2002-02-18,5.837496,5.867429,5.717753,5.777620,3.106646,20717618
2002-02-19,5.777620,5.867429,5.717753,5.717753,3.074455,25446665
2002-02-20,5.717753,5.777620,5.508201,5.538135,2.977875,25831332
2002-02-21,5.598006,5.627944,5.448330,5.448330,2.929586,18512838
2002-02-22,5.448330,5.478263,5.388458,5.448330,2.929586,12781254
2002-02-25,5.448330,5.508201,5.328583,5.328583,2.865197,15417196
2002-02-26,5.418392,5.448330,5.208840,5.208840,2.800811,19935454
2002-02-27,5.238778,5.388458,5.238778,5.388458,2.897393,14560463
2002-02-28,5.388458,5.388458,5.388458,5.388458,2.897393,0
2002-03-01,5.358520,5.388458,5.268711,5.268711,2.833004,12706856
2002-03-04,5.388458,5.508201,5.328583,5.478263,2.945681,24349314
2002-03-05,5.508201,5.538135,5.328583,5.388458,2.897393,17406979
2002-03-06,5.388458,5.508201,5.328583,5.478263,2.945681,14946896
2002-03-07,5.508201,5.627944,5.478263,5.478263,2.945681,27084552
2002-03-08,5.508201,5.598006,5.508201,5.538135,2.977875,24525470
2002-03-11,5.538135,5.687815,5.538135,5.627944,3.026165,19771469
2002-03-12,5.747687,5.927301,5.627944,5.687815,3.058358,45494901
2002-03-13,5.687815,5.717753,5.508201,5.538135,2.977875,16125075
2002-03-14,5.538135,5.627944,5.478263,5.508201,2.961779,22570300
2002-03-15,5.568072,5.598006,5.418392,5.418392,2.913488,16193939
2002-03-18,5.478263,5.478263,5.358520,5.388458,2.897393,13421496
2002-03-19,5.388458,5.418392,5.298649,5.328583,2.865197,11267703
2002-03-20,5.328583,5.418392,5.298649,5.388458,2.897393,8919180
2002-03-21,5.298649,5.388458,5.298649,5.358520,2.881295,8005855
2002-03-22,5.388458,5.508201,5.388458,5.448330,2.929586,18398142
2002-03-25,5.508201,5.598006,5.508201,5.538135,2.977875,19661322
2002-03-26,5.538135,5.538135,5.418392,5.508201,2.961779,15504378
2002-03-27,5.538135,5.777620,5.508201,5.627944,3.026165,61023826
2002-03-28,5.687815,5.777620,5.538135,5.777620,3.106646,57674723
2002-03-29,5.777620,5.867429,5.627944,5.657882,3.042262,42589892
2002-04-01,5.598006,5.598006,5.508201,5.508201,2.961779,14940033
2002-04-02,5.538135,5.657882,5.538135,5.598006,3.010067,17292692
2002-04-03,5.598006,5.867429,5.538135,5.867429,3.154937,43427538
2002-04-04,5.927301,6.256596,5.897367,6.106915,3.283709,145924015
2002-04-05,6.106915,6.106915,6.106915,6.106915,3.283709,0
2002-04-08,6.106915,6.496085,5.987172,6.286533,3.380290,139213105
2002-04-09,6.196724,6.226662,5.867429,5.867429,3.154937,58039835
2002-04-10,5.867429,5.957239,5.747687,5.897367,3.171035,35196987
2002-04-11,5.957239,5.987172,5.807558,5.837496,3.138842,22839483
2002-04-12,5.777620,5.897367,5.747687,5.867429,3.154937,27423337
2002-04-15,5.897367,6.106915,5.897367,5.987172,3.219323,43950920
2002-04-16,6.047048,6.376338,6.047048,6.256596,3.364194,105814679
2002-04-17,6.675699,6.675699,6.675699,6.675699,3.589546,106617078
2002-04-18,7.124737,7.124737,7.124737,7.124737,3.830996,87312916
2002-04-19,7.603712,7.603712,7.454032,7.603712,4.088542,380406926
2002-04-22,7.843198,8.052750,7.483965,8.052750,4.329991,297907497
2002-04-23,7.813260,8.052750,7.663584,7.723455,4.152929,132087837
2002-04-24,7.783327,8.142555,7.633646,8.142555,4.378280,262549615
2002-04-25,8.052750,8.142555,7.573775,7.573775,4.072445,175086246
2002-04-26,7.633646,7.723455,7.394160,7.573775,4.072445,144542952
2002-04-29,7.543837,7.693517,7.483965,7.513903,4.040252,111100468
2002-04-30,7.603712,7.603712,7.034928,7.034928,3.782705,90930421
2002-05-01,7.034928,7.034928,7.034928,7.034928,3.782705,0
2002-05-02,7.214546,7.424094,7.064866,7.124737,3.830996,122680391
2002-05-03,7.124737,7.603712,6.915185,7.603712,4.088542,122168024
2002-05-06,7.573775,7.603712,7.094799,7.184608,3.863189,101700211
2002-05-07,7.034928,7.184608,6.705633,6.885251,3.702223,77799256
2002-05-08,7.064866,7.154675,6.885251,7.004994,3.766609,87969533
2002-05-09,7.064866,7.334289,6.825376,7.124737,3.830996,125019341
2002-05-10,7.124737,7.334289,7.034928,7.274418,3.911480,78026067
2002-05-13,7.274418,7.304351,7.094799,7.274418,3.911480,42521746
2002-05-14,7.304351,7.334289,6.945123,6.975057,3.750512,53933466
2002-05-15,6.945123,7.094799,6.885251,7.034928,3.782705,62336655
2002-05-16,7.004994,7.094799,6.885251,6.915185,3.718319,28872625
2002-05-17,7.004994,7.064866,6.885251,6.945123,3.734417,33974625
2002-05-20,6.885251,6.885251,6.466148,6.466148,3.476870,45175969
2002-05-21,6.346405,6.705633,6.346405,6.615828,3.557353,41650070
2002-05-22,6.675699,6.825376,6.615828,6.765505,3.637835,30740125
2002-05-23,6.765505,6.855314,6.675699,6.765505,3.637835,26456942
2002-05-24,6.795442,7.214546,6.675699,7.154675,3.847094,83031670
2002-05-27,7.094799,7.633646,7.034928,7.633646,4.104638,174073214
2002-05-28,7.693517,7.783327,7.543837,7.633646,4.104638,166785583
2002-05-29,7.573775,7.573775,7.334289,7.483965,4.024154,51558189
2002-05-30,7.573775,7.992878,7.543837,7.992878,4.297798,253516352
2002-05-31,7.933003,7.933003,7.783327,7.813260,4.201217,94472670
2002-06-03,7.783327,7.783327,7.274418,7.454032,4.008059,82867170
2002-06-04,7.274418,7.543837,7.274418,7.483965,4.024154,41687545
2002-06-05,7.723455,7.723455,7.454032,7.483965,4.024154,64581106
2002-06-06,7.483965,7.513903,7.364223,7.483965,4.024154,40006602
2002-06-07,7.454032,7.903069,7.454032,7.633646,4.104638,123479838
2002-06-10,7.633646,7.723455,7.483965,7.513903,4.040252,59400891
2002-06-11,7.633646,7.843198,7.513903,7.543837,4.056347,100521990
2002-06-12,7.603712,7.693517,7.483965,7.693517,4.136831,41581296
2002-06-13,7.753389,8.202426,7.663584,8.202426,4.410474,181172220
2002-06-14,8.262302,8.621530,8.202426,8.292235,4.458764,373596728
2002-06-17,8.322173,8.741273,8.172493,8.741273,4.700212,249854807
2002-06-18,8.681402,8.681402,8.232364,8.411978,4.523149,153776781
2002-06-19,8.352107,8.501787,7.992878,8.142555,4.378280,129458655
2002-06-20,8.172493,8.531721,8.052750,8.531721,4.587536,160486438
2002-06-21,8.411978,8.531721,8.232364,8.531721,4.587536,99126646
2002-06-24,8.531721,8.561659,8.262302,8.322173,4.474861,49739260
2002-06-25,8.411978,8.411978,7.753389,7.753389,4.169024,100656360
2002-06-26,7.543837,7.633646,7.364223,7.483965,4.024154,70810855
2002-06-27,7.633646,7.723455,7.424094,7.454032,4.008059,73615062
2002-06-28,7.663584,7.723455,7.513903,7.543837,4.056347,39847020
2002-07-01,7.483965,7.483965,7.034928,7.034928,3.782705,64250507
2002-07-02,7.034928,7.304351,7.034928,7.184608,3.863189,93343945
2002-07-03,7.094799,7.663584,7.034928,7.573775,4.072445,145334431
2002-07-04,7.573775,7.783327,7.424094,7.783327,4.185122,89901125
2002-07-05,7.813260,7.843198,7.334289,7.394160,3.975866,96451996
2002-07-08,7.424094,7.663584,7.274418,7.663584,4.120736,96315439
2002-07-09,7.633646,7.693517,7.334289,7.364223,3.959768,65792470
2002-07-10,7.334289,7.454032,7.124737,7.124737,3.830996,52909479
2002-07-11,7.034928,7.304351,6.885251,6.915185,3.718319,67363914
2002-07-12,6.975057,7.184608,6.975057,7.064866,3.798803,66880092
2002-07-15,7.124737,7.394160,7.064866,7.184608,3.863189,78599039
2002-07-16,7.274418,7.454032,7.214546,7.274418,3.911480,80620681
2002-07-17,7.394160,7.454032,7.184608,7.184608,3.863189,49342890
2002-07-18,7.184608,7.304351,7.094799,7.124737,3.830996,46456950
2002-07-19,7.034928,7.094799,6.885251,6.915185,3.718319,49347136
2002-07-22,6.735571,6.795442,6.436210,6.436210,3.460773,93971172
2002-07-23,6.436210,6.585890,6.076981,6.585890,3.541255,100707373
2002-07-24,6.436210,6.555957,6.166791,6.286533,3.380290,46401428
2002-07-25,6.555957,6.555957,6.286533,6.286533,3.380290,54912540
2002-07-26,6.166791,6.466148,6.166791,6.376338,3.428579,79569911
2002-07-29,6.496085,6.795442,6.436210,6.585890,3.541255,85919397
2002-07-30,6.735571,7.034928,6.705633,7.034928,3.782705,130619860
2002-07-31,7.034928,7.034928,6.855314,6.915185,3.718319,46385054
2002-08-01,6.855314,7.244480,6.825376,7.094799,3.814898,74637473
2002-08-02,7.094799,7.154675,6.945123,7.124737,3.830996,53651006
2002-08-05,6.675699,6.885251,6.645762,6.645762,3.573448,64447276
2002-08-06,6.496085,6.705633,6.406276,6.585890,3.541255,35232343
2002-08-07,6.675699,6.795442,6.645762,6.735571,3.621741,46087607
2002-08-08,6.675699,6.735571,6.466148,6.526019,3.509063,30567289
2002-08-09,6.555957,6.975057,6.555957,6.915185,3.718319,65783954
2002-08-12,6.975057,7.364223,6.945123,7.334289,3.943673,118433167
2002-08-13,9.169806,9.169806,8.803011,9.006787,4.892493,52305632
2002-08-14,8.925276,9.169806,8.884522,9.006787,4.892493,32248400
2002-08-15,9.169806,9.292071,9.006787,9.088295,4.936769,33345872
2002-08-16,9.210560,9.210560,8.558485,8.721504,4.737528,53839667
2002-08-19,8.721504,8.721504,8.476974,8.639996,4.693253,17296895
2002-08-20,8.803011,8.884522,8.639996,8.639996,4.693253,33513782
2002-08-21,8.599239,8.721504,8.558485,8.599239,4.671113,11918109
2002-08-22,8.639996,8.843769,8.639996,8.843769,4.803941,29209926
2002-08-23,8.843769,8.843769,8.843769,8.843769,4.803941,0
2002-08-26,8.721504,8.721504,8.517732,8.558485,4.648976,17027149
2002-08-27,8.558485,8.680750,8.436220,8.436220,4.582561,23608430
2002-08-28,8.354713,8.517732,8.354713,8.395467,4.560424,12343398
2002-08-29,8.436220,8.476974,8.232448,8.313955,4.516147,15499748
2002-08-30,8.232448,8.436220,8.232448,8.273202,4.494009,12417381
2002-09-02,8.191694,8.273202,7.743392,7.743392,4.206216,30221889
2002-09-03,7.661881,7.784146,7.376597,7.376597,4.006972,40659365
2002-09-04,7.213579,7.295090,7.050560,7.132072,3.874148,35969697
2002-09-05,7.213579,7.254337,6.969053,6.969053,3.785595,20847910
2002-09-06,6.969053,6.969053,6.969053,6.969053,3.785595,0
2002-09-09,7.050560,7.172825,6.928295,7.050560,3.829869,13810518
2002-09-10,7.091318,7.498862,7.009807,7.498862,4.073388,31395941
2002-09-11,7.498862,7.498862,7.254337,7.376597,4.006972,20950394
2002-09-12,7.376597,7.661881,7.335844,7.458109,4.051250,35202051
2002-09-13,7.335844,7.417355,7.295090,7.335844,3.984836,10584344
2002-09-16,7.417355,7.417355,7.050560,7.091318,3.852009,15033175
2002-09-17,7.091318,7.498862,7.091318,7.458109,4.051250,19230301
2002-09-18,7.335844,7.335844,6.969053,7.009807,3.807731,42611450
2002-09-19,7.050560,7.213579,7.009807,7.009807,3.807731,20379619
2002-09-20,6.887542,7.009807,6.806034,6.969053,3.785595,14447462
2002-09-23,7.009807,7.132072,6.928295,6.969053,3.785595,14826802
2002-09-24,6.969053,7.132072,6.969053,7.050560,3.829869,15791800
2002-09-25,7.009807,7.091318,6.561505,6.561505,3.564214,51126778
2002-09-26,6.643016,6.724523,6.357732,6.479997,3.519939,27571922
2002-09-27,6.520751,6.602258,6.357732,6.357732,3.453525,18560981
2002-09-30,6.235467,6.276221,6.052072,6.113202,3.320696,26323420
2002-10-01,5.603302,5.827435,5.584624,5.827435,3.165467,20004355
2002-10-02,5.976856,6.051568,5.827435,5.827435,3.165467,41911742
2002-10-03,5.790079,5.827435,5.678015,5.715367,3.104592,20802201
2002-10-04,5.678015,6.088924,5.678015,6.088924,3.307508,80509180
2002-10-07,6.088924,6.163633,5.976856,6.088924,3.307508,75111010
2002-10-08,6.126277,6.313054,6.051568,6.088924,3.307508,77510549
2002-10-09,6.088924,6.238345,5.976856,5.976856,3.246633,60064429
2002-10-10,5.976856,5.976856,5.976856,5.976856,3.246633,0
2002-10-11,6.051568,6.088924,5.640658,5.640658,3.064009,37218502
2002-10-14,5.715367,5.864791,5.640658,5.752723,3.124883,23714586
2002-10-15,5.790079,6.126277,5.790079,6.126277,3.327798,39482659
2002-10-16,6.275701,6.537187,6.126277,6.462474,3.510420,121004579
2002-10-17,6.387766,6.686607,6.387766,6.686607,3.632170,77490103
2002-10-18,6.910740,7.022805,6.723964,6.798676,3.693046,121009850
2002-10-21,6.836028,7.022805,6.761320,6.910740,3.753919,69354011
2002-10-22,6.948097,7.284294,6.798676,6.948097,3.774212,115567730
2002-10-23,7.060161,7.396359,6.985453,7.321650,3.977125,113863702
2002-10-24,7.321650,7.321650,6.873384,7.022805,3.814793,103835976
2002-10-25,6.873384,7.134873,6.873384,6.985453,3.794503,37836511
2002-10-28,7.097517,7.471071,7.097517,7.471071,4.058292,145488696
2002-10-29,7.471071,7.545783,7.209582,7.284294,3.956834,61533698
2002-10-30,7.284294,7.433715,6.985453,7.172226,3.895959,62236451
2002-10-31,7.246938,7.396359,7.134873,7.284294,3.956834,46956787
2002-11-01,7.284294,7.508427,7.209582,7.246938,3.936542,68417361
2002-11-04,7.471071,7.732556,7.471071,7.657848,4.159750,126506128
2002-11-05,7.657848,7.769913,7.545783,7.695204,4.180041,72752855
2002-11-06,7.769913,8.218179,7.732556,7.844625,4.261206,198275199
2002-11-07,7.956689,8.143466,7.844625,7.919333,4.301788,97937614
2002-11-08,7.919333,8.442308,7.919333,8.442308,4.585869,164126842
2002-11-11,8.442308,8.666441,8.367599,8.404956,4.565579,116778553
2002-11-12,8.330243,8.479664,8.031402,8.255535,4.484413,96682435
2002-11-13,8.292887,8.517020,8.143466,8.367599,4.545285,102141177
2002-11-14,8.442308,8.778509,8.292887,8.554376,4.646744,153143850
2002-11-15,8.666441,9.152063,8.591732,9.152063,4.971408,194100164
2002-11-18,9.152063,9.152063,8.778509,8.853218,4.809074,114690925
2002-11-19,8.629089,8.703797,8.255535,8.255535,4.484413,141330646
2002-11-20,8.330243,8.442308,8.143466,8.367599,4.545285,107765583
2002-11-21,8.367599,8.367599,8.031402,8.031402,4.362665,71788237
2002-11-22,8.218179,8.591732,8.106110,8.404956,4.565579,90606327
2002-11-25,8.367599,8.367599,8.068758,8.292887,4.504702,48346246
2002-11-26,8.180822,8.554376,8.143466,8.292887,4.504702,77368585
2002-11-27,8.218179,8.404956,8.180822,8.218179,4.464121,43476041
2002-11-28,8.367599,8.367599,7.844625,7.844625,4.261206,85636103
2002-11-29,8.106110,8.106110,7.807269,7.994046,4.342372,40094615
2002-12-02,7.994046,7.994046,7.994046,7.994046,4.342372,0
2002-12-03,7.396359,8.031402,7.396359,7.994046,4.342372,96061050
2002-12-04,7.919333,8.180822,7.881981,7.994046,4.342372,54654498
2002-12-05,8.068758,8.367599,8.068758,8.218179,4.464121,73717298
2002-12-06,8.255535,8.404956,8.180822,8.292887,4.504702,50726217
2002-12-09,8.666441,8.853218,8.479664,8.741153,4.748201,109650628
2002-12-10,8.741153,9.189415,8.741153,9.189415,4.991697,202917161
2002-12-11,9.301484,9.824458,9.039995,9.152063,4.971408,289769423
2002-12-12,9.226771,9.562969,8.965286,9.562969,5.194613,148478751
2002-12-13,9.450905,9.450905,8.927930,8.927930,4.849658,113930371
2002-12-16,8.741153,8.890574,8.591732,8.815861,4.788783,53595330
2002-12-17,8.778509,8.815861,8.517020,8.554376,4.646744,56460347
2002-12-18,8.479664,8.591732,8.255535,8.591732,4.667036,67023258
2002-12-19,8.591732,9.189415,8.591732,9.152063,4.971408,202027226
2002-12-20,9.264128,9.749746,9.226771,9.376192,5.093154,327932618
2002-12-23,9.562969,9.824458,9.525617,9.824458,5.336653,216862350
2002-12-24,9.787102,9.787102,9.488261,9.600325,5.214902,110346174
2002-12-25,9.600325,9.749746,9.077351,9.152063,4.971408,128510865
2002-12-26,9.152063,9.488261,8.965286,9.488261,5.154031,86808949
2002-12-27,9.338840,9.675038,9.338840,9.600325,5.214902,151533067
2002-12-30,9.525617,9.712390,9.525617,9.525617,5.174323,102065466
2002-12-31,9.562969,9.600325,9.152063,9.450905,5.133740,71638643
2003-01-01,9.450905,9.450905,9.450905,9.450905,5.133740,0
2003-01-02,9.450905,10.085944,9.301484,10.085944,5.478693,234319815
2003-01-03,10.085944,10.235368,9.973879,10.160656,5.519275,204430518
2003-01-06,10.160656,10.198012,10.011235,10.160656,5.519275,94871634
2003-01-07,10.198012,10.347433,9.936523,9.936523,5.397527,137856320
2003-01-08,9.936523,10.272724,9.899171,10.123300,5.498984,146129608
2003-01-09,10.198012,10.347433,9.600325,9.675038,5.255487,207692208
2003-01-10,9.675038,9.749746,9.488261,9.712390,5.275777,102057355
2003-01-13,9.824458,9.973879,9.637681,9.899171,5.377237,98896217
2003-01-14,10.011235,10.198012,9.787102,9.973879,5.417818,140196720
2003-01-15,10.048591,10.085944,9.861814,9.973879,5.417818,76716392
2003-01-16,10.011235,10.534210,9.973879,10.160656,5.519275,315030145
2003-01-17,10.272724,10.272724,9.899171,9.899171,5.377237,76260716
2003-01-20,9.899171,10.160656,9.861814,10.160656,5.519275,69167309
2003-01-21,10.160656,10.384789,9.899171,9.899171,5.377237,186485207
2003-01-22,9.899171,10.198012,9.749746,10.198012,5.539568,108459792
2003-01-23,10.198012,10.646274,10.123300,10.608922,5.762774,272968516
2003-01-24,10.646274,10.683630,10.347433,10.384789,5.641026,142309610
2003-01-27,10.384789,10.459497,9.973879,9.973879,5.417818,98283626
2003-01-28,10.011235,10.571566,9.973879,10.459497,5.681607,91912014
2003-01-29,10.459497,10.459497,10.459497,10.459497,5.681607,0
2003-01-30,10.459497,10.459497,10.459497,10.459497,5.681607,0
2003-01-31,10.459497,10.459497,10.459497,10.459497,5.681607,0
2003-02-03,10.459497,10.459497,10.459497,10.459497,5.681607,0
2003-02-04,10.459497,10.459497,10.459497,10.459497,5.681607,0
2003-02-05,10.459497,10.459497,10.459497,10.459497,5.681607,0
2003-02-06,10.459497,10.459497,9.787102,9.824458,5.336653,93563558
2003-02-07,9.824458,9.973879,9.152063,9.338840,5.072865,122043359
2003-02-10,9.152063,9.226771,8.703797,8.815861,4.788783,96951240
2003-02-11,8.927930,9.077351,8.815861,8.853218,4.809074,69955748
2003-02-12,8.778509,9.077351,8.778509,8.965286,4.869950,43682197
2003-02-13,8.890574,8.965286,8.442308,8.442308,4.585869,78915074
2003-02-14,8.591732,8.591732,8.255535,8.442308,4.585869,73879303
