Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6.449538,6.649521,6.382876,6.582862,2.085628,13374960
2000-01-05,6.499534,6.566196,6.416205,6.449538,2.043388,4399112
2000-01-06,6.566196,6.899504,6.499534,6.732850,2.133149,22633534
2000-01-07,6.816175,6.899504,6.616192,6.616192,2.096188,10012276
2000-01-10,6.749516,7.016162,6.682854,6.949500,2.201789,17550125
2000-01-11,7.099490,7.099490,6.499534,6.499534,2.059228,11617379
2000-01-12,6.616192,6.616192,6.499534,6.499534,2.059228,6497855
2000-01-13,6.549530,6.666188,6.549530,6.616192,2.096188,5996568
2000-01-14,6.666188,6.699517,6.516200,6.516200,2.064508,4095581
2000-01-17,6.632858,6.749516,6.566196,6.649521,2.106747,8106582
2000-01-18,6.699517,6.832842,6.666188,6.682854,2.117309,11190069
2000-01-19,6.782846,6.982832,6.749516,6.782846,2.148988,20048963
2000-01-20,6.832842,6.916170,6.666188,6.666188,2.112028,10370699
2000-01-21,6.716184,6.799512,6.666188,6.666188,2.112028,6273936
2000-01-24,6.699517,6.799512,6.682854,6.716184,2.127868,7964953
2000-01-25,6.766179,6.866174,6.716184,6.732850,2.133149,7996058
2000-01-26,6.766179,6.982832,6.766179,6.782846,2.148988,14506522
2000-01-27,6.916170,7.016162,6.832842,6.849508,2.170108,15889386
2000-01-28,6.966166,7.316142,6.866174,7.199482,2.280990,28111040
2000-01-31,7.032828,7.116156,6.999498,7.082824,2.244030,5874422
2000-02-01,7.166152,7.249480,7.082824,7.099490,2.249310,8712026
2000-02-02,7.099490,7.099490,7.099490,7.099490,2.249310,0
2000-02-03,7.099490,7.099490,7.099490,7.099490,2.249310,0
2000-02-04,7.099490,7.099490,7.099490,7.099490,2.249310,0
2000-02-07,7.099490,7.099490,7.099490,7.099490,2.249310,0
2000-02-08,7.099490,7.099490,7.099490,7.099490,2.249310,0
2000-02-09,7.166152,7.232814,6.982832,7.032828,2.228190,10596760
2000-02-10,6.999498,7.016162,6.882837,6.966166,2.207069,12162824
2000-02-11,7.132820,7.332806,7.082824,7.266144,2.302111,25595227
2000-02-14,7.366138,7.582788,7.366138,7.516126,2.381311,25922923
2000-02-15,7.549458,7.599454,7.249480,7.249480,2.296831,13015778
2000-02-16,7.282810,7.416134,7.249480,7.266144,2.302111,11447958
2000-02-17,7.399468,7.766108,7.382802,7.632784,2.418272,33591675
2000-02-18,7.749442,7.749442,7.332806,7.332806,2.323231,16645199
2000-02-21,7.949428,8.032757,7.732779,7.732779,2.449953,23581693
2000-02-22,7.582788,7.716112,7.466130,7.466130,2.365471,11651562
2000-02-23,7.416134,7.499460,7.332806,7.349472,2.328511,8672651
2000-02-24,7.416134,7.416134,7.082824,7.082824,2.244030,7144130
2000-02-25,7.016162,7.116156,6.916170,6.916170,2.191229,7722075
2000-02-28,6.916170,6.916170,6.916170,6.916170,2.191229,0
2000-02-29,6.999498,7.049494,6.866174,6.899504,2.185949,4687406
2000-03-01,6.999498,7.082824,6.916170,6.999498,2.217630,5380885
2000-03-02,7.066158,7.066158,6.932836,6.949500,2.201789,2416674
2000-03-03,6.949500,7.066158,6.916170,6.932836,2.196510,3384830
2000-03-06,6.849508,6.849508,6.516200,6.582862,2.085628,4494321
2000-03-07,6.582862,6.649521,6.532863,6.649521,2.106747,2448902
2000-03-08,6.649521,6.832842,6.649521,6.649521,2.106747,3924288
2000-03-09,6.832842,6.916170,6.766179,6.849508,2.170108,5000027
2000-03-10,6.882837,6.982832,6.666188,6.699517,2.122587,3584063
2000-03-13,6.332877,6.466201,6.232885,6.282881,1.990586,7889065
2000-03-14,6.332877,6.399539,6.249552,6.332877,2.006426,6303062
2000-03-15,6.332877,6.382876,6.249552,6.249552,1.980026,4567829
2000-03-16,6.166223,6.232885,5.999569,6.182889,1.958906,4219796
2000-03-17,6.249552,6.349543,6.166223,6.216219,1.969466,6138442
2000-03-20,5.999569,5.999569,5.999569,5.999569,1.900825,494574
2000-03-21,5.849579,6.416205,5.849579,6.416205,2.032827,5671385
2000-03-22,6.499534,6.799512,6.416205,6.799512,2.154269,7301300
2000-03-23,6.982832,7.132820,6.832842,6.999498,2.217630,12671756
2000-03-24,6.849508,6.916170,6.766179,6.766179,2.143708,5049734
2000-03-27,6.682854,7.032828,6.682854,6.949500,2.201789,6947065
2000-03-28,7.049494,7.082824,6.782846,6.799512,2.154269,5144625
2000-03-29,6.832842,6.882837,6.749516,6.799512,2.154269,3919888
2000-03-30,6.866174,7.082824,6.816175,6.832842,2.164828,8606171
2000-03-31,6.916170,6.916170,6.766179,6.832842,2.164828,3631689
2000-04-03,6.832842,6.832842,6.832842,6.832842,2.164828,0
2000-04-04,6.832842,6.832842,6.832842,6.832842,2.164828,0
2000-04-05,6.832842,7.249480,6.832842,7.232814,2.291550,18583335
2000-04-06,7.499460,7.499460,7.082824,7.116156,2.254591,14933608
2000-04-07,7.166152,7.199482,6.932836,6.932836,2.196510,4707337
2000-04-10,6.866174,6.966166,6.816175,6.832842,2.164828,5082364
2000-04-11,6.932836,7.116156,6.866174,6.999498,2.217630,11457644
2000-04-12,7.066158,7.116156,6.882837,6.882837,2.180668,7542061
2000-04-13,6.832842,6.866174,6.699517,6.716184,2.127868,4476670
2000-04-14,6.749516,6.866174,6.682854,6.732850,2.133149,3555298
2000-04-17,6.349543,6.516200,6.332877,6.366210,2.016987,2904207
2000-04-18,6.499534,6.582862,6.466201,6.482868,2.053947,2174272
2000-04-19,6.499534,6.532863,6.366210,6.416205,2.032827,2755248
2000-04-20,6.416205,6.582862,6.416205,6.532863,2.069787,3399992
2000-04-21,6.666188,6.866174,6.666188,6.766179,2.143708,6510467
2000-04-24,6.766179,6.866174,6.566196,6.649521,2.106747,10580889
2000-04-25,6.649521,6.649521,6.416205,6.482868,2.053947,2802199
2000-04-26,6.649521,6.649521,6.349543,6.349543,2.011706,4917531
2000-04-27,6.349543,6.449538,6.282881,6.299547,1.995866,2892957
2000-04-28,6.382876,6.416205,6.249552,6.382876,2.022267,4806650
2000-05-01,6.382876,6.382876,6.382876,6.382876,2.022267,0
2000-05-02,6.332877,6.332877,6.166223,6.166223,1.953626,3324237
2000-05-03,6.166223,6.182889,6.116227,6.116227,1.937785,3586848
2000-05-04,6.116227,6.282881,6.116227,6.116227,1.937785,2071625
2000-05-05,6.116227,6.266218,6.116227,6.249552,1.980026,1810029
2000-05-08,6.216219,6.216219,6.149557,6.182889,1.958906,1704123
2000-05-09,6.182889,6.182889,6.182889,6.182889,1.958906,0
2000-05-10,6.266218,6.332877,6.199556,6.232885,1.974746,1102158
2000-05-11,6.166223,6.216219,6.166223,6.216219,1.969466,1748675
2000-05-12,6.366210,6.399539,6.266218,6.366210,2.016987,3607007
2000-05-15,6.399539,6.399539,6.299547,6.332877,2.006426,1386098
2000-05-16,6.332877,6.399539,6.299547,6.366210,2.016987,1464110
2000-05-17,6.416205,6.549530,6.382876,6.449538,2.043388,4630838
2000-05-18,6.416205,6.432872,6.266218,6.399539,2.027546,3166027
2000-05-19,6.382876,6.482868,6.332877,6.399539,2.027546,2422559
2000-05-22,6.249552,6.432872,6.249552,6.332877,2.006426,2700194
2000-05-23,6.332877,6.399539,6.216219,6.316214,2.001147,2370182
2000-05-24,6.299547,6.499534,6.249552,6.416205,2.032827,6055039
2000-05-25,6.432872,6.566196,6.349543,6.349543,2.011706,8346609
2000-05-26,6.332877,6.382876,6.282881,6.332877,2.006426,2051369
2000-05-29,6.399539,6.399539,6.332877,6.332877,2.006426,1652949
2000-05-30,6.332877,6.332877,6.332877,6.332877,2.006426,0
2000-05-31,6.466201,6.466201,6.366210,6.382876,2.022267,1720214
2000-06-01,6.399539,6.582862,6.399539,6.416205,2.032827,11002093
2000-06-02,6.549530,6.549530,6.366210,6.366210,2.016987,2165844
2000-06-05,6.416205,6.482868,6.366210,6.382876,2.022267,1020073
2000-06-06,6.382876,6.382876,6.382876,6.382876,2.022267,0
2000-06-07,6.382876,6.416205,6.366210,6.366210,2.016987,2961523
2000-06-08,6.399539,6.566196,6.366210,6.432872,2.038107,3079224
2000-06-09,6.432872,6.499534,6.366210,6.366210,2.016987,1002071
2000-06-12,6.399539,6.466201,6.366210,6.366210,2.016987,1972492
2000-06-13,6.382876,6.416205,6.299547,6.299547,1.995866,1473698
2000-06-14,6.332877,6.366210,6.316214,6.316214,2.001147,1129000
2000-06-15,6.349543,6.349543,6.216219,6.216219,1.969466,1512145
2000-06-16,6.216219,6.249552,6.199556,6.232885,1.974746,1296423
2000-06-19,6.216219,6.332877,6.166223,6.332877,2.006426,2826202
2000-06-20,6.399539,6.499534,6.366210,6.366210,2.016987,4558678
2000-06-21,6.416205,6.416205,6.249552,6.249552,1.980026,1392521
2000-06-22,6.332877,6.332877,6.199556,6.216219,1.969466,1393547
2000-06-23,6.249552,6.332877,6.216219,6.216219,1.969466,2292166
2000-06-26,6.232885,6.249552,5.816249,5.916241,1.874424,7884567
