Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,28.213011,28.745337,27.893621,28.745337,8.245480,6978871
2000-01-05,28.638874,28.745337,27.893621,28.425936,8.153861,5282001
2000-01-06,28.425936,29.277649,28.319471,29.171186,8.367632,8924424
2000-01-07,30.981077,31.194017,30.235826,31.194017,8.947874,22100958
2000-01-10,31.619867,31.619867,30.555227,30.874617,8.856255,11633383
2000-01-11,31.939255,31.939255,28.958261,29.597052,8.489791,9807511
2000-01-12,29.809977,30.448767,29.171186,29.597052,8.489791,7811566
2000-01-13,29.703514,30.448767,29.703514,30.129364,8.642482,6387172
2000-01-14,30.342302,30.981077,29.490589,29.703514,8.520329,7264764
2000-01-17,30.022902,30.661692,29.809977,30.661692,8.795178,8618858
2000-01-18,30.555227,30.555227,29.809977,30.022902,8.611944,6157053
2000-01-19,29.490589,30.555227,29.490589,29.809977,8.550867,7733609
2000-01-20,29.916439,30.129364,28.745337,28.851799,8.276017,5723199
2000-01-21,28.958261,29.597052,28.958261,29.171186,8.367632,3282982
2000-01-24,29.597052,30.235826,29.384127,30.235826,8.673018,6284250
2000-01-25,30.235826,30.235826,29.490589,29.490589,8.459252,6237673
2000-01-26,29.703514,30.022902,29.597052,30.022902,8.611944,5275811
2000-01-27,30.129364,31.406942,30.022902,30.342302,8.703562,21179184
2000-01-28,30.448767,31.194017,30.448767,31.194017,8.947874,15612355
2000-01-31,32.258656,32.684505,31.939255,32.152195,9.222723,16352913
2000-02-01,32.471581,32.471581,31.513405,31.726330,9.100565,10636015
2000-02-02,31.726330,31.726330,31.726330,31.726330,9.100565,0
2000-02-03,31.726330,31.726330,31.726330,31.726330,9.100565,0
2000-02-04,31.726330,31.726330,31.726330,31.726330,9.100565,0
2000-02-07,31.726330,31.726330,31.726330,31.726330,9.100565,0
2000-02-08,31.726330,31.726330,31.726330,31.726330,9.100565,0
2000-02-09,32.045719,32.045719,31.087542,31.194017,8.947874,8185850
2000-02-10,31.194017,33.323296,31.194017,33.323296,9.558648,19960718
2000-02-11,33.642685,33.642685,32.258656,32.365120,9.283800,11877973
2000-02-14,32.684505,33.110371,31.939255,32.152195,9.222723,9247162
2000-02-15,32.790970,32.897446,31.939255,32.152195,9.222723,5963707
2000-02-16,32.471581,33.536221,32.471581,33.003910,9.467033,9440195
2000-02-17,33.216835,35.133186,33.003910,34.813801,9.986193,21443685
2000-02-18,35.133186,36.197826,33.003910,33.429760,9.589187,19348239
2000-02-21,34.813801,35.133186,33.642685,33.642685,9.650264,11386925
2000-02-22,33.642685,34.175011,31.406942,32.045719,9.192180,7413239
2000-02-23,32.152195,32.258656,30.981077,31.194017,8.947874,5041113
2000-02-24,31.300480,31.832792,30.981077,31.300480,8.978413,5129086
2000-02-25,31.513405,31.832792,30.448767,30.981077,8.886791,6291975
2000-02-28,30.981077,30.981077,30.981077,30.981077,8.886791,0
2000-02-29,31.726330,31.726330,30.129364,30.768152,8.825716,7829917
2000-03-01,31.406942,31.619867,31.087542,31.300480,8.978413,3292587
2000-03-02,31.619867,31.832792,30.874617,30.981077,8.886791,2535176
2000-03-03,30.981077,31.406942,30.555227,30.874617,8.856255,2495303
2000-03-06,30.555227,30.555227,28.745337,29.490589,8.459252,5174508
2000-03-07,28.958261,29.277649,28.106546,28.532412,8.184402,7133474
2000-03-08,28.319471,28.745337,27.893621,28.106546,8.062245,4756744
2000-03-09,28.425936,28.958261,28.319471,28.425936,8.153861,5258599
2000-03-10,28.851799,28.958261,27.680696,27.787161,7.970631,6076581
2000-03-13,27.680696,27.680696,25.870806,26.616043,7.634701,6583649
2000-03-14,26.083731,28.000086,26.083731,27.680696,7.940092,6614885
2000-03-15,27.467758,27.467758,26.828983,26.935446,7.726320,3590708
2000-03-16,26.616043,27.467758,26.509581,27.467758,7.879012,5886047
2000-03-17,27.467758,29.384127,26.935446,29.384127,8.428714,16605017
2000-03-20,28.532412,31.406942,28.532412,31.406942,9.008949,36447441
2000-03-21,33.003910,33.536221,31.939255,33.536221,9.619726,39372809
2000-03-22,33.536221,35.452576,33.003910,35.133186,10.077808,47483132
2000-03-23,35.133186,35.452576,34.175011,35.133186,10.077808,33918056
2000-03-24,34.600876,34.600876,33.962086,33.962086,9.741881,10688784
2000-03-27,33.536221,34.494396,32.258656,33.962086,9.741881,18165156
2000-03-28,34.281471,34.920261,33.216835,33.429760,9.589187,12481077
2000-03-29,33.429760,34.068546,32.471581,32.471581,9.314337,7525900
2000-03-30,32.897446,33.216835,31.726330,31.726330,9.100565,7608824
2000-03-31,31.406942,32.258656,30.981077,31.087542,8.917331,9824315
2000-04-03,31.087542,31.087542,31.087542,31.087542,8.917331,0
2000-04-04,31.087542,31.087542,31.087542,31.087542,8.917331,0
2000-04-05,31.087542,32.471581,31.087542,32.258656,9.253260,12490583
2000-04-06,32.258656,32.365120,31.300480,31.406942,9.008949,5669923
2000-04-07,31.726330,31.832792,30.874617,30.874617,8.856255,3647726
2000-04-10,30.235826,31.300480,29.809977,30.981077,8.886791,7058710
2000-04-11,31.300480,31.300480,30.661692,30.981077,8.886791,3795234
2000-04-12,31.406942,31.406942,30.874617,30.874617,8.856255,3734181
2000-04-13,31.087542,31.194017,30.022902,30.022902,8.611944,3852239
2000-04-14,30.129364,30.342302,28.745337,29.277649,8.398171,3492593
2000-04-17,27.574236,28.745337,27.574236,27.680696,7.940092,3677292
2000-04-18,28.532412,28.532412,27.893621,28.425936,8.153861,3420361
2000-04-19,28.745337,28.745337,27.680696,27.893621,8.001168,3484093
2000-04-20,27.680696,28.106546,27.680696,27.787161,7.970631,1838636
2000-04-21,28.106546,28.532412,27.787161,28.106546,8.062245,3154598
2000-04-24,28.425936,28.745337,27.680696,27.680696,7.940092,3435831
2000-04-25,27.361296,27.893621,27.148371,27.361296,7.848472,2734731
2000-04-26,27.361296,27.574236,25.977268,26.296656,7.543086,4202710
2000-04-27,26.083731,26.616043,25.870806,25.870806,7.420933,2519689
2000-04-28,25.870806,26.083731,25.125553,25.551405,7.329312,6223563
2000-05-01,25.551405,25.551405,25.551405,25.551405,7.329312,0
2000-05-02,25.977268,25.977268,25.232016,25.232016,7.237698,2168803
2000-05-03,25.232016,25.232016,24.699690,24.699690,7.085002,2024193
2000-05-04,24.699690,25.977268,24.699690,25.551405,7.329312,1831892
2000-05-05,25.977268,27.254833,25.764343,27.254833,7.817935,4917014
2000-05-08,26.722521,27.254833,26.722521,27.254833,7.817935,2316271
2000-05-09,27.254833,27.254833,27.254833,27.254833,7.817935,0
2000-05-10,29.064724,29.490589,27.680696,28.319471,8.123321,6382925
2000-05-11,28.000086,28.000086,27.254833,27.680696,7.940092,2714457
2000-05-12,28.638874,29.277649,28.000086,28.425936,8.153861,5037789
2000-05-15,28.958261,29.064724,28.213011,28.532412,8.184402,3018609
2000-05-16,28.532412,29.171186,27.893621,29.171186,8.367632,2570990
2000-05-17,29.809977,30.874617,29.597052,30.768152,8.825716,9502207
2000-05-18,30.235826,30.661692,29.597052,30.448767,8.734102,4670399
2000-05-19,30.874617,32.578045,30.874617,32.578045,9.344876,18770186
2000-05-22,30.342302,30.874617,28.638874,28.745337,8.245480,15606183
2000-05-23,28.851799,29.064724,27.680696,27.680696,7.940092,5177767
2000-05-24,27.148371,27.680696,26.722521,26.935446,7.726320,4850469
2000-05-25,28.000086,28.000086,27.041908,27.041908,7.756858,3847062
2000-05-26,27.467758,28.851799,27.148371,28.425936,8.153861,9518297
2000-05-29,28.745337,28.958261,28.000086,28.106546,8.062245,3829340
2000-05-30,28.106546,28.106546,28.106546,28.106546,8.062245,0
2000-05-31,28.851799,28.851799,28.319471,28.319471,8.123321,2852855
2000-06-01,28.425936,28.638874,27.680696,28.000086,8.031707,2393206
2000-06-02,28.425936,28.745337,28.000086,28.106546,8.062245,4871684
2000-06-05,28.745337,29.277649,28.319471,28.425936,8.153861,6306345
2000-06-06,28.425936,28.425936,28.425936,28.425936,8.153861,0
