交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,44.5,44.85,44.5,44.75,0,0,0.78,"2,301","1,284",1.79,1.03,-38,368,-27,303,56,-41,"1,282",13,70,5.46
11月9日,44.8,44.9,44.6,44.75,-0.1,-0.22,0.67,"2,754","1,246",2.21,1.23,-507,389,30,-88,56,3,"1,323",3,57,4.31
11月8日,44.9,44.9,44.6,44.85,-0.05,-0.11,0.67,"2,425",961,2.52,1.09,562,0,7,569,56,-15,"1,320",1,54,4.09
11月7日,44.65,44.95,44.25,44.9,0.25,0.56,1.57,"5,036","2,156",2.34,2.25,846,422,-42,"1,226",56,-39,"1,335",3,53,3.97
11月6日,44.6,44.7,44.4,44.65,0.05,0.11,0.67,"5,381","2,869",1.88,2.4,"2,309",105,-100,"2,314",56,-25,"1,374",-3,50,3.64
11月3日,44,44.6,44,44.6,0.6,1.36,1.36,"6,777","2,630",2.58,3.01,"3,737",382,-146,"3,973",55.9,-36,"1,399",13,53,3.79
11月2日,43.95,44.1,43.7,44,0.45,1.03,0.92,"5,034","2,697",1.87,2.21,"1,770",202,-149,"1,823",55.8,4,"1,435",3,40,2.79
11月1日,43,43.85,43,43.55,0.65,1.52,1.98,"4,419","2,315",1.91,1.92,999,890,-200,"1,689",55.8,-21,"1,431",1,37,2.59
10月31日,42.7,43.15,42.7,42.9,0.2,0.47,1.05,"4,525","1,804",2.51,1.94,76.6,605,-103,578,55.8,-131,"1,452",0,36,2.48
10月30日,43.95,44,42.65,42.7,-1.25,-2.84,3.07,"5,869","3,603",1.63,2.52,"-4,101",734,29.7,"-3,338",55.8,173,"1,583",-1,36,2.27
10月27日,43,44,43,43.95,1.1,2.57,2.33,"5,273","2,394",2.2,2.31,"1,962",257,-197,"2,022",55.9,-41,"1,410",1,37,2.62
10月26日,42.65,43,42.55,42.85,-0.15,-0.35,1.05,"4,313","1,986",2.17,1.85,-171,154,-268,-286,55.9,0,"1,451",-1,36,2.48
10月25日,43.1,43.2,42.8,43,0.05,0.12,0.93,"3,263","1,848",1.77,1.4,-470,495,-204,-179,55.9,9,"1,451",0,37,2.55
10月24日,42.75,43,42.55,42.95,0.3,0.7,1.06,"2,409","1,502",1.6,1.03,-682,424,-27.2,-285,55.9,35,"1,442",-1,37,2.57
10月23日,42.95,43,42.6,42.65,-0.35,-0.81,0.93,"3,021","1,569",1.93,1.29,-626,196,-92.4,-522,55.9,32,"1,407",0,38,2.7
10月20日,42.95,43.25,42.6,43,-0.4,-0.92,1.5,"5,673","2,164",2.62,2.43,"-1,118",829,-239,-528,55.9,-27,"1,375",0,38,2.76
10月19日,43.4,43.65,42.95,43.4,-0.3,-0.69,1.6,"4,958","2,377",2.09,2.14,-457,507,-102,-51.9,55.9,24,"1,402",-2,38,2.71
10月18日,43.8,43.85,43.45,43.7,0.2,0.46,0.92,"3,514","1,971",1.78,1.53,-218,837,159,778,56,-61,"1,378",0,40,2.9
10月17日,44,44.1,43.45,43.5,-0.55,-1.25,1.48,"2,610","1,669",1.56,1.14,-580,151,-44.7,-474,56,-35,"1,439",0,40,2.78
10月16日,43.45,44.05,43.45,44.05,0.55,1.26,1.38,"2,358","1,457",1.62,1.04,554,360,-154,760,56,-54,"1,474",1,40,2.71
10月13日,43.85,44.05,43.4,43.5,-0.9,-2.03,1.46,"3,223","2,483",1.3,1.41,"-1,056",278,-10,-788,56,10,"1,528",0,39,2.55
