交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,175,175,173,173.5,-4.5,-2.53,1.12,"5,124","7,652",0.67,8.91,"-3,527",1,25.8,"-3,500",70,113,"3,047",-41,329,10.8
11月9日,179.5,180,177.5,178,-1,-0.56,1.4,"1,532","5,080",0.3,2.73,-272,-2,4.2,-269,70.2,9,"2,934",10,370,12.6
11月8日,182,182,178.5,179,-3,-1.65,1.92,"2,731","3,288",0.83,4.91,"-1,018",-3,115,-906,70.2,54,"2,925",-2,360,12.3
11月7日,181,182.5,180,182,1,0.55,1.38,"2,806","2,519",1.11,5.1,-183,2,13.1,-168,70.3,-43,"2,871",2,362,12.6
11月6日,179,182.5,178.5,181,2.5,1.4,2.24,"3,187","2,897",1.1,5.77,504,-8,65.6,562,70.3,-14,"2,914",-8,360,12.4
11月3日,178.5,179.5,177.5,178.5,2,1.13,1.13,"1,959","2,006",0.98,3.5,396,1,7.26,404,70.2,-24,"2,928",30,368,12.6
11月2日,176.5,178.5,176,176.5,3,1.73,1.44,"2,341","2,278",1.03,4.15,-125,13,19.1,-93.1,70.2,-13,"2,952",-3,338,11.4
11月1日,176,176.5,173.5,173.5,-2,-1.14,1.71,"2,615","3,098",0.84,4.56,"-1,277",37,17.9,"-1,222",70.2,37,"2,965",-32,341,11.5
10月31日,177.5,178.5,174.5,175.5,-2,-1.13,2.25,"2,727","2,866",0.95,4.8,-379,12.1,-0.09,-367,70.3,8,"2,928",-51,373,12.7
10月30日,177.5,179,176,177.5,-1.5,-0.84,1.68,"3,428","3,220",1.06,6.08,-238,47,33.6,-157,70.3,19,"2,920",6,424,14.5
10月27日,173.5,180.5,173,179,7.5,4.37,4.37,"7,621","4,636",1.64,13.6,"1,986",-54,20.5,"1,953",70.4,-140,"2,901",48,418,14.4
10月26日,172,174,171,171.5,-2,-1.15,1.73,"6,013","4,256",1.41,10.3,"-1,095",12,-30.5,"-1,114",70.2,30,"3,041",-2,370,12.2
10月25日,172.5,175,172,173.5,2.5,1.46,1.75,"2,153","2,243",0.96,3.74,-367,6,24.2,-337,70.3,-40,"3,011",-3,372,12.4
10月24日,169.5,172.5,169.5,171,-1,-0.58,1.74,"3,527","4,245",0.83,6.03,"-1,160",14,12.1,"-1,134",70.4,45,"3,051",4,375,12.3
10月23日,171.5,173.5,170.5,172,-2,-1.15,1.72,"4,394","4,793",0.92,7.56,"-1,721",5,14.2,"-1,702",70.4,71,"3,006",-1,371,12.3
10月20日,177,177.5,172,174,-5,-2.79,3.07,"6,226","7,118",0.87,10.8,"-3,270",2,97.9,"-3,170",70.5,81,"2,935",-8,372,12.7
10月19日,177,179,177,179,0,0,1.12,"2,363","3,062",0.77,4.2,"-1,093",5,-28.5,"-1,116",70.7,65,"2,854",2,380,13.3
10月18日,180.5,182,178,179,-2,-1.1,2.21,"2,756","3,624",0.76,4.93,"-1,335",-1,92.4,"-1,244",70.8,-27,"2,789",-3,378,13.6
10月17日,182.5,184,181,181,-1.5,-0.82,1.64,"2,488","2,013",1.24,4.53,-322,-2.02,-29.4,-353,70.8,-4,"2,816",0,381,13.5
10月16日,182,183,181.5,182.5,-0.5,-0.27,0.82,"2,152","2,001",1.08,3.93,-85.4,28,-3.38,-60.8,70.9,-2,"2,820",-1,381,13.5
10月13日,182,184,182,183,-0.5,-0.27,1.09,"3,141","2,200",1.43,5.75,-283,-3,-31.3,-317,70.9,2,"2,822",1,382,13.5
