交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
11月10日,24.45,24.7,24.4,24.65,0.1,0.41,1.22,"20,166","8,658",2.33,4.95,-646,-93,73.7,-665,16.5,-78,"20,328",-45,476,2.34
11月9日,24.5,24.6,24.3,24.55,-0.05,-0.2,1.22,"20,199","8,223",2.46,4.94,"-7,631",-245,265,"-7,612",16.5,608,"20,406",39,521,2.55
11月8日,24.8,24.8,24.45,24.6,-0.2,-0.81,1.41,"24,836","9,733",2.55,6.1,"-10,980",-317,-11.3,"-11,308",16.6,770,"19,798",-5,482,2.43
11月7日,24.8,24.8,24.5,24.8,-0.2,-0.8,1.2,"27,087","11,785",2.3,6.67,"-13,339",-175,219,"-13,295",16.6,253,"19,028",9,487,2.56
11月6日,25.2,25.5,24.9,25,0.45,1.83,2.44,"38,782","14,957",2.59,9.74,"-3,572",-165,-21,"-3,758",16.7,"1,672","18,775",-4,478,2.55
11月3日,24.3,24.7,24.3,24.55,0.3,1.24,1.65,"15,940","7,257",2.2,3.91,"5,662",-137,120,"5,645",16.7,-264,"17,103",-3,482,2.82
11月2日,24.3,24.4,24.2,24.25,0.2,0.83,0.83,"13,294","6,484",2.05,3.23,958,-61,133,"1,030",16.6,-409,"17,367",-10,485,2.79
11月1日,24.25,24.35,24.05,24.05,-0.1,-0.41,1.24,"13,048","6,262",2.08,3.15,-657,-54.7,6,-706,16.7,-66,"17,776",-4,495,2.78
10月31日,24.1,24.2,24,24.15,0.05,0.21,0.83,"14,387","5,707",2.52,3.47,"1,569",-143,8.81,"1,435",16.6,118,"17,842",-5,499,2.8
10月30日,24.05,24.25,24.05,24.1,0.1,0.42,0.83,"13,518","5,852",2.31,3.26,-484,211,-63.9,-337,16.7,58,"17,724",86,504,2.84
10月27日,23.95,24.2,23.95,24,-0.05,-0.21,1.04,"14,925","6,906",2.16,3.59,304,-235,-131,-62.1,16.7,-50,"17,666",-22,418,2.37
10月26日,24.1,24.3,23.9,24.05,-0.35,-1.43,1.64,"24,710","10,426",2.37,5.96,"-4,736",-100,-630,"-5,465",16.7,87,"17,716",18,440,2.48
10月25日,23.5,24.4,23.5,24.4,0.8,3.39,3.81,"36,657","12,548",2.92,8.86,"14,826",-139,199,"14,886",16.7,-776,"17,629",-54,422,2.39
10月24日,23.8,23.85,23.5,23.6,-0.2,-0.84,1.47,"24,889","14,876",1.67,5.87,"-9,731",-138,-214,"-10,083",16.6,335,"18,405",-48,476,2.59
10月23日,23.9,23.95,23.8,23.8,-0.1,-0.42,0.63,"19,460","11,331",1.72,4.64,"-8,493",-147,34.8,"-8,605",16.7,79,"18,070",37,524,2.9
10月20日,24.2,24.2,23.8,23.9,-0.6,-2.45,1.63,"43,723","20,959",2.09,10.5,"-24,176",479,7.16,"-23,690",16.8,282,"17,991",44,487,2.71
10月19日,24.5,24.6,24.3,24.5,-0.35,-1.41,1.21,"28,513","14,994",1.9,6.96,"-10,714",597,-32.4,"-10,150",16.9,324,"17,709","-1,593",443,2.5
10月18日,24.75,24.85,24.1,24.85,0.1,0.4,3.03,"80,359","20,932",3.84,19.8,"-16,725","2,027",627,"-14,072",17,-329,"17,385","1,449","2,036",11.7
10月17日,24.7,24.75,24.35,24.75,0,0,1.62,"25,094","11,754",2.13,6.16,"-2,874",437,-20.6,"-2,457",17.1,94,"17,714",-7,587,3.31
